OTU_ID,Domain,Phylum,Class,Order,Family,Genus,Species,taxonomy
OTU1,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,Fungi;Ascomycota;uncl_Ascomycota;uncl_Ascomycota;uncl_Ascomycota;uncl_Ascomycota;uncl_Ascomycota
OTU10,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,uncl_Fusarium,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;uncl_Fusarium
OTU100,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,uncl_Marasmiaceae,uncl_Marasmiaceae,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;uncl_Marasmiaceae;uncl_Marasmiaceae
OTU1000,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,uncl_Tricholomataceae,uncl_Tricholomataceae,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;uncl_Tricholomataceae;uncl_Tricholomataceae
OTU10000,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Tubaria,uncl_Tubaria,Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Tubaria;uncl_Tubaria
OTU10007,Fungi,Ascomycota,Dothideomycetes,Pleosporales,uncl_Pleosporales,uncl_Pleosporales,uncl_Pleosporales,Fungi;Ascomycota;Dothideomycetes;Pleosporales;uncl_Pleosporales;uncl_Pleosporales;uncl_Pleosporales
OTU10008,Fungi,Ascomycota,Eurotiomycetes,uncl_Eurotiomycetes,uncl_Eurotiomycetes,uncl_Eurotiomycetes,uncl_Eurotiomycetes,Fungi;Ascomycota;Eurotiomycetes;uncl_Eurotiomycetes;uncl_Eurotiomycetes;uncl_Eurotiomycetes;uncl_Eurotiomycetes
OTU10009,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae,Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;uncl_Glomeraceae;uncl_Glomeraceae
OTU1001,Fungi,Ascomycota,Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,Fungi;Ascomycota;Dothideomycetes;uncl_Dothideomycetes;uncl_Dothideomycetes;uncl_Dothideomycetes;uncl_Dothideomycetes
OTU10010,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,uncl_Thelephoraceae,uncl_Thelephoraceae,Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;uncl_Thelephoraceae;uncl_Thelephoraceae
