OTU,observed,mean.simulated,lowCI,uppCI,Sign
OTU17,297,435.59,420.95,445,Specialists
OTU1139,134,101.64,90.425,112.05,Generalists
OTU539,395,223.46,207.425,237,Generalists
OTU14859,129,195.76,184,207,Specialists
OTU1133,447,274.99,259.475,294.525,Generalists
OTU5,484,483.79,482.475,484,NS
OTU177,233,208.18,193,222.525,Generalists
OTU88563,12,31.88,27,36.525,Specialists
OTU31,482,481.37,478,484,NS
OTU843,129,119.07,108.475,128,Generalists
OTU71,428,404.84,392,416.525,Generalists
OTU61,440,401.63,385.95,415.525,Generalists
OTU957,335,219.9,208,234.575,Generalists
OTU273,348,236.9,222,249.525,Generalists
OTU3,471,483.17,481.475,484,Specialists
OTU4781,276,152.48,140,165,Generalists
OTU49,484,445.78,434.475,456,Generalists
OTU5652,49,178.08,166.475,194.05,Specialists
OTU774,447,312.14,295.475,329,Generalists
OTU3092,90,83.52,74.475,91.525,NS
OTU43,442,453.19,443.475,462,Specialists
OTU224,390,302.7,289,317,Generalists
OTU4878,160,120.75,109.475,130.05,Generalists
OTU138,295,305.33,287.475,321.525,NS
OTU904,279,173.63,160.475,186.525,Generalists
OTU77,422,366.57,351,381.575,Generalists
OTU29389,437,457.64,449,465.525,Specialists
OTU614,113,131.43,117.475,145.05,Specialists
OTU83440,483,415.84,402.95,430.525,Generalists
OTU2301,272,151.59,138.9,165,Generalists
OTU86477,58,49.32,41.95,55.575,Generalists
OTU8308,87,64.45,56.95,71.525,Generalists
OTU94,331,284.37,268.95,304.575,Generalists
OTU13,430,447.51,435.95,455.525,Specialists
OTU62369,347,207.28,196.475,223.525,Generalists
OTU1294,129,79.19,69.475,87.525,Generalists
OTU3698,10,17.94,15,21,Specialists
OTU846,241,146.03,134,162.05,Generalists
OTU22643,27,22.23,18,26,Generalists
OTU46,475,447.46,437.475,457.525,Generalists
OTU53,480,443.86,434.475,452.525,Generalists
OTU164,305,303.05,289.95,319.625,NS
OTU395,83,150.38,139.475,161.525,Specialists
OTU250,286,308.16,290.95,324.575,Specialists
OTU3570,10,17.95,15,21,Specialists
OTU6537,9,14.74,12,17,Specialists
OTU5806,41,45.64,40,53,NS
OTU116,382,280.55,266,298,Generalists
OTU189,418,340.75,327,358.525,Generalists
OTU12,442,469.88,464,477,Specialists
OTU321,470,354.68,338.475,367.525,Generalists
OTU623,464,381.73,366.425,396,Generalists
OTU451,166,151.5,138.475,163.525,Generalists
OTU36547,478,352.05,337.9,368.575,Generalists
OTU97132,107,121.71,109.425,134,Specialists
OTU586,305,182.5,171.475,195.05,Generalists
OTU73992,64,73.87,66,81,Specialists
OTU552,377,234.76,221,249,Generalists
OTU3783,31,42.69,35.475,50,Specialists
OTU79,371,374.84,361.475,388,NS
OTU28,474,451.15,440.475,461,Generalists
OTU4061,202,123.69,113,136,Generalists
OTU10038,73,57.77,49.475,65,Generalists
OTU718,128,135.07,123,148.05,NS
OTU515,64,147.13,134.475,159.525,Specialists
OTU553,299,199.72,184.95,216,Generalists
OTU65,233,311.2,298,327.525,Specialists
OTU76,469,406.8,393.95,416,Generalists
OTU683,355,194.97,179.475,210.05,Generalists
OTU124,261,200.26,183.95,215.525,Generalists
OTU1114,170,90.77,80,100,Generalists
OTU252,415,387.48,374,400.05,Generalists
OTU16425,23,33.96,29.475,39,Specialists
OTU285,158,193.81,179.475,210.575,Specialists
OTU1691,232,181.24,167.475,195.525,Generalists
OTU25369,483,439.78,430,451,Generalists
OTU27622,419,384.3,367.95,400.525,Generalists
OTU88016,256,287.67,272,302.525,Specialists
OTU62,282,342.86,328.95,356.525,Specialists
OTU573,304,158.24,145.475,171,Generalists
OTU7460,89,56.87,50,63,Generalists
OTU54,399,388.5,374.475,405,NS
OTU16078,86,141.14,127.475,152.525,Specialists
OTU1953,256,168.85,157,182.05,Generalists
OTU296,342,258.72,244.475,276,Generalists
OTU56102,352,282.71,266.95,297,Generalists
OTU183,260,216.28,201.95,230.05,Generalists
OTU10,461,452.85,443.475,462.525,NS
OTU180,333,313.08,300.425,327.525,Generalists
OTU55727,73,61.21,53.475,69,Generalists
OTU107,372,329.16,311.9,348,Generalists
OTU832,49,58.54,53,66,Specialists
OTU56182,172,111.54,101,122,Generalists
OTU12389,185,173.05,161,185.625,NS
OTU643,60,74,65.475,82.525,Specialists
OTU108,448,340.01,326,358.05,Generalists
OTU1971,110,95.97,87.475,106.525,Generalists
OTU60,406,340.63,327.475,353.525,Generalists
OTU21,444,451.64,441.475,460.525,NS
