"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU173",220,101.77,92.475,111.525,"Generalists"
"OTU443",1,45.73,39,52.525,"Specialists"
"OTU236",213,158,143,173.525,"Generalists"
"OTU1",449,388.92,375.425,402,"Generalists"
"OTU713",11,47.32,38.95,55.05,"Specialists"
"OTU156",9,84.38,73,96.05,"Specialists"
"OTU827",21,34.86,27,43,"Specialists"
"OTU107",193,113.96,100,127,"Generalists"
"OTU561",202,70.28,59,80,"Generalists"
"OTU1561",13,21.58,16,28,"Specialists"
"OTU1273",20,38.84,32,46,"Specialists"
"OTU3638",26,20.39,14,26.525,"NS"
"OTU1894",9,19.82,14.475,26,"Specialists"
"OTU67",367,132.03,117.425,144.525,"Generalists"
"OTU6679",325,199.51,187,216.05,"Generalists"
"OTU2407",20,14.89,10,20,"NS"
"OTU102",356,143.77,129.475,160.525,"Generalists"
"OTU75",177,124.15,109.475,138.525,"Generalists"
"OTU5",375,239.54,224.475,254,"Generalists"
"OTU12",331,189.44,174,204.05,"Generalists"
"OTU7",376,216,198,233.575,"Generalists"
"OTU11151",10,8.9,5.475,13,"NS"
"OTU749",186,52.61,44,62,"Generalists"
"OTU5362",4,4.65,3,7,"NS"
"OTU2",261,28.92,23,38.525,"Generalists"
"OTU877",120,39.54,32,48.525,"Generalists"
"OTU12011",191,26.74,21.475,33,"Generalists"
"OTU2034",13,27.77,22,34.525,"Specialists"
"OTU24",223,144.56,130,160.525,"Generalists"
"OTU187",228,102.77,92,113.525,"Generalists"
"OTU205",188,80.99,71,90.525,"Generalists"
"OTU25",320,164.26,149,178.525,"Generalists"
"OTU3509",3,8.93,5.475,14,"Specialists"
"OTU2160",13,8.79,5.475,13.525,"NS"
"OTU48",255,213.44,195.475,232.05,"Generalists"
"OTU1224",1,24.5,17.475,31,"Specialists"
"OTU1529",153,63.38,52.475,75.05,"Generalists"
"OTU2316",87,26.08,21,32.525,"Generalists"
"OTU4094",8,6.37,4,10,"NS"
"OTU423",183,57.37,47,67,"Generalists"
"OTU526",59,45.08,36.475,55.525,"Generalists"
"OTU1509",200,61.15,53,72,"Generalists"
"OTU135",264,152.13,137.475,165.525,"Generalists"
"OTU689",204,54.32,46,66,"Generalists"
"OTU50",206,139.28,129,151.525,"Generalists"
"OTU1500",3,15.77,11,21,"Specialists"
"OTU3018",230,71.7,62.475,83,"Generalists"
"OTU91",249,96.5,86,108.525,"Generalists"
"OTU742",91,42.04,34.475,50.05,"Generalists"
"OTU367",42,39.22,30,48,"NS"
"OTU5051",2,5.63,3,8.52499999999999,"Specialists"
"OTU463",1,3.85,2,6.52499999999999,"Specialists"
"OTU100",187,209.03,193,224.525,"Specialists"
"OTU13116",198,24.56,19,30.525,"Generalists"
"OTU177",207,95.08,82.95,109,"Generalists"
"OTU403",32,33.59,26,41.525,"NS"
"OTU7288",114,13.34,9,17.525,"Generalists"
"OTU225",131,82.45,70.475,94.05,"Generalists"
"OTU12774",46,15.54,11.475,20,"Generalists"
"OTU1854",16,18.01,13.475,24,"NS"
"OTU4008",13,6.91,4.475,10,"Generalists"
"OTU53",309,111.81,100.475,126.525,"Generalists"
"OTU233",21,38.59,32,46.05,"Specialists"
"OTU146",351,99.51,88.475,112,"Generalists"
"OTU3757",179,76.41,64.475,88.525,"Generalists"
"OTU76",263,96.65,84.475,106,"Generalists"
"OTU721",2,2.65,1,4,"NS"
"OTU12137",13,4.34,2,7,"Generalists"
"OTU7911",1,2.59,1,4,"NS"
"OTU715",207,52.04,43,61.525,"Generalists"
"OTU149",219,100.26,88.475,112,"Generalists"
"OTU30",203,119.57,108.475,132,"Generalists"
"OTU594",185,48.28,39.475,56,"Generalists"
"OTU631",210,75.91,64,86,"Generalists"
"OTU830",179,37.83,30,47,"Generalists"
"OTU7602",197,45.98,38,52.575,"Generalists"
"OTU8470",3,2.33,1,4,"NS"
"OTU3",356,169.45,156.475,186,"Generalists"
"OTU7361",53,10.68,7,14,"Generalists"
"OTU8836",235,50.61,42.475,61.525,"Generalists"
"OTU2072",8,15.17,11,20.525,"Specialists"
"OTU293",282,84.05,74,96.05,"Generalists"
"OTU5531",226,38.16,30.475,45.525,"Generalists"
"OTU10392",275,82.97,70.95,95.05,"Generalists"
"OTU918",38,37.61,31,46,"NS"
"OTU1531",8,34.5,28.475,41,"Specialists"
"OTU4287",4,4.59,2,7,"NS"
"OTU121",200,96.18,81.475,107.525,"Generalists"
"OTU809",189,45.03,39,52,"Generalists"
"OTU1020",2,30.16,22,38.525,"Specialists"
"OTU7504",125,21.84,16,28.525,"Generalists"
"OTU2737",17,10.34,6,15,"Generalists"
"OTU5396",23,11.34,8,15.525,"Generalists"
"OTU674",179,34.01,27,41.525,"Generalists"
"OTU4040",8,6,3.475,9.52499999999999,"NS"
"OTU9163",204,38.66,31,46,"Generalists"
"OTU1192",23,17.07,12,24.525,"NS"
"OTU939",71,34.16,27,42.525,"Generalists"
"OTU8425",2,3.56,2,5.52499999999999,"NS"
"OTU1644",8,18.18,13,23,"Specialists"
"OTU1736",10,31.57,25,38.525,"Specialists"
"OTU58",241,121.84,108.425,133.525,"Generalists"
"OTU3896",96,20.19,15.475,25.525,"Generalists"
"OTU289",230,72.76,62.475,85,"Generalists"
"OTU214",118,80.91,70,90.525,"Generalists"
"OTU137",232,106.49,92.475,118.05,"Generalists"
"OTU200",231,91.07,80,102.05,"Generalists"
"OTU655",203,117.95,105,129,"Generalists"
"OTU552",185,62.48,54.475,71.525,"Generalists"
"OTU1792",71,41.34,33.475,50,"Generalists"
"OTU6002",6,3.76,2,6,"NS"
"OTU10",110,12.45,8,17.525,"Generalists"
"OTU5938",6,7.48,4.475,10.525,"NS"
"OTU926",188,33.82,26,41.525,"Generalists"
"OTU2462",101,32.28,24.95,39.525,"Generalists"
"OTU9487",270,35.53,29.475,43.525,"Generalists"
"OTU4672",181,35.51,30,42.525,"Generalists"
"OTU94",274,82.36,72,91.525,"Generalists"
"OTU867",26,47.64,39.475,56.05,"Specialists"
"OTU469",8,53.15,44.475,60.525,"Specialists"
"OTU9501",2,1.57,1,2,"NS"
"OTU708",162,39.43,30.475,48,"Generalists"
"OTU532",165,62.2,51.425,73.05,"Generalists"
"OTU649",233,49.54,40.95,58.525,"Generalists"
"OTU7127",104,12.67,9,16,"Generalists"
"OTU2559",131,16.81,12,21,"Generalists"
"OTU1007",74,43.55,36.475,51.525,"Generalists"
"OTU2924",5,12.53,9,16,"Specialists"
"OTU4938",33,6.87,4,10,"Generalists"
"OTU1170",180,33.61,27,40,"Generalists"
"OTU8493",7,15.12,10.475,20,"Specialists"
"OTU301",192,118.69,105.475,135.05,"Generalists"
"OTU679",224,45.12,36.475,52.525,"Generalists"
"OTU5848",47,67.75,57.475,80,"Specialists"
"OTU56",59,138.51,124.95,151,"Specialists"
"OTU4421",91,29.89,22,38,"Generalists"
"OTU4125",12,6.64,4,9,"Generalists"
"OTU1056",29,33.88,27.475,40.525,"NS"
"OTU11449",5,2.67,1,4,"Generalists"
"OTU256",114,53.96,45,64.525,"Generalists"
"OTU11846",149,18.89,13.475,24.525,"Generalists"
"OTU280",187,82,72,94.05,"Generalists"
"OTU181",4,5.76,3,9,"NS"
"OTU2814",44,15.61,12,20,"Generalists"
"OTU123",255,73.05,63.475,83.525,"Generalists"
"OTU10124",173,22.74,17,28.525,"Generalists"
"OTU437",105,44.65,36,50.525,"Generalists"
"OTU2688",7,12.85,8,16.525,"Specialists"
"OTU108",168,118.37,104.475,129.525,"Generalists"
"OTU4238",19,7.54,4,11,"Generalists"
"OTU5088",152,21.95,17,28,"Generalists"
"OTU8016",3,3.47,2,5.52499999999999,"NS"
"OTU5708",25,43,33,52.525,"Specialists"
"OTU263",227,112.16,99.475,126,"Generalists"
"OTU1252",175,38.15,30.95,45.525,"Generalists"
"OTU8314",195,26.41,20.475,34,"Generalists"
"OTU1485",211,30.67,23.475,37,"Generalists"
"OTU351",74,60.07,51.475,72.05,"Generalists"
"OTU3481",33,60.3,51.475,69,"Specialists"
"OTU1575",79,76.32,65.475,87,"NS"
"OTU11063",17,8.29,5,12,"Generalists"
"OTU2386",15,22.61,18,27.525,"Specialists"
"OTU1524",15,27.58,21,33,"Specialists"
"OTU6115",124,16.47,11,21,"Generalists"
"OTU40",230,178.66,163.95,193.525,"Generalists"
"OTU2787",21,14.1,10,19,"Generalists"
"OTU432",8,58,45.95,68.525,"Specialists"
"OTU876",181,43.73,34.475,52.525,"Generalists"
"OTU10471",19,10.49,7,14.525,"Generalists"
"OTU9657",58,15.25,10,20,"Generalists"
"OTU2222",36,16.36,12,21,"Generalists"
"OTU15",129,14.45,9,19,"Generalists"
"OTU673",186,49.72,39.95,58.525,"Generalists"
"OTU2017",3,26.37,21,33,"Specialists"
"OTU182",200,81.15,69.475,92.05,"Generalists"
"OTU2641",109,16.61,12,21.525,"Generalists"
"OTU8542",82,16.02,11,21,"Generalists"
"OTU2125",34,13.98,9.475,18.525,"Generalists"
