"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU173",56,39.494,33,46.525,"Generalists"
"OTU236",49,54.808,47,62,"NS"
"OTU1",82,66.674,60,73,"Generalists"
"OTU156",1,13.626,9,19,"Specialists"
"OTU107",45,35.634,29,42,"Generalists"
"OTU561",45,23.118,18,29,"Generalists"
"OTU67",91,41.316,34,49,"Generalists"
"OTU6679",74,57.816,50,65,"Generalists"
"OTU102",81,49.058,41.475,56,"Generalists"
"OTU75",31,30.516,24,37,"NS"
"OTU5",92,70.952,64,77,"Generalists"
"OTU12",67,51.598,44,59,"Generalists"
"OTU7",82,69.36,62,76.525,"Generalists"
"OTU11151",6,3.552,2,6,"NS"
"OTU749",40,14.852,10.475,20,"Generalists"
"OTU2",21,5.024,3,8,"Generalists"
"OTU877",23,8.034,5,12,"Generalists"
"OTU12011",40,6.826,4,10,"Generalists"
"OTU2034",3,2.472,1,4,"NS"
"OTU24",43,30.888,24,38,"Generalists"
"OTU187",45,30.504,24,37,"Generalists"
"OTU205",43,18.324,13.475,24,"Generalists"
"OTU25",78,56.844,49,64,"Generalists"
"OTU2160",2,2.514,1,4,"NS"
"OTU48",44,43.922,37,51,"NS"
"OTU1529",13,5.862,3,9,"Generalists"
"OTU2316",28,8.042,5,12,"Generalists"
"OTU423",41,19.686,14,26,"Generalists"
"OTU526",8,13.976,10,18,"Specialists"
"OTU1509",47,21.346,15,28,"Generalists"
"OTU135",71,54.822,48,62,"Generalists"
"OTU689",36,10.582,7,15,"Generalists"
"OTU50",50,50.442,43.475,57,"NS"
"OTU3018",53,24.106,19,30,"Generalists"
"OTU91",52,24.904,18.475,31,"Generalists"
"OTU742",13,6.748,4,10,"Generalists"
"OTU367",2,1.452,1,2,"NS"
"OTU100",36,8.392,5,12,"Generalists"
"OTU13116",51,8.014,5,12,"Generalists"
"OTU177",41,23.666,18,30,"Generalists"
"OTU7288",19,4.138,2,7,"Generalists"
"OTU225",41,27.806,22,34,"Generalists"
"OTU12774",13,3.188,1,5,"Generalists"
"OTU53",73,40.658,33.475,48.525,"Generalists"
"OTU233",4,3.184,1,5,"NS"
"OTU146",77,33.248,27,40,"Generalists"
"OTU3757",43,38.494,32,45.525,"NS"
"OTU76",53,20.398,15,26,"Generalists"
"OTU12137",3,1.774,1,3,"NS"
"OTU715",55,21.558,16.475,27.525,"Generalists"
"OTU149",44,19.058,14,24,"Generalists"
"OTU30",41,20.224,15,26,"Generalists"
"OTU594",41,15.222,10,21,"Generalists"
