"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU17",42,62.156,56,67,"Specialists"
"OTU1139",22,15.63,12,20,"Generalists"
"OTU539",54,29.056,23,34,"Generalists"
"OTU14859",19,36.706,31,42.525,"Specialists"
"OTU1133",75,53.586,47,61,"Generalists"
"OTU5",78,77.644,76,78,"NS"
"OTU177",34,39.668,33.475,46,"NS"
"OTU31",78,77.858,77,78,"NS"
"OTU843",18,13.692,10,17,"Generalists"
"OTU71",67,65.114,60,70,"NS"
"OTU61",75,69.92,65,75,"NS"
"OTU957",49,42.086,36,48,"Generalists"
"OTU273",46,39.046,33,45,"Generalists"
"OTU3",78,78,78,78,"NS"
"OTU4781",56,36.062,30,42,"Generalists"
"OTU49",78,74.662,71,78,"NS"
"OTU5652",10,9.908,7,13,"NS"
"OTU774",59,39.77,34,46,"Generalists"
"OTU3092",37,30.594,25,36,"Generalists"
"OTU43",78,76.752,74,78,"NS"
"OTU224",63,51.47,45,57,"Generalists"
"OTU4878",31,32.244,27,38,"NS"
"OTU138",63,56.588,51,62,"Generalists"
"OTU904",66,46.016,40,52,"Generalists"
"OTU77",75,63.542,58,69,"Generalists"
"OTU29389",77,75.962,73,78,"NS"
"OTU614",31,38.754,32,45,"Specialists"
"OTU83440",78,68.85,64,73.525,"Generalists"
"OTU2301",57,30.398,25,36,"Generalists"
"OTU86477",21,17.264,13,22,"NS"
"OTU8308",12,9.62,7,13,"NS"
"OTU94",67,67.904,63,73,"NS"
"OTU13",70,66.914,62,72,"NS"
"OTU62369",23,19.076,15,24,"NS"
"OTU1294",14,9.812,7,13,"Generalists"
"OTU846",44,35.906,30,42,"Generalists"
"OTU22643",9,7.434,5,10,"NS"
"OTU46",72,62.596,56,69,"Generalists"
"OTU53",78,74.624,71,77,"Generalists"
"OTU164",42,50.752,44,57,"Specialists"
"OTU395",5,5.388,3.475,7,"NS"
"OTU250",54,60.396,55,67,"Specialists"
"OTU5806",9,7.436,5,10,"NS"
"OTU116",48,40.548,34,47,"Generalists"
"OTU189",68,51.736,45.475,58,"Generalists"
"OTU12",75,76.37,74,78,"NS"
"OTU321",73,50.322,45,57,"Generalists"
"OTU623",72,67.49,62,73,"NS"
"OTU451",28,18.976,15,23,"Generalists"
"OTU36547",78,60.332,54,66,"Generalists"
"OTU97132",36,29.64,24,35,"Generalists"
"OTU586",69,49.062,42,55.525,"Generalists"
"OTU552",74,48.218,42,54.525,"Generalists"
"OTU3783",8,8.64,6,11,"NS"
"OTU79",43,55.816,50,62,"Specialists"
"OTU28",76,64.536,59,70,"Generalists"
"OTU4061",27,21.112,16,26,"Generalists"
"OTU10038",19,11.99,9,15,"Generalists"
"OTU718",3,2.672,2,3,"NS"
"OTU515",8,26.04,21,31,"Specialists"
"OTU553",65,44.4,38,50,"Generalists"
"OTU65",31,45.102,39,52,"Specialists"
"OTU76",78,70.066,65,74,"Generalists"
"OTU683",51,28.812,23.475,34,"Generalists"
"OTU124",57,50.324,44,56,"Generalists"
"OTU1114",8,6.356,4,8,"NS"
"OTU252",77,74.41,71,77,"NS"
"OTU285",29,43.464,37,50,"Specialists"
"OTU1691",32,27.97,22.475,33,"NS"
"OTU25369",78,73.122,69,77,"Generalists"
"OTU27622",42,31.49,26,37,"Generalists"
"OTU88016",45,56.432,51,62,"Specialists"
"OTU62",41,65.106,59,71,"Specialists"
"OTU573",37,19.228,15,24,"Generalists"
"OTU7460",13,9.896,7,13,"NS"
"OTU54",77,73.582,69.475,77,"NS"
"OTU16078",6,5.352,3,7,"NS"
"OTU1953",36,25.712,21,31,"Generalists"
"OTU296",66,59.07,53,66,"NS"
"OTU56102",39,30.614,25,36,"Generalists"
"OTU183",55,43.118,37,49,"Generalists"
"OTU10",74,74.298,70,77,"NS"
"OTU180",77,70.004,65,75,"Generalists"
"OTU55727",26,16.032,12,20.525,"Generalists"
"OTU107",46,30.346,25,36,"Generalists"
"OTU832",15,16.528,13,21,"NS"
"OTU56182",45,26.582,22,31.525,"Generalists"
"OTU12389",11,22.98,18,28,"Specialists"
"OTU108",60,37.154,31,43,"Generalists"
"OTU1971",5,4.106,3,5,"NS"
"OTU60",74,62.224,56,68,"Generalists"
"OTU21",68,74.9,72,78,"Specialists"
"OTU2223",20,17.74,13.475,22,"NS"
"OTU881",5,9.124,6,12,"Specialists"
"OTU41",75,66.886,62,72,"Generalists"
"OTU29992",35,52.964,47,59,"Specialists"
"OTU408",13,14.024,11,18,"NS"
"OTU37",69,61.128,55,67,"Generalists"
"OTU24",74,77.208,75,78,"Specialists"
"OTU3873",23,18.028,14,22.525,"Generalists"
"OTU4256",16,10.942,8,14,"Generalists"
"OTU450",42,38.084,33,45,"NS"
"OTU3060",34,20.472,16,26,"Generalists"
"OTU137",73,50.83,44,57.525,"Generalists"
"OTU82",51,51.174,45,57.525,"NS"
"OTU2577",42,52.164,46,58,"Specialists"
"OTU178",55,51.964,46,58,"NS"
"OTU20504",13,9.8,7,13,"NS"
"OTU498",47,49.84,44,56,"NS"
"OTU209",63,59.728,53.475,66,"NS"
"OTU19494",78,77.14,75,78,"NS"
"OTU3797",6,7.888,6,10,"NS"
"OTU1057",24,30.772,26,36.525,"Specialists"
"OTU170",11,10.93,8,14,"NS"
"OTU555",29,20.012,16,24,"Generalists"
"OTU2258",7,8.352,6,11,"NS"
"OTU845",23,15.14,11,19,"Generalists"
"OTU8318",8,9.874,7,13,"NS"
"OTU1132",10,7.492,5,10,"NS"
"OTU88",74,56.536,50,64,"Generalists"
"OTU4",78,77.458,76,78,"NS"
"OTU712",27,20.156,16,25,"Generalists"
"OTU486",78,59.196,53,65,"Generalists"
"OTU100090",66,70.032,66,74,"NS"
"OTU1009",27,26.786,21.475,32,"NS"
"OTU724",63,43.75,37,50,"Generalists"
"OTU51",78,74.244,70,78,"NS"
"OTU6206",65,51.258,45,58,"Generalists"
"OTU161",78,53.208,47,59,"Generalists"
"OTU52424",6,8.622,6,11,"NS"
"OTU256",25,17.088,13,22,"Generalists"
"OTU100149",5,4.142,3,5,"NS"
"OTU15",67,63.054,58,69,"NS"
"OTU316",69,65.536,60,71,"NS"
"OTU42",71,75.742,72,78,"Specialists"
"OTU30",68,57.622,51,64,"Generalists"
"OTU8158",7,6.522,4,8,"NS"
"OTU660",61,52.102,46,58.525,"Generalists"
"OTU212",43,25.772,21,31,"Generalists"
"OTU205",50,51.406,45,57,"NS"
"OTU12222",18,12.768,9,16,"Generalists"
"OTU53725",78,65.252,59.475,70.525,"Generalists"
"OTU151",34,35.02,30,42,"NS"
"OTU579",48,31.81,26,37,"Generalists"
"OTU200",26,16.28,12,20,"Generalists"
"OTU2166",8,10.51,8,14,"NS"
"OTU633",25,20.12,16,25,"NS"
"OTU268",63,40.796,35,47,"Generalists"
"OTU67",41,70.974,66,75,"Specialists"
"OTU2621",17,13.218,10,17,"NS"
"OTU225",74,68.602,63,73,"Generalists"
"OTU211",78,72.02,67,76,"Generalists"
"OTU3741",13,10.442,7,13.525,"NS"
"OTU600",29,24.188,19,28.525,"Generalists"
"OTU2803",10,9.834,7,13,"NS"
"OTU11655",6,5.882,4,8,"NS"
"OTU737",29,18.582,14,23,"Generalists"
"OTU29",56,64.96,60,70.525,"Specialists"
"OTU9686",57,55.99,50,62.525,"NS"
"OTU1299",19,22.934,18,28,"NS"
"OTU3021",28,21.714,17,27,"Generalists"
"OTU3734",18,12.916,9.475,16.525,"Generalists"
"OTU323",17,16.404,12.475,20,"NS"
"OTU2025",35,22.072,17,27,"Generalists"
"OTU26733",10,7.424,5,10,"NS"
"OTU28009",3,2.722,2,3,"NS"
"OTU696",24,25.792,21,31,"NS"
"OTU925",74,53.988,47.475,60,"Generalists"
"OTU62459",3,3.482,2,4,"NS"
"OTU542",73,64.752,59,70,"Generalists"
"OTU90705",57,48.938,43,55,"Generalists"
"OTU332",71,45.192,38,51,"Generalists"
"OTU713",6,7.352,5,9.52499999999998,"NS"
"OTU143",8,13.878,10,18,"Specialists"
"OTU2004",5,8.68,6,11,"Specialists"
"OTU61883",3,2.678,2,3,"NS"
"OTU21039",6,4.8,3,6,"NS"
"OTU410",60,45.108,39,52,"Generalists"
"OTU26",5,7.946,6,10,"Specialists"
"OTU1645",10,14.056,11,18,"Specialists"
"OTU22832",1,1.88,1,2,"NS"
"OTU56636",11,9.822,7,13,"NS"
"OTU3500",36,23.278,19,29,"Generalists"
"OTU596",33,31.908,27,37.525,"NS"
"OTU422",67,49.58,43,55,"Generalists"
"OTU8",69,77.65,76,78,"Specialists"
"OTU68",75,63.62,58,69,"Generalists"
"OTU10371",3,3.502,2,4,"NS"
"OTU229",77,71.798,67,76,"Generalists"
"OTU1426",34,19.458,15,24,"Generalists"
"OTU1151",3,4.184,3,5,"NS"
"OTU1403",9,8.696,6,11,"NS"
"OTU1423",5,4.12,3,5,"NS"
"OTU445",53,42.444,36,48.525,"Generalists"
"OTU612",60,33.29,27,39,"Generalists"
"OTU1702",15,13.252,10,17,"NS"
"OTU9679",5,4.158,3,5,"NS"
"OTU1452",21,17.758,13,22,"NS"
"OTU580",50,30.218,25,35,"Generalists"
"OTU4440",18,14.682,11,18,"NS"
"OTU2479",23,13.192,10,17,"Generalists"
"OTU278",72,53.652,47,60,"Generalists"
"OTU1293",15,14.06,10,18,"NS"
"OTU3507",6,5.41,4,7,"NS"
"OTU4251",33,22.25,18,27,"Generalists"
"OTU295",3,2.7,2,3,"NS"
"OTU27857",22,18.204,14,23,"NS"
"OTU235",22,23.694,19,29.525,"NS"
"OTU8917",36,26.928,22,32,"Generalists"
"OTU352",34,29.322,24,35,"NS"
"OTU3724",9,6.886,5,9,"NS"
"OTU34",78,75.414,72,78,"NS"
"OTU1258",45,27.56,22,33,"Generalists"
"OTU314",23,45.714,40,53,"Specialists"
"OTU5792",12,10.222,7,13,"NS"
"OTU2856",52,35.402,29.475,41,"Generalists"
"OTU131",68,58.942,52,65,"Generalists"
"OTU501",14,13.904,10,17,"NS"
"OTU3832",21,15.816,12,20,"Generalists"
"OTU1246",44,29.65,24,35,"Generalists"
"OTU3501",5,12.144,9,16,"Specialists"
"OTU198",63,38.65,33,44,"Generalists"
"OTU606",49,38.626,33,44.525,"Generalists"
"OTU781",34,20.596,16,25,"Generalists"
"OTU942",36,31.248,26,37,"NS"
"OTU4888",30,17.614,13,22,"Generalists"
"OTU38158",10,20.28,16,25,"Specialists"
"OTU540",57,39.776,34,46,"Generalists"
"OTU5090",5,10.156,7,13,"Specialists"
"OTU55",61,66.042,60,71,"NS"
"OTU154",77,67.476,62,73,"Generalists"
"OTU7",63,64.634,59,70,"NS"
"OTU673",2,1.892,1,2,"NS"
