"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU173",23,19.026,14.475,24.525,"NS"
"OTU236",25,25.746,20,31,"NS"
"OTU1",77,74.21,71,77,"NS"
"OTU827",5,9.088,5.475,13,"Specialists"
"OTU107",23,25.438,19.475,31.525,"NS"
"OTU561",23,15.8,11,21,"Generalists"
"OTU1273",2,2.898,1,5,"NS"
"OTU3638",1,1.416,1,2,"NS"
"OTU67",30,23.682,18,29,"Generalists"
"OTU6679",42,39.886,33.475,47,"NS"
"OTU2407",3,3.388,2,5,"NS"
"OTU102",35,22.986,18,29,"Generalists"
"OTU75",26,22.348,17,29,"NS"
"OTU5",29,37.46,31,44,"Specialists"
"OTU12",49,42.524,36,49,"NS"
"OTU7",39,35.784,29.475,42,"NS"
"OTU749",23,9.966,6,14,"Generalists"
"OTU2",60,9.154,6,13,"Generalists"
"OTU877",10,6.304,3,9,"Generalists"
"OTU12011",27,8.12,5,12,"Generalists"
"OTU24",36,43.478,37,50,"Specialists"
"OTU187",23,21.37,16,27,"NS"
"OTU205",23,12.248,8,16,"Generalists"
"OTU25",34,29.556,23,36,"NS"
"OTU48",45,53.908,47.475,60,"Specialists"
"OTU1529",25,16.164,11,21,"Generalists"
"OTU423",23,13.974,9.475,18,"Generalists"
"OTU1509",23,13.56,9,18,"Generalists"
"OTU135",31,28.794,23,35,"NS"
"OTU689",43,19.908,15,25,"Generalists"
"OTU50",24,17.824,13,23.525,"Generalists"
"OTU3018",26,16.844,12,22,"Generalists"
"OTU91",23,15.934,11,21,"Generalists"
"OTU742",13,9.33,6,13,"NS"
"OTU367",11,5.404,3,8,"Generalists"
"OTU100",47,69.286,64,73,"Specialists"
"OTU13116",20,5.404,3,8.52499999999998,"Generalists"
"OTU177",28,26.56,20,32,"NS"
"OTU7288",19,4.22,2,7,"Generalists"
"OTU225",4,3.896,2,7,"NS"
"OTU12774",9,8.816,5,13,"NS"
"OTU1854",1,2.224,1,4,"NS"
"OTU53",46,25.872,20,32,"Generalists"
"OTU233",1,4.786,2.475,8,"Specialists"
"OTU146",65,29.618,23,36.525,"Generalists"
"OTU3757",24,7.572,4,11,"Generalists"
"OTU76",25,10.302,7,14,"Generalists"
"OTU715",21,5.768,3,9,"Generalists"
"OTU149",40,35.368,29,42,"NS"
"OTU30",23,10.866,7,16,"Generalists"
"OTU594",23,10.512,7,14,"Generalists"
"OTU631",23,13.406,9,18,"Generalists"
"OTU830",23,9.91,6,14,"Generalists"
"OTU7602",27,9.228,5,13,"Generalists"
"OTU3",67,53.082,47,60,"Generalists"
"OTU7361",7,2.696,1,5,"Generalists"
