"","SRR13801399","SRR13801186","SRR13801171","SRR13801400","SRR13801525","SRR13800997","SRR13801246","SRR13801475","SRR13801023","SRR13801012","SRR13801398","SRR13801333","SRR13801401","SRR13801146","SRR13801135","SRR13801476","SRR13801546","SRR13801070","SRR13801059","SRR13801489","SRR13801478","SRR13801335","SRR13801330","SRR13801329","SRR13801328","SRR13801279","SRR13801282","SRR13801277","SRR13801276","SRR13801274","SRR13801207","SRR13801203","SRR13801202","SRR13801200","SRR13801105","SRR13800981","SRR13800980","SRR13800978","SRR13800935","SRR13800930","SRR13800929","SRR13800928","SRR13800926","SRR13800925","SRR13800924","SRR13801157","SRR13801153","SRR13801152","SRR13801373","SRR13801372","SRR13801371","SRR13801410","SRR13801409","SRR13801408","SRR13801407","SRR13800940","SRR13800938","SRR13800937","SRR13800936","SRR13801151","SRR13801150","SRR13801149","SRR13801147","SRR13801145","SRR13801375","SRR13801445","SRR13801444","SRR13801441","SRR13801499","SRR13801054","SRR13801053","SRR13801051","SRR13801050","SRR13801049","SRR13801549"
"OTU173",0.00375902660995153,0.00187895569620253,0.000296794618124258,0.00731803797468354,0.00494706638963095,0.00514393115045999,0.00207859051766802,0.00306718116157119,0.0079137402314769,0.00514545814367702,0.0101869251310454,0.00306687772061733,0,0,0,0,0,0,0,0,0,0.00870511425462459,0.00711954909522397,0.00593354430379747,0.00435126582278481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100910170162248,0.0109814008705975,0.00425237341772152,0.00573689416419387,0.00988826263225551,0.00959351201661557,0.00741619697419163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062308377015132,0.00138490454050846,0.00356118310416461,0.00435298773248912,0.00108824693312228,0.00217627856365615,0
"OTU443",0.2783658126422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU236",0.00593530517360768,0.00524129746835443,0.000890383854372774,0.0151305379746835,0.0104877807460176,0.00722128796122267,0.00277145402355736,0.00405659443949738,0.0185972895439707,0.0100930140510588,0.0190881218474928,0.00435298773248912,0,0,0,9.88826263225551e-05,0,0,0,0,9.89217528934613e-05,0.0227520031654961,0.0228418866805102,0.0143393987341772,0.0124604430379747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343292441630392,0.0348239018599129,0.00642800632911392,0.00751730959446093,0.0328290319390883,0.024329937691623,0.0163156333432216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171748168679469,0,0,0,0,0.0123627732172881,0.00366010485705807,0.00405579186863191,0.00781559161060546,0.00207756232686981,0.00366010485705807,0
"OTU1",0.302403798595311,0.166040348101266,0.0170162247724575,0.417820411392405,0.215593153260117,0.366702937976061,0.273582104325448,0.0483823092905907,0.143040854683945,0.212349099544825,0.267629314607853,0.258607043925603,0.0410484668644906,0.329443180694293,0.0269976265822785,0.0223474735488975,0.5965172652617,0.107298259493671,0.0195826327761844,0.188977936083902,0.00910080126619844,0.2632307844495,0.388608721447642,0.205498417721519,0.333465189873418,0.180118694362018,0.271253459865559,0.00662382600098863,0.199189002076946,0.233577364463791,0.0293826671943015,0.137954905063291,0.179847570028704,0.258555885262117,0.482383214568488,0.232960728064101,0.404983191615582,0.476666007514337,0.30807281361298,0.203304313415117,0.257021360759494,0.409990108803165,0.212103233461881,0.217485906438532,0.245525561158904,0.0899920886075949,0.026810447170558,0.000989511181476351,0.205044510385757,0.0563630970038564,0.132357305371451,0.112440664556962,0.027029702970297,0.301730103806228,0.21191135734072,0.0785827395091053,0.130271233419125,0.00445147888020576,0.0857086302454474,0.0928599683544304,0.0850306505833498,0,0.0487925574030087,0.00395961195802811,0.227088482451804,0.146517609814009,0.154203758654797,0.456083086053412,0.152012659479774,0.171827084775942,0.256504105252745,0.380193905817174,0.171448357736446,0.25779008804036,0.381489172352418
"OTU713",0.0233455336828569,0,0,0,0.133966557831206,0.0107824710653873,0.000296941502524003,0.105867220738102,0.00840834899594421,0.000494755590738175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU156",0.114353546344841,0.116000791139241,0.369311436485952,0,0.00474918373404571,0.0017805915520823,0,0,0,0.00217692459924797,0.0427257442389477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU827",0.0329409437135226,0.00296677215189873,0.0483775227542541,0,0.000197882655585238,0,0.034940116796991,0.000494706638963095,0.000692452270254229,0.00247377795369088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89217528934613e-05,0
"OTU107",0.00425363537441883,0.00425237341772152,0.00118717847249703,0.0150316455696203,0.0111803700405659,0.00850727074883767,0.0037612590319707,0.00672801028989809,0.0197843505786923,0.0103898674055017,0.0227475027198101,0.00682627621685793,0,0,0,0,0,0,0,0,0,0.0176080720150361,0.015326807079996,0.00988924050632911,0.00969145569620253,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174119509299565,0.0203798971111991,0.00573575949367089,0.0112759643916914,0.0231385345594779,0.022055187419642,0.016216750716899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115715557313817,0.00366010485705807,0.00474824413888614,0.00910170162247725,0.00247328848436882,0.00326441784548422,0
"OTU561",0.000692452270254229,0.00158227848101266,0.000197863078749505,0.00514240506329114,0.00306718116157119,0.00247304382233653,0.00118776601009601,0.00247353319481547,0.00593530517360768,0.00237482683554324,0.0061319355157749,0.00128611001187178,0,0,0,0,0,0,0,0,0,0.00455040063309922,0.00444971818451498,0.00306566455696203,0.00296677215189873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00662841313810843,0.00801345468935497,0.00187895569620253,0.00267062314540059,0.00652625333728864,0.00642864207298981,0.00524077919509542,0,0,0,0,0,0,0,0,0,9.89315393747527e-05,9.89707046714173e-05,0,0,0,0,0,0,0.000395882818685669,0,0,0,0,0,0.0041538918010088,0.00593530517360768,0.00118706103472154,0.00217649386624456,0.000494657696873763,0.00108813928182807,0
"OTU1561",0.00722128796122267,9.88924050632911e-05,0,0,0,0,0.000395922003365337,0.00168200257247452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000890119671644743,0,0,0,9.89315393747527e-05,0.00593530517360768,0
