"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU17",56,70.796,67,74,"Specialists"
"OTU1139",26,21.066,16,26,"NS"
"OTU539",64,40.326,35,47,"Generalists"
"OTU14859",34,52.9,46,59,"Specialists"
"OTU1133",75,55.336,49,62,"Generalists"
"OTU5",75,74.72,73,75,"NS"
"OTU177",53,47.918,42,54,"NS"
"OTU88563",4,8.178,6,11,"Specialists"
"OTU31",75,74.872,74,75,"NS"
"OTU843",40,35.454,30,42,"NS"
"OTU71",73,72.39,69,75,"NS"
"OTU61",75,69.608,65,73,"Generalists"
"OTU957",65,42.896,37.475,49,"Generalists"
"OTU273",51,32.698,27,39,"Generalists"
"OTU3",75,75,75,75,"NS"
"OTU4781",46,27.2,22,33,"Generalists"
"OTU49",75,71.722,68,74,"Generalists"
"OTU5652",16,58.412,53,64,"Specialists"
"OTU774",67,48.124,42,54.525,"Generalists"
"OTU3092",23,18.616,14,23,"NS"
"OTU43",75,73.44,70,75,"NS"
"OTU224",70,61.656,56,67,"Generalists"
"OTU4878",26,22.686,18,27,"NS"
"OTU138",57,58.872,53,65,"NS"
"OTU904",59,38.632,33,45,"Generalists"
"OTU77",75,67.786,63,72,"Generalists"
"OTU29389",75,73.754,71,75,"NS"
"OTU614",39,35.448,29,42,"NS"
"OTU83440",75,69.212,65,73,"Generalists"
"OTU2301",52,38.448,33,44,"Generalists"
"OTU86477",11,11.232,8,14,"NS"
"OTU8308",21,14.09,10,18,"Generalists"
"OTU94",61,55.632,50,61,"NS"
"OTU13",71,70.102,66,74,"NS"
"OTU62369",50,35.234,30,41,"Generalists"
"OTU1294",18,12.438,9,16,"Generalists"
"OTU3698",6,10.256,7,13,"Specialists"
"OTU846",57,33.688,28,40,"Generalists"
"OTU22643",7,5.794,4,8,"NS"
"OTU46",75,72.252,69,75,"NS"
"OTU53",75,70.812,67,74,"Generalists"
"OTU164",56,54.006,47,60,"NS"
"OTU395",26,49.228,43,55,"Specialists"
"OTU250",62,61.578,56,67,"NS"
"OTU3570",2,4.106,2,5,"NS"
"OTU6537",5,7.262,5,10,"NS"
"OTU5806",18,18.976,15,24,"NS"
"OTU116",64,55.758,50,62,"Generalists"
"OTU189",73,63.87,58.475,69,"Generalists"
"OTU12",74,74.114,72,75,"NS"
"OTU321",69,57.278,51,63,"Generalists"
"OTU623",74,65.294,60,70,"Generalists"
"OTU451",46,44.692,38,51,"NS"
"OTU36547",75,61.844,56,68,"Generalists"
"OTU97132",35,35.388,30,41,"NS"
"OTU586",54,33.38,28,39,"Generalists"
"OTU73992",21,23.958,19,29,"NS"
"OTU552",66,46.676,40,53,"Generalists"
"OTU3783",16,18.032,14,23,"NS"
"OTU79",64,69.612,65,73,"Specialists"
"OTU28",75,72.612,70,75,"NS"
"OTU4061",33,26.482,21.475,32,"Generalists"
"OTU10038",27,20.328,16,25,"Generalists"
"OTU718",18,18.986,15,24,"NS"
"OTU515",25,47.698,42,54.525,"Specialists"
"OTU553",65,44.706,39,51,"Generalists"
"OTU65",51,63.126,57,68,"Specialists"
"OTU76",74,66.946,62,71,"Generalists"
"OTU683",56,43.552,37,49,"Generalists"
"OTU124",61,45.6,39,52,"Generalists"
"OTU1114",18,12.688,9,16,"Generalists"
"OTU252",69,68.684,64.475,72.525,"NS"
"OTU16425",13,14.926,11,19,"NS"
"OTU285",29,34.722,29,41,"NS"
"OTU1691",42,38.094,33,44,"NS"
"OTU25369",75,72.706,69,75,"NS"
"OTU27622",66,61.71,57,67,"NS"
"OTU88016",58,58.674,53,64,"NS"
"OTU62",49,60.76,55,66.525,"Specialists"
"OTU573",56,32.372,27,38,"Generalists"
"OTU7460",13,9.504,7,12,"Generalists"
"OTU54",73,69.502,65,73,"NS"
"OTU16078",20,35.684,30,42,"Specialists"
"OTU1953",54,39.814,34,46,"Generalists"
"OTU296",53,42.3,36,49,"Generalists"
"OTU56102",59,48.91,42,55,"Generalists"
"OTU183",60,54.414,48,61,"NS"
"OTU10",75,73.794,71,75,"NS"
"OTU180",59,58.006,52,64,"NS"
"OTU55727",11,7.272,5,9.52499999999998,"Generalists"
"OTU107",56,55.91,49,62,"NS"
"OTU832",18,16.638,13,21,"NS"
"OTU56182",24,16.85,13,21,"Generalists"
"OTU12389",42,38.936,33,45,"NS"
"OTU643",15,19.382,15,24,"NS"
"OTU108",70,54.804,49,61,"Generalists"
"OTU1971",25,17.636,14,22,"Generalists"
"OTU60",57,65.02,59.475,70,"Specialists"
"OTU21",75,72.686,70,75,"NS"
"OTU2223",25,22.396,17,27.525,"NS"
"OTU881",18,22.638,18,28,"NS"
"OTU41",75,67.158,62,71.525,"Generalists"
"OTU29992",44,53.468,47,60,"Specialists"
"OTU408",33,34.746,29,40,"NS"
"OTU37",74,66.534,62,71,"Generalists"
"OTU24",71,72.218,69,75,"NS"
"OTU3873",51,32.082,27,38,"Generalists"
"OTU4256",15,10.526,7,14,"Generalists"
"OTU450",52,40.138,34,46,"Generalists"
"OTU3060",43,27.89,23,33,"Generalists"
"OTU137",46,44.216,38,50,"NS"
"OTU82",58,65.342,60,70,"Specialists"
"OTU2577",50,50.104,44,56,"NS"
"OTU178",62,59.25,53,65.525,"NS"
"OTU20504",7,6.284,4,8,"NS"
"OTU498",66,51.688,45.475,58,"Generalists"
"OTU209",60,51.07,45,57,"Generalists"
"OTU19494",66,70.988,67,74,"Specialists"
"OTU3797",12,9.586,7,12,"NS"
"OTU1057",38,33.572,28,39,"NS"
"OTU6123",13,21.008,17,25,"Specialists"
"OTU170",42,39.674,33,46,"NS"
"OTU555",56,31.92,26,38,"Generalists"
"OTU2258",22,21.598,17,26.525,"NS"
"OTU845",33,18.868,14.475,23,"Generalists"
"OTU8318",7,10.734,8,14,"Specialists"
"OTU1132",25,18.144,14,23,"Generalists"
"OTU88",75,63.142,58,68,"Generalists"
"OTU571",21,35.786,30,42,"Specialists"
"OTU4",75,74.582,73,75,"NS"
"OTU712",38,27.406,22,33,"Generalists"
"OTU486",74,54.752,49,60,"Generalists"
"OTU100090",68,63.718,59,69,"NS"
"OTU1009",18,22.21,17,27,"NS"
"OTU724",59,43.354,37,50,"Generalists"
"OTU51",75,71.53,68,74,"Generalists"
"OTU6206",67,51.056,45,57,"Generalists"
"OTU161",75,61.852,56,67,"Generalists"
"OTU52424",21,20.386,16,25,"NS"
"OTU256",31,53.694,48,60,"Specialists"
"OTU100149",3,2.72,2,3,"NS"
"OTU15",73,67.304,63,71.525,"Generalists"
"OTU316",72,57.314,51,63,"Generalists"
"OTU42",63,67.016,62,72,"NS"
"OTU30",74,70.048,66,74,"NS"
"OTU8158",7,5.26,4,7,"NS"
"OTU660",62,41.056,35,47,"Generalists"
"OTU212",52,40.124,35,46,"Generalists"
"OTU205",44,42.444,36,49,"NS"
"OTU12222",22,19.034,15,24,"NS"
"OTU53725",74,65.502,61,70,"Generalists"
"OTU151",48,48.756,42.475,55.525,"NS"
"OTU579",59,38.664,33,45,"Generalists"
"OTU200",60,41.58,35,48,"Generalists"
"OTU2166",26,17.04,13,22,"Generalists"
"OTU633",31,24.22,19,29,"Generalists"
"OTU268",63,36.296,30.475,42,"Generalists"
"OTU67",14,30.914,26,37,"Specialists"
"OTU8959",15,19.378,15,24,"NS"
"OTU2621",24,21.004,16.475,25,"NS"
"OTU225",75,58.248,52,64,"Generalists"
"OTU211",75,63.616,58,69,"Generalists"
"OTU3741",10,9.334,7,12,"NS"
"OTU600",45,38.23,32,45,"NS"
"OTU2803",22,17.616,14,22,"NS"
"OTU11655",13,14.398,10.475,18,"NS"
"OTU480",19,37.3,31,44,"Specialists"
"OTU737",54,58.202,52,64,"NS"
"OTU29",66,69.858,65.475,73,"NS"
"OTU9686",56,62.934,57,69,"Specialists"
"OTU1299",32,30.074,25,36,"NS"
"OTU3021",31,21.65,17,27,"Generalists"
"OTU3734",11,9.168,6,12,"NS"
"OTU323",19,21.864,17,26,"NS"
"OTU2025",39,30.662,25,36,"Generalists"
"OTU26733",20,14.224,11,18,"Generalists"
"OTU28009",2,1.922,1,2,"NS"
"OTU696",46,37.128,31,43,"Generalists"
"OTU925",63,39.504,33,45,"Generalists"
"OTU62459",17,19.458,15,24,"NS"
"OTU542",65,45.332,39,51,"Generalists"
"OTU90705",46,47.304,40.475,54,"NS"
"OTU332",71,46.152,40,52,"Generalists"
"OTU713",26,27.904,23,33,"NS"
"OTU2762",7,9.602,7,12,"NS"
"OTU143",37,35.44,29,42,"NS"
"OTU2004",5,6.772,4.475,9,"NS"
"OTU61883",3,2.708,2,3,"NS"
"OTU21039",5,4.106,3,5,"NS"
"OTU410",74,51.328,46,57,"Generalists"
"OTU26",31,44.68,39,51,"Specialists"
