"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU173",29,17.676,12,23,"Generalists"
"OTU443",1,22.136,16,28,"Specialists"
"OTU236",32,29.036,23,35.525,"NS"
"OTU1",74,74.062,72,75,"NS"
"OTU713",7,22.314,16,28,"Specialists"
"OTU156",7,30.846,25,37,"Specialists"
"OTU827",9,16.204,11,21.525,"Specialists"
"OTU107",29,23.66,18,29,"NS"
"OTU561",32,14.794,10,19,"Generalists"
"OTU1561",7,6.756,4,10,"NS"
"OTU1273",8,18.708,14,24,"Specialists"
"OTU3638",13,10.208,6,14,"NS"
"OTU1894",7,9.94,6,14,"NS"
"OTU67",51,21.988,16,28,"Generalists"
"OTU6679",51,37.324,31,44,"Generalists"
"OTU2407",7,3.678,2,6,"Generalists"
"OTU102",53,20.364,15,26,"Generalists"
"OTU75",32,30.502,25,36,"NS"
"OTU5",48,35.446,29,42,"Generalists"
"OTU12",50,39.1,33,46,"Generalists"
"OTU7",59,36.074,30,42,"Generalists"
"OTU749",31,18.54,13,24,"Generalists"
"OTU5362",1,2.394,1,4,"NS"
"OTU2",58,8.94,5.475,13,"Generalists"
"OTU877",17,13.106,9,17.525,"NS"
"OTU12011",39,8.36,5,12,"Generalists"
"OTU2034",2,2.804,1,5,"NS"
"OTU24",41,38.18,32,44.525,"NS"
"OTU187",32,19.48,14,25.525,"Generalists"
"OTU205",30,10.528,7,15,"Generalists"
"OTU25",48,29.182,23,36,"Generalists"
"OTU3509",3,5.3,3,9,"NS"
"OTU2160",2,1.284,1,2,"NS"
"OTU48",46,51.852,46,58,"NS"
"OTU1224",1,12.406,8,17,"Specialists"
"OTU1529",38,15.538,11,20,"Generalists"
"OTU2316",9,4.27,2,7,"Generalists"
"OTU4094",6,3.15,1,6,"NS"
"OTU423",29,12.442,8,17,"Generalists"
"OTU526",16,10.694,7,15,"Generalists"
"OTU1509",30,11.624,8,16,"Generalists"
"OTU135",33,24.608,19,30,"Generalists"
"OTU689",40,13.216,9,18,"Generalists"
"OTU50",33,23.008,17,29,"Generalists"
"OTU1500",3,8.618,5,13,"Specialists"
"OTU3018",34,14.67,10,20,"Generalists"
"OTU91",44,19.238,14,25,"Generalists"
"OTU742",22,15.212,11,20,"Generalists"
"OTU367",16,16.816,12,22,"NS"
"OTU5051",2,3.272,2,5,"NS"
"OTU463",1,2.418,1,4,"NS"
"OTU100",28,26.528,20.475,32,"NS"
"OTU13116",29,6.07,3,9,"Generalists"
"OTU177",37,28.178,22,35,"Generalists"
"OTU403",7,14.776,10,19,"Specialists"
"OTU7288",21,3.778,2,6,"Generalists"
"OTU225",17,14.894,11,20,"NS"
"OTU12774",9,2.592,1,4,"Generalists"
"OTU1854",14,9.542,6,14,"NS"
"OTU4008",4,3.088,1,5,"NS"
"OTU53",48,21.616,16,27,"Generalists"
"OTU233",3,1.98,1,3,"NS"
"OTU146",48,16.852,12,22,"Generalists"
"OTU3757",26,6.462,4,10,"Generalists"
"OTU76",42,24.522,19,31,"Generalists"
"OTU721",2,1.782,1,3,"NS"
"OTU12137",2,1.302,1,2,"NS"
"OTU7911",1,1.782,1,3,"NS"
"OTU715",27,5.712,3,8.52499999999998,"Generalists"
"OTU149",37,23.682,18,30,"Generalists"
"OTU30",37,31.552,25,38,"NS"
"OTU594",29,8.632,5,12.525,"Generalists"
"OTU631",30,12.108,8,17,"Generalists"
"OTU830",27,8.532,5,13,"Generalists"
"OTU7602",32,11.498,7,16,"Generalists"
"OTU8470",2,1.482,1,3,"NS"
"OTU3",62,32.812,26,40,"Generalists"
"OTU7361",14,4.004,2,7,"Generalists"
"OTU8836",36,10.478,7,15,"Generalists"
"OTU2072",7,5.036,3,8,"NS"
"OTU293",43,15.864,11,20.525,"Generalists"
"OTU5531",32,8.05,4,11.525,"Generalists"
"OTU10392",36,10.566,7,15,"Generalists"
"OTU918",10,3.542,2,6,"Generalists"
"OTU4287",3,2.778,1,5,"NS"
"OTU121",30,9.24,6,13.525,"Generalists"
"OTU809",29,8.784,5,13,"Generalists"
"OTU1020",1,15.46,11,20,"Specialists"
"OTU7504",18,3.692,2,6,"Generalists"
"OTU2737",3,4.996,2,8,"NS"
"OTU5396",4,2.288,1,4,"NS"
"OTU674",27,6.258,3.475,10,"Generalists"
"OTU4040",2,2.796,1,5,"NS"
"OTU9163",42,11.188,7,16,"Generalists"
"OTU1192",8,7.726,4,11,"NS"
"OTU939",15,11.624,8,16,"NS"
"OTU8425",2,2.264,1,4,"NS"
"OTU1644",2,1.906,1,3,"NS"
"OTU1736",4,11.718,8,16,"Specialists"
"OTU58",38,12.36,8,17,"Generalists"
"OTU3896",25,6.792,4,10,"Generalists"
"OTU289",30,14.118,9,19,"Generalists"
"OTU214",27,24.55,19,30,"NS"
"OTU137",34,20.868,16,26,"Generalists"
"OTU200",32,10.05,6,14,"Generalists"
"OTU655",31,21.706,16,28,"Generalists"
"OTU552",27,6.502,4,10,"Generalists"
"OTU1792",17,11.982,8,17,"NS"
"OTU6002",3,1.942,1,4,"NS"
"OTU10",18,3.414,1,5,"Generalists"
"OTU5938",4,3.744,2,6,"NS"
"OTU926",27,7.358,4,11,"Generalists"
"OTU2462",17,8.978,5.475,13,"Generalists"
"OTU9487",39,7.172,4,11,"Generalists"
"OTU4672",30,8.192,5,12,"Generalists"
"OTU94",36,11.984,8,16,"Generalists"
"OTU867",12,21.332,16,26.525,"Specialists"
"OTU469",1,1.27,1,2,"NS"
"OTU708",27,6.002,3,9,"Generalists"
"OTU532",19,3.726,2,6,"Generalists"
"OTU649",36,12.142,8,17,"Generalists"
"OTU7127",14,2.912,1,5,"Generalists"
"OTU2559",21,4.196,2,7,"Generalists"
"OTU1007",14,11.444,8,16,"NS"
"OTU4938",4,1.792,1,3,"Generalists"
"OTU1170",29,7.048,4,11,"Generalists"
"OTU8493",6,8.178,5,12,"NS"
"OTU301",22,5.492,3,9,"Generalists"
"OTU679",39,15.74,11,21,"Generalists"
"OTU5848",4,1.652,1,3,"Generalists"
"OTU56",17,23.68,18,30,"Specialists"
"OTU4421",26,10.46,7,15,"Generalists"
"OTU4125",11,3.764,2,6,"Generalists"
"OTU1056",10,9.586,6,14,"NS"
"OTU11449",2,1.282,1,2,"NS"
"OTU256",31,21.158,16,26,"Generalists"
"OTU11846",28,4.944,3,8,"Generalists"
"OTU280",26,6.558,3,10,"Generalists"
"OTU181",3,2.836,1,5,"NS"
"OTU123",36,13.466,9,18.525,"Generalists"
"OTU10124",26,6.084,3,9,"Generalists"
"OTU437",19,9.74,6,14,"Generalists"
"OTU2688",4,6.986,4,11,"NS"
"OTU108",26,19.014,14,25,"Generalists"
"OTU4238",10,3.818,2,6,"Generalists"
"OTU5088",21,5.034,3,8,"Generalists"
"OTU5708",5,12.532,9,17,"Specialists"
"OTU263",31,11.95,7,16,"Generalists"
"OTU1252",26,8.14,5,12,"Generalists"
"OTU8314",22,4.748,3,8,"Generalists"
"OTU1485",25,5.682,3,9,"Generalists"
"OTU351",12,9.63,6,13,"NS"
"OTU3481",8,6.866,4,10,"NS"
"OTU1575",19,23.49,18,29,"NS"
