"","SRR13801030","SRR13801029","SRR13801028","SRR13801031","SRR13801027","SRR13801026","SRR13801025","SRR13801024","SRR13801021","SRR13801020","SRR13801019","SRR13801193","SRR13801192","SRR13801191","SRR13801194","SRR13801190","SRR13801189","SRR13801188","SRR13801187","SRR13801184","SRR13801183","SRR13801182","SRR13801181","SRR13801365","SRR13801364","SRR13801366","SRR13801362","SRR13801361","SRR13801360","SRR13801358","SRR13801356","SRR13801355","SRR13801354","SRR13801472","SRR13801471","SRR13801470","SRR13801402","SRR13801469","SRR13801468","SRR13801466","SRR13801465","SRR13801464","SRR13801463","SRR13801461","SRR13801542","SRR13801541","SRR13801540","SRR13801543","SRR13801539","SRR13801538","SRR13801537","SRR13801535","SRR13801534","SRR13801533","SRR13801532","SRR13801531","SRR13801143","SRR13801142","SRR13801141","SRR13801144","SRR13801140","SRR13801139","SRR13801138","SRR13801136","SRR13801134","SRR13801133","SRR13801132","SRR13800991","SRR13800990","SRR13800989","SRR13800992","SRR13800988","SRR13800987","SRR13800986","SRR13800984","SRR13801271","SRR13801270","SRR13801269","SRR13801268"
"OTU173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006233303650935,0.00316580925999209,0.00326377212936406,0.00326280403401226,0.00553852240134507,0.00415471362152537,0.0056390977443609,0.0051413881748072,0.00514342235410485,0.00553907022749753,0.00682560094964883,9.89511181476351e-05,0,0.000692178384257886,0.000494462025316456,0,0.00464978235061338,0,0,0.000395452298566485,0,0.00019782393669634,0,0,0,0,0,0,0.00019780437147661,0,0,0,0,0,0.00385718524379389,0.00346328913516723,0.00277035717819333,0.0041538918010088,0.00257145682919593,0.00316393118449674,0.00356083086053412,0.00464702392722958,0.00346260387811634,0.00494657696873763,0.00365938087231728,0.00237341772151899
"OTU561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00425447709508262,0.00237435694499406,0.00217584808624271,0.0025706940874036,0.00929680545940065,0.00811158373726382,0.00435298773248912,0.00346054973304331,0.00326409495548961,0.00267062314540059,0.00316549609259076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197745699031046,0,0,0,0.00019780437147661,0,9.8872849515523e-05,0,0,0,0.00148353278607457,0.00217692459924797,0.00286929850598595,0.00108792404312135,0.00237365245771932,0.00326280403401226,0.00158259149357072,0.00187858414079494,0.00247328848436882,0.00346260387811634,0.00267035901493423,0.0010878164556962
"OTU67",0.107065109835741,0.00870167111638485,0.000593471810089021,0.000791139240506329,0,0,0.00336267431510236,0.0040549896152705,0.000593647966755714,0.00316706254948535,9.89315393747527e-05,9.8872849515523e-05,0.000197921820880752,0.00079160894518108,0.000197745699031046,0.000494755590738175,0.00474683544303797,0,0.00998912075956879,0.00019782393669634,9.88826263225551e-05,9.8941327792619e-05,0.000890207715133531,0,0,0,0,0,9.88924050632911e-05,0,0,9.89119683481701e-05,9.89021857383048e-05,0.0110814287127733,0.00643055005935892,0.00543962021560677,0.00613011666996243,0.00919790327366235,0.00573746166782075,0.00949742777997626,0.0077120822622108,0.00900098911968348,0.00712166172106825,0.012661984370363,0.131703938254502,0.00118659151587066,0.00108770888954811,0.0146360759493671,0.0213649851632047,0.112485160269094,0.0367108648327726,0.0380811078140455,0.00355907068709837,0.000395843641761504,0.00642927794263106,0.0114726535456434,0,9.8872849515523e-05,0.000296706557214914,9.89021857383048e-05,0,0.000494510928691524,9.8960910440376e-05,0,9.89902989507028e-05,0.00138586418530984,0,0.00870339234497082,0.00841084504254898,0.00751954091223904,0.00464840272970033,0.00445059835822372,0.00761320941269527,0.00593471810089021,0.0086019379078505,0.0075187969924812,0.0115749901068461,0.00593413114429829,0.0022745253164557
"OTU6679",0,0.000296647878967665,0,0,0,0,0,9.89021857383048e-05,0.00296823983377857,0.00128661916072842,0,0,0,0,0,0,0,0,0,0,0.00751507960051419,0,0,0,0.000494364247577615,0,0,0.000890295776041151,0,0,0.00613132911392405,0.00138476755687438,0,0.0440288908677154,0.0334388603086664,0.0394619721095836,0.03025509195175,0.0434180595391158,0.0326441784548422,0.0405619311436486,0.0377694285149298,0.0461918892185954,0.0359050445103858,0.0401622316747453,0.0190975658024936,0,0,0,0,0,0,0.000494559841740851,0,0,0,0,0.00277090549233053,0.000692109946608661,0.00019780437147661,0.00019780437147661,0.00811078140454995,0.0174067846899416,0.000296882731321128,0.000593237097093138,0,0.00168283508216195,0.000791217485906439,0.0235387202057165,0.0281021175539284,0.0295834570099931,0.0195826327761844,0.024329937691623,0.0232351196361479,0.0266073194856578,0.0278821435633775,0.0256232686980609,0.0367036011080332,0.0296706557214914,0.0153283227848101
"OTU102",0,0,0,0,0,0,0,0,0,0,0,0.00346054973304331,0.000197921820880752,0.108747278844251,0.0258058137235515,0.00108846229962399,0.281447784810127,0.00019780437147661,0.0213628721194738,0.00939663699307616,9.88826263225551e-05,0.00168200257247452,0,0,0.000494364247577615,0,0,0.00623207043228806,0,0,0.000197784810126582,0,0.000989021857383048,0.0214702681309983,0.0564899089829838,0.00573632677282168,0.00296618548546569,0.00929680545940065,0.00316549609259076,0.00633161851998417,0.00286731263595017,0.00405539070227498,0.00217606330365974,0.00682560094964883,0.00603601820700574,9.88826263225551e-05,0.000395530505290221,0.0010878164556962,0.00652818991097923,0.00108824693312228,0.00178112012665743,0.00336300692383778,0.00266930301532378,0.000593765462642256,0.00108803165182987,0.0020769459005044,0.0495794161306284,0,9.89021857383048e-05,0.000296706557214914,0,0.00019780437147661,0.00564077189510143,0.000692109946608661,0.000197980597901406,0,0,0.00435169617248541,0.00504650702552939,0.00257247452260809,0.00296706557214914,0.00514291365839185,0.00346054973304331,0.00207715133531157,0.00415265967965197,0.00464978235061338,0.0073209339137317,0.00494510928691524,0.00158227848101266
"OTU5",0.00296853354442905,0.000593295757935331,0,0.000395569620253165,0.00217606330365974,0,9.89021857383048e-05,0,0.000494706638963095,0.000791765637371338,0.000296794618124258,9.8872849515523e-05,0.00425531914893617,0.0115772808232733,0,0,0.00148338607594937,0,0,0.00148367952522255,0.052012261445664,9.8941327792619e-05,0,0,0,0.0010878164556962,0.00197784810126582,0,9.88924050632911e-05,0,0.00306566455696203,0.00019782393669634,0.000890119671644743,0.0283961610764816,0.0156311832212109,0.0156265453466522,0.0140399446312043,0.0214617743052121,0.0241369077060045,0.0324495449149189,0.0189835871069804,0.0272007912957468,0.0270029673590504,0.0259174992580869,0.0882643973876905,0,0.0796993968159794,0.00148338607594937,0.00791295746785361,9.89315393747527e-05,0.00554126261626756,0.00217606330365974,0,0,0,0,0.00237506185056903,0,9.89021857383048e-05,0.00138463060033627,0.00346191889218595,0.00227475027198101,0.00465116279069767,0.0126557247379869,0.00277172837061968,0.00118788358740843,0.000791217485906439,0.0258134704776976,0.0329507223431625,0.0214702681309983,0.0190881218474928,0.0209672633765206,0.0293652363061103,0.019782393669634,0.0469646035198734,0.0334388603086664,0.0583696082311041,0.0527148649985165,0.0118670886075949
"OTU12",0,0.00158212202116088,0.000791295746785361,0,0,9.88924050632911e-05,0.000296706557214914,0.00454950054396202,0.000296823983377857,9.89707046714173e-05,0,0,0.00237506185056903,9.89511181476351e-05,0,0,0,0,0,0,0.00019776525264511,0,0,0,0,0,0,9.89217528934613e-05,0,0,9.88924050632911e-05,0,0,0.0372019392500247,0.0273051048674317,0.0247255464345762,0.0233339924856634,0.0362971021659579,0.0208724898605203,0.0316580925999209,0.0267945422187067,0.0327398615232443,0.0300692383778437,0.0301711346325057,0.00138531565406689,0,0.00168100464748344,0.000395569620253165,0.0135509396636993,0.00148397309062129,0.00118741341777162,0.00702274975272008,0.0041522491349481,0,9.89119683481701e-05,0.000494510928691524,9.8960910440376e-05,0,9.89021857383048e-05,0.000692315300168134,0.00603363006923838,0.0128572841459796,9.8960910440376e-05,0.000692109946608661,0,0,0.000395608742953219,0.0215606764909505,0.0236493172372848,0.0266152171762145,0.017208980318465,0.0216595786766888,0.0225430096895393,0.020375865479723,0.0252125766264584,0.0237435694499406,0.0365057380292837,0.0233409158342399,0.0137460443037975
"OTU7",0.00484860478923412,0,0.00286844708209693,0,9.89119683481701e-05,9.88924050632911e-05,0,0,0,0.000395882818685669,0,0,0.00277090549233053,0.0016821690085098,0.00692109946608661,0,0.00712025316455696,0.000296706557214914,0.0198793393333993,0.00029673590504451,0.00158212202116088,0.000197882655585238,0,0,0,0,0,0,0,0,0,0,0,0.0348273473830019,0.0250296794618124,0.0178023934328949,0.0193790785050425,0.0285827316783701,0.0202789593431596,0.0299762564305501,0.0243227209808187,0.0301681503461919,0.02324431256182,0.0318528044316945,0.0236493172372848,0,0.000988826263225551,0.00326344936708861,0.0019782393669634,0.0129600316580926,0.0138531565406689,0.0127596439169139,0.00118635689569946,0.000197921820880752,0.0165182987141444,0.00019780437147661,0,0,0.00019780437147661,0.000494510928691524,0.000494559841740851,0.000791217485906439,0,0,9.89902989507028e-05,0.000197980597901406,0,0.0167144693897735,0.0190975658024936,0.0205797961808647,0.0152309366036989,0.0183958065473247,0.0274866521653154,0.018001978239367,0.0229385010876013,0.017609814008706,0.0277997625643055,0.0204727524478291,0.0184928797468354
"OTU749",0,0,0,0,9.89119683481701e-05,0,0.000890119671644743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168200257247452,0.000791452314998021,0.000890119671644743,0.000593237097093138,0.000296706557214914,0.000494608764467306,0.000791452314998021,0.000494364247577615,0.000890207715133531,0.000791295746785361,0.00158274804629538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000890119671644743,0.000494755590738175,0.000593647966755714,0.00108792404312135,0.000692315300168134,0.00108760134467075,0.00039564787339268,0.0012853470437018,0.000593589236248516,0.00128611001187178,0.000593413114429829,0.000197784810126582
"OTU2",0.00019790223629527,0.000593295757935331,0.000494559841740851,9.88924050632911e-05,0.00019782393669634,0.0010878164556962,9.89021857383048e-05,0.00108792404312135,0.000395765311170476,0,0.00108824693312228,0,0,0.00019790223629527,0.00108760134467075,0.00039580447259054,9.88924050632911e-05,9.89021857383048e-05,0.000494510928691524,0.00118694362017804,0,0.000791530622340952,0,0.000692109946608661,0.00098872849515523,0,0.000197784810126582,0.000395687011573845,0,0,0.000197784810126582,0,0.00019780437147661,0.000593647966755714,0.00118717847249703,0.000692315300168134,0.000494364247577615,0.000989021857383048,0.000296765258680384,0.000593589236248516,0.000494364247577615,0,0.000692383778437191,0.000593530517360768,0,0.000791061010580441,0,0,0,0,0,9.89119683481701e-05,0,0,0,0,0.000692726373082632,0.000593237097093138,0.000296706557214914,9.89021857383048e-05,9.89119683481701e-05,0,9.8960910440376e-05,0,0,0,9.89021857383048e-05,0,0,9.8941327792619e-05,0.000296706557214914,0,0.000197745699031046,9.89119683481701e-05,9.8872849515523e-05,0,9.89315393747527e-05,0,9.88924050632911e-05
