"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU17",59,74.408,70.475,78,"Specialists"
"OTU1139",18,14.35,11,18,"NS"
"OTU539",77,53.152,47,59,"Generalists"
"OTU14859",34,47.262,41.475,53,"Specialists"
"OTU1133",78,58.322,52,64,"Generalists"
"OTU5",79,78.916,78,79,"NS"
"OTU177",45,38.526,33,44,"Generalists"
"OTU31",79,78.848,78,79,"NS"
"OTU843",33,34.954,29,41,"NS"
"OTU71",79,76.584,74,79,"NS"
"OTU61",79,75.254,71,78,"Generalists"
"OTU957",69,53.118,47,59.525,"Generalists"
"OTU273",63,49.022,43,55.525,"Generalists"
"OTU3",79,78.998,79,79,"NS"
"OTU4781",58,36.894,31.475,43,"Generalists"
"OTU49",79,74.984,71,78,"Generalists"
"OTU5652",8,13.758,10,17,"Specialists"
"OTU774",77,60.65,54,67,"Generalists"
"OTU3092",14,11.816,9,15,"NS"
"OTU43",77,75.784,72,79,"NS"
"OTU224",77,68.12,64,73,"Generalists"
"OTU4878",29,27.43,22,33,"NS"
"OTU138",57,66.006,60,72,"Specialists"
"OTU904",52,34.7,29.475,40,"Generalists"
"OTU77",78,69.786,64,74,"Generalists"
"OTU29389",77,78.268,76,79,"NS"
"OTU614",16,19.218,15,23,"NS"
"OTU83440",79,74.876,71,78,"Generalists"
"OTU2301",47,33.666,28,39,"Generalists"
"OTU86477",13,11.184,8,14,"NS"
"OTU8308",15,14.016,10,17,"NS"
"OTU94",63,50.962,45,58,"Generalists"
"OTU13",79,78.106,76,79,"NS"
"OTU62369",67,46.018,39,53,"Generalists"
"OTU1294",35,23.38,19,28,"Generalists"
"OTU3698",3,2.758,2,3,"NS"
"OTU846",52,34.012,28,40,"Generalists"
"OTU22643",3,2.77,2,3,"NS"
"OTU46",79,75.944,73,79,"NS"
"OTU53",79,77.294,75,79,"NS"
"OTU164",69,72.496,68,76,"NS"
"OTU395",18,30.098,25,35,"Specialists"
"OTU250",60,67.022,62,72,"Specialists"
"OTU3570",2,7.93,6,10,"Specialists"
"OTU5806",5,4.318,3,5,"NS"
"OTU116",77,68.278,62.475,73,"Generalists"
"OTU189",77,67.888,62,73,"Generalists"
"OTU12",79,78.638,77,79,"NS"
"OTU321",78,71.168,66.475,76,"Generalists"
"OTU623",78,74.032,70,78,"NS"
"OTU451",34,30.458,25,36,"NS"
"OTU36547",79,72.46,68,77,"Generalists"
"OTU97132",29,32.688,27,39,"NS"
"OTU586",59,36.144,31,42,"Generalists"
"OTU73992",19,23.768,19,29,"NS"
"OTU552",64,46.728,41,53,"Generalists"
"OTU79",64,59.466,54,65,"NS"
"OTU28",79,77.66,75,79,"NS"
"OTU4061",44,27.684,23,33,"Generalists"
"OTU10038",10,9.938,7,13,"NS"
"OTU718",22,22.126,17,27,"NS"
"OTU515",12,17.78,14,22,"Specialists"
"OTU553",64,47.86,42,54,"Generalists"
"OTU65",47,59.868,54,66,"Specialists"
"OTU76",78,76.39,73,79,"NS"
"OTU683",70,50.106,44,56,"Generalists"
"OTU124",65,41.11,35,47,"Generalists"
"OTU1114",28,19.7,15,24,"Generalists"
"OTU252",69,60.882,55,67,"Generalists"
"OTU16425",9,9.78,7,12,"NS"
