"","SRR13801311","SRR13801300","SRR13801289","SRR13801322","SRR13801278","SRR13801219","SRR13801208","SRR13801197","SRR13801185","SRR13801126","SRR13801115","SRR13801016","SRR13801015","SRR13801018","SRR13801014","SRR13801013","SRR13801011","SRR13801010","SRR13801009","SRR13801008","SRR13801349","SRR13801320","SRR13801319","SRR13801318","SRR13801321","SRR13801317","SRR13801316","SRR13801315","SRR13801314","SRR13801313","SRR13801312","SRR13801310","SRR13801309","SRR13801220","SRR13801221","SRR13801216","SRR13801215","SRR13801214","SRR13801213","SRR13801212","SRR13801211","SRR13801210","SRR13801179","SRR13801178","SRR13801177","SRR13801176","SRR13801127","SRR13801125","SRR13801124","SRR13801123","SRR13801122","SRR13801121","SRR13801120","SRR13801074","SRR13801073","SRR13801075","SRR13801071","SRR13801069","SRR13801068","SRR13801067","SRR13801066","SRR13801065","SRR13801064","SRR13801576","SRR13801574","SRR13801572","SRR13801569","SRR13801175","SRR13801174","SRR13801173","SRR13801352","SRR13801351","SRR13801353","SRR13801424","SRR13801422","SRR13801421","SRR13801420","SRR13801419","SRR13801418","SRR13801417","SRR13801416","SRR13801529","SRR13801528","SRR13801527","SRR13801530","SRR13801526","SRR13801522","SRR13801521","SRR13800958","SRR13800956","SRR13801130","SRR13801129","SRR13801128","SRR13801131","SRR13801396","SRR13801395","SRR13801393","SRR13801392","SRR13801391","SRR13801390","SRR13801389","SRR13801435","SRR13801434","SRR13801433","SRR13801437","SRR13801432","SRR13801431","SRR13801430","SRR13801429","SRR13801428","SRR13801427","SRR13801426","SRR13801007","SRR13801266","SRR13801265","SRR13801264","SRR13801267","SRR13801263","SRR13801261","SRR13801260","SRR13801259","SRR13801258","SRR13801257","SRR13801256","SRR13801097","SRR13801095","SRR13801098","SRR13801093","SRR13801092","SRR13801091","SRR13801090","SRR13801089","SRR13801088","SRR13801087","SRR13801511","SRR13801510","SRR13801509","SRR13801512","SRR13801508","SRR13801507","SRR13801506","SRR13801505","SRR13801503","SRR13801502","SRR13801501","SRR13801500","SRR13801488","SRR13801487","SRR13801486","SRR13801490","SRR13801485","SRR13801484","SRR13801483","SRR13801481","SRR13801480","SRR13801479","SRR13801477"
"OTU173",0.00375828305805558,0.00296823983377857,0.00277008310249307,0.000593295757935331,0.00395491398062092,0.0019776525264511,0.00356294536817102,0.00108867775138559,0.00128560126582278,0.00108792404312135,0.00237294838837255,0,0,0,0,0.00019780437147661,0,0,0,0,9.89119683481701e-05,0.00504301394245031,0.00227407553885703,0.00484429065743945,0.0077128448531593,0.00494413131612776,0.00573462527190034,0.0101849105112232,0.00365901898734177,0.00484572784810127,0.00385565991102323,0.00573746166782075,0.00721914556962025,0,0,0,0,0,0,0,0,0.0012853470437018,0,0,0,0,0,0,0,0,0,0,0,0,0.000791452314998021,0.00436205016357688,0,0,0.00178094390026714,0,0.000296706557214914,0,0,0,0,0,0,0,0,0,0,0,0,9.89315393747527e-05,0,0,0,0,0,0,0,0.00415348101265823,0.00711954909522397,0.162298486796558,0,0.00019780437147661,0.00444971818451498,0,0.000791530622340952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0,0,0,0,0,0.00603661553686294,0.00721985955889625,0.00485100485100485,0.00820806962025316,0.00217584808624271,0.00395608742953219,0.00554071435638666,0.00622960545832097,0.00444971818451498,0.00662775744386191,0.00524129746835443,0.00652625333728864,0.00524233432245302,0.0101889405480265,0.0055379746835443,0.00415183867141162,0.00247549262303198,0.00395608742953219,0.00474824413888614,0.00633161851998417,0.00632973988725151,0.00484572784810127,0.00207674050632911,0.00177988727380599,0.00603184020567586,0.00613072283199842,0.00326344936708861,0.00742133386107263,0.00721914556962025,0.00079137402314769,0.00346294647274166,0.00534018987341772,0.00415594696220067,0.00919335705812574,0.00751582278481013,0.00939199209095403,0.00988924050632911,0.00702970297029703,0.00840419220881946,0.00632973988725151,0.010579394898161,0.0102868447082097,0.0106803797468354,0.0124579790389559
"OTU236",0.00662644644446642,0.00326506381715643,0.00573802928373566,0.000889943636902996,0.0108760134467075,0.00177988727380599,0.00445368171021378,0.00178147268408551,0.00257120253164557,0.000791217485906439,0.00395491398062092,0,0,0,0.12113121724513,0,0,0,0.000296677215189873,0,0.0107814045499505,0.00583407495303075,0.00286731263595017,0.00355907068709837,0.0180955206170276,0.00711954909522397,0.0316393118449674,0.0267971917334124,0.00870253164556962,0.00810917721518987,0.0087988136431043,0.00910080126619844,0.00919699367088608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00860449015923252,0.00712307083498219,0.00634480023793001,0.00455130107846047,0.00128560126582278,0.00880577817354309,0.00771666007123071,0.0163188606468203,0.0074220682830282,0.0300059417706477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8941327792619e-05,0,0.168199347374666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00999505195447798,0.0193848284047077,0.0221760221760222,0.0213607594936709,0.0040549896152705,0.00286816338641084,0.00524389037300881,0.0178977553643825,0.00583407495303075,0.00989217528934613,0.00692246835443038,0.0103826757638683,0.0108803165182987,0.0195865070729053,0.0122626582278481,0.00741399762752076,0.0028715714427171,0.00761546830184947,0.00771589672568998,0.0154333201424614,0.00830778360201761,0.00603243670886076,0.00504351265822785,0.00336200929496687,0.0161178680905765,0.0137446850588352,0.0078125,0.0093014051058777,0.0141416139240506,0.00168166979918884,0.00415553576729,0.00949367088607595,0.00494755590738175,0.0145314353499407,0.0208662974683544,0.0291646070192783,0.0324367088607595,0.0251485148514852,0.0180937314613407,0.00850558797349421,0.0250148309274273,0.0281899109792285,0.0430181962025316,0.0461736207237493
"OTU1",0.732172881020671,0.407143563866627,0.416303917688959,0.169287056264214,0.299980225430097,0.0756452091367547,0.0786817102137767,0.302850356294537,0.0778283227848101,0.0327366234793789,0.116076725331224,0.0019776525264511,0.0710117693601029,0,9.88826263225551e-05,9.89021857383048e-05,0,0.0473647780085039,0.166238132911392,0.0443125618199802,0,0.0432117077029566,0.0250148309274273,0.0251112209589718,0.0498368436665678,0.032235736181153,0.0704963417045679,0.0499357262928903,0.0245253164556962,0.0270965189873418,0.0739495798319328,0.0199821940844792,0.0443037974683544,0.00702344445543575,0.0265188996635662,0.0954122997824797,0.0150286731263595,0,0,0.0430650430650431,0.123282254078102,0.000197745699031046,0.190268987341772,0.162659542891066,0.00395569620253165,0.00781481847858344,0.000791217485906439,0.0329376854599407,0.0712518555170708,0.00336333959837768,0.0711317768104472,0.0325259515570934,0.105419303797468,0.0211650677479972,0.0228531855955679,0.0154654505799544,0.0100920154348471,0.00721914556962025,0.0171168497081231,0.0175108824693312,0.0406487983384433,0.0179119247897081,0.0428797781738958,0.00929221035982602,0.0032624814631735,0.0556654142772395,0.164342924948087,0.0104805220486454,0.0166122812221893,0.00810837535844952,0.0461249133920618,9.88924050632911e-05,0.00899653979238754,0.000296794618124258,0.0157223375852863,0.00118706103472154,9.88924050632911e-05,0.0041538918010088,0.107485414812617,0.00187839841819081,0.0269922879177378,0,0,0,0,0.00019780437147661,0,9.88826263225551e-05,0.00118729593351143,9.88826263225551e-05,0.00108770888954811,0.00633287156144864,0,0.081463173504696,9.89805008413343e-05,0,0,0,0.00178023934328949,0,0,0.0167111638485118,0.0895064780931659,0.000197726149283243,0.0349124715656216,0.0272034820457018,0.211806585582913,0.21522491349481,0.170176999901117,0.234823017599367,0.293681400177989,0.243326082657702,0.20672268907563,0.0344383968332509,0.0414400158243497,0.0408870408870409,0.0489517405063291,0.0214617743052121,0.019780437147661,0.0272088651429702,0.0314446751705725,0.0301592010283793,0.0261153427638738,0.0272943037974684,0.0328290319390883,0.029080118694362,0.0401622316747453,0.0328322784810127,0.0258007117437722,0.00881275373799386,0.0201760458906142,0.0233455336828569,0.0297783933518006,0.0393630699238453,0.0221518987341772,0.0103837025316456,0.0183921684959953,0.0348066844655394,0.0356966281024424,0.0252175632911392,0.0306748466257669,0.0454905063291139,0.00662775744386191,0.0243395666369843,0.0191851265822785,0.0194933702750841,0.0599051008303677,0.0572587025316456,0.0570439940682155,0.0643789556962025,0.0568316831683168,0.0679256476171643,0.0328355256651172,0.0604113110539846,0.0649851632047478,0.0815862341772152,0.0795926438599961
"OTU107",0.00662644644446642,0.00445235975066785,0.00652948159873368,0.00207653515277366,0.00810757366027289,0.00336200929496687,0.00692794932699921,0.00415676959619952,0.00247231012658228,0.00217584808624271,0.00395491398062092,0.00019776525264511,0,0,0,0,9.89217528934613e-05,0,0,0,0,0.00899831899535252,0.00435040537868301,0.00939199209095403,0.0163156333432216,0.0133491545535449,0.0153252916749061,0.0157223375852863,0.0078125,0.00870253164556962,0.00939199209095403,0.00979325353645267,0.0131526898734177,0,0,0,0,0,0,0,9.88630746416214e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91375037176564e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197726149283243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197784810126582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179119247897081,0.0150331322322223,0.00920700920700921,0.0183939873417722,0.0062308377015132,0.00721985955889625,0.0117740180073217,0.0111737367744487,0.0210619994067042,0.0134533583935107,0.00988924050632911,0.00741619697419163,0.00909990108803165,0.0119695321001088,0.00988924050632911,0.00751285092922104,0.00435686701653629,0.0062308377015132,0.00850727074883767,0.00969529085872576,0.0136485016318861,0.00702136075949367,0.00286787974683544,0.00632848808464353,0.0124592109166419,0.0138435676851577,0.00979034810126582,0.0106867207599446,0.0143393987341772,0.00366010485705807,0.00870683684575047,0.00613132911392405,0.00613496932515337,0.0219454329774614,0.0182950949367089,0.0242214532871972,0.0176028481012658,0.0159405940594059,0.017203875815701,0.00830778360201761,0.0200711884516512,0.0183976261127596,0.0245253164556962,0.0231362467866324
"OTU561",0.00296706557214914,0.00148411991688928,0.0016818361693708,0.000791061010580441,0.00187858414079494,0.000593295757935331,0.00168250197941409,0.000494853523357086,0.000791139240506329,0.000395608742953219,0.00168083844176389,0,0,0,0,0,0,0,0,0,0,0.00257094828438643,0.00168083844176389,0.00286702916460702,0.00533966182141798,0.0019776525264511,0.00701997231560214,0.00672401858993375,0.00296677215189873,0.0033623417721519,0.00177953534354918,0.00267088732812345,0.00405458860759494,0,0.00039580447259054,0.00306505833498121,0.000494364247577615,0,0,0,0.000395452298566485,0.00711884516511766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.90295107942167e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237271379139891,0,9.88924050632911e-05,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286986640277091,0.00435169617248541,0.00445500445500446,0.00524129746835443,0.00187914152902779,0.0019780437147661,0.00326506381715643,0.00405418767922476,0.00237318303174132,0.00267088732812345,0.00326344936708861,0.00336200929496687,0.00306627101879327,0.00267088732812345,0.00316455696202532,0.00227362593910637,0.00178235468858303,0.00108792404312135,0.00217627856365615,0.00306687772061733,0.00365938087231728,0.00178006329113924,0.000692246835443038,0.00158212202116088,0.00336200929496687,0.00385642242657965,0.00237341772151899,0.00296853354442905,0.00405458860759494,0.000989217528934613,0.00138517858909667,0.00158227848101266,0.00178112012665743,0.00711743772241993,0.00731803797468354,0.00820563519525457,0.00850474683544304,0.00534653465346535,0.00672335376705557,0.00306596775788745,0.00613011666996243,0.00751730959446093,0.0089003164556962,0.00810757366027289
"OTU67",0.00534071802986846,0.00326506381715643,0.0037593984962406,0.000889943636902996,0.00672335376705557,0.00207653515277366,0.00415676959619952,0.00277117973079968,0.00138449367088608,0.00118682622885966,0.00415265967965197,0.00474636606348265,0.00108792404312135,0.000889855645639707,0.00019776525264511,0.00247255464345762,0.00158274804629538,0.00148323939483833,0.0010878164556962,0.0146389713155292,0.00237388724035608,0.00761396222683674,0.00316393118449674,0.00484429065743945,0.0134480371798675,0.00652625333728864,0.0157207830729682,0.0147335113220607,0.00652689873417722,0.00603243670886076,0.00731586752347998,0.00811158373726382,0.00959256329113924,0,0,0,0,0,0.000593295757935331,0,0,0,0,0.00148411991688928,0,0.00286873083391038,0,0.000494559841740851,0.000296882731321128,0.000890295776041151,0.000395726157499011,0,0.00187895569620253,0.0133517950746712,0.0126632370399683,0.0109051254089422,0.00672801028989809,0.00365901898734177,0.00841001286237261,0.0221606648199446,0.0271981010780338,0.00633349826818407,0.0408001584472173,0.00029655990510083,0,0,0,0,0,0,0.000494902504206671,0.000494462025316456,9.88630746416214e-05,0.000692520775623269,0.00019776525264511,9.89217528934613e-05,0.000791139240506329,9.89021857383048e-05,0.00474636606348265,0.000296589223924864,0.00375716828158988,0.000296677215189873,0.00257094828438643,0.0118682622885966,9.8872849515523e-05,0,0.00731731434786908,0,0.000494706638963095,0.000296647878967665,0,0.000494755590738175,9.89021857383048e-05,0,0.00069286350588934,0,0,0,0.000593413114429829,0,0,0.00019776525264511,0.00751656611611117,0.0811665842807711,0.00524181584413016,0.00158274804629538,0.0019776525264511,0.00118635689569946,0.00138435676851577,0.000296618548546569,0.000395530505290221,9.8872849515523e-05,0.00177953534354918,0.019990103908956,0.0176045890614183,0.0143550143550144,0.0173061708860759,0.00642864207298981,0.00573632677282168,0.0152369644800633,0.0149312765747058,0.00840502323741719,0.0212681768720942,0.00880142405063291,0.00791061010580441,0.0108803165182987,0.00840834899594421,0.00979034810126582,0.0068208778173191,0.00396078819685117,0.010384729502522,0.00870511425462459,0.00910170162247725,0.0112748491741667,0.00425237341772152,0.00207674050632911,0.00346089192128943,0.00880055374270741,0.010679323642836,0.00642800632911392,0.00702552938848209,0.00880142405063291,0.00168166979918884,0.00494706638963095,0.00385680379746835,0.00455175143479121,0.0160142348754448,0.0141416139240506,0.0147305981216016,0.0162183544303797,0.0131683168316832,0.0135455803836267,0.00702205518741964,0.0157207830729682,0.0141444114737883,0.0256131329113924,0.0193790785050425
"OTU6679",0.0262090792206508,0.0223607400811319,0.0201820340324495,0.00761396222683674,0.0347043701799486,0.014436863443093,0.0273159144893112,0.0112826603325416,0.0109770569620253,0.0061319355157749,0.0216531540438995,0.00415307030554731,0.0142419147463159,0.0025706940874036,0.00504301394245031,0.0549896152704975,0.00573746166782075,0.00761396222683674,0.0137460443037975,0.0177052423343225,0.0198813056379822,0.0319390883021853,0.0138421989321732,0.0271873455264459,0.0473647780085039,0.0337189755759913,0.0461736207237493,0.0490457826559873,0.0286787974683544,0.0356012658227848,0.0298566485417696,0.0279948560688495,0.0465783227848101,0,0,0,0,0,0.00019776525264511,0,0,0,0,0,0,0.0983282223761005,0,0.004648862512364,0,0,0,0,0.000197784810126582,0.0119671644743349,0.0153343886030867,0.0100128878754833,0.00850895419016523,0.00662579113924051,0.0108835460571881,0.0102888800949743,0.0293739491642765,0.00969816922315685,0.033372945137651,0,0,0,0,0,0,0,0,0.00563686708860759,0.000593178447849728,0,0.000296647878967665,0.00732020971411613,0.000593354430379747,0,0,0.000197726149283243,0.0012853470437018,0.0115704113924051,0,0,0,0,0,0,0,0,0.00563630970038564,0.00207797348110034,0.00356047868657897,0.0111715274345032,0.00682965455805206,0.00276898734177215,0.00296706557214914,0.00316330565440886,0.00346157650084067,0.00306596775788745,0.00375716828158988,9.88826263225551e-05,9.89021857383048e-05,0,0,0,9.88826263225551e-05,0,0,0,0.000692178384257886,0,0,0.0545274616526472,0.0790228464049055,0.0315810315810316,0.0587420886075949,0.0632973988725151,0.0208683611907823,0.0307707529435045,0.040442994165925,0.0465737169979235,0.0379859531110891,0.0292721518987342,0.0275882527439929,0.0304648862512364,0.0402611534276387,0.0362935126582278,0.0273823645709767,0.0181206060005941,0.0241321333201464,0.0286873083391038,0.0339335180055402,0.0403520917812284,0.0260087025316456,0.0114715189873418,0.0176011074854148,0.0396519331553446,0.0359932759814101,0.0318433544303797,0.0283000197902236,0.0419303797468354,0.00979325353645267,0.0248342732759474,0.0193829113924051,0.0227587571739561,0.0598062475286675,0.0590387658227848,0.0622837370242214,0.0758504746835443,0.0545544554455446,0.0532924658888669,0.0346157650084067,0.0546766857820842,0.0441147378832839,0.0738726265822785,0.0712873245006921
"OTU102",0.00326377212936406,0.00128623726130405,0.00207756232686981,0.00909720162167507,0.0248170852283963,0.00187876990012855,0.00564133016627078,0.0022763262074426,0.00148338607594937,0.000692315300168134,0.00177971129127941,0.00306536141599921,0,0,0.00019776525264511,0,0.000395687011573845,0,0,0,0.0407517309594461,0.00464748343716009,0.00108760134467075,0.00266930301532378,0.00850390586373974,0.00237318303174132,0.0111726319952541,0.00800949273212696,0.00296677215189873,0.00326344936708861,0.00316361838853188,0.00187951330497576,0.00810917721518987,9.89217528934613e-05,0.00059370670888581,0,0.00197745699031046,0.00079137402314769,0.00326312666864432,0.00148500148500149,0.000494315373208107,0.00494364247577615,0.00316455696202532,0.00316612248936381,0.00148338607594937,0,0,0,0,9.89217528934613e-05,0,0,0,0.00227475027198101,0.00366046695686585,0.0022801625855061,0.00128623726130405,0.000791139240506329,0.00267141585040071,0.0018796992481203,0.00553852240134507,0.00118753092528451,0.0053475935828877,0,0,0.000197745699031046,0.00533966182141798,0,0,0.000395530505290221,0,9.88924050632911e-05,0.000494315373208107,0.00148397309062129,0.000395530505290221,0.00118706103472154,9.88924050632911e-05,0,0,0,0.00108760134467075,0.026503164556962,0.00454860081083754,0.00563742458708337,0.0770219497725924,0.00632973988725151,0.000494413131612776,0,0.00286929850598595,0.00177988727380599,9.88826263225551e-05,9.89511181476351e-05,9.89021857383048e-05,0.000494315373208107,0.000989805008413343,0.00148338607594937,0.00148353278607457,9.88533017002768e-05,0,0,0.000395491398062092,0.00385642242657965,0.173672238156463,0.170637666831438,0.00365938087231728,0.0114749233356415,0.000296647878967665,0.00148294611962432,0.00603184020567586,0.019477951354558,0.0310491446652823,0,0,0.00376051459673429,0.0161210562753437,0.00920700920700921,0.0089003164556962,0.00326377212936406,0.00227475027198101,0.0036608291283269,0.00435083555819243,0.00336200929496687,0.00336333959837768,0.00267009493670886,0.00425195293186987,0.0355093966369931,0.00573746166782075,0.00494462025316456,0.00405298536971135,0.0033666699673235,0.0968252398378004,0.01285982787615,0.00534230312623664,0.00949460983087726,0.00207674050632911,0.000791139240506329,0.00217541777909621,0.00444971818451498,0.00454860081083754,0.00494462025316456,0.0036611913714625,0.00771360759493671,0.00108813928182807,0.00277035717819333,0.000988924050632911,0.00138531565406689,0.0112692763938316,0.00929588607594937,0.0110726643598616,0.0105814873417722,0.00930693069306931,0.00978841210203678,0.00504401147265355,0.00998615780106783,0.0106824925816024,0.0167128164556962,0.014929800276844
"OTU5",0.00989021857383048,0.00860789551795785,0.0106846062524733,0.00375753980025709,0.0198734427526201,0.027786017996638,0.0169239904988124,0.00554235946159937,0.0114715189873418,0.00257145682919593,0.0161162744710303,0.00395530505290221,0.0479675600830778,0.0142376903302353,0.00593295757935331,0.023044209277025,0.0312592739143338,0.0419262335607634,0.0538963607594937,0.00820969337289812,0.0262116716122651,0.0599228715514684,0.0263001779711291,0.0359861591695502,0.0821714624740433,0.0424206466923761,0.11241842989915,0.0807871057055275,0.0310522151898734,0.039754746835443,0.0336134453781513,0.0236422989415372,0.0564675632911392,0,0,0,0,0,0,0,0,0,0,0,0.150316455696203,0.0311603521614403,0.00840668578775591,0.00405539070227498,0.00296882731321128,0.00138490454050846,0.000296794618124258,0.000593178447849728,0.0188884493670886,0.137572940361982,0.108725761772853,0.0954694160801031,0.074008113188879,0.0638844936708861,0.128623726130405,0.0904234269885239,0.205815448521412,0.0701632855022266,0.204198851257675,0.00197706603400554,0.00593178447849728,0.00197745699031046,0.015326807079996,0.00494364247577615,0.00019776525264511,0.00306536141599921,0.00217757101850935,0.000197784810126582,0.0493326742461691,0.0278986941036803,0.00692178384257886,9.89217528934613e-05,0.00128560126582278,0.00771437048758778,0.000395530505290221,0.0200692041522491,0.00355942258255883,0.0458860759493671,0.112923959260358,0.0774404114330927,0.110342100059324,0.000593413114429829,0.00880055374270741,0.000593295757935331,0.107747105966162,0.016216750716899,0.0137446850588352,0.00662972491589155,0.0254178617347443,0.0226396440929313,0.00712659606057607,0.00346123417721519,0.00573632677282168,0.00158165282720443,0.00435169617248541,0.00356047868657897,0.0193790785050425,0.00820725798477208,0.00276926120067253,0.00682155215027187,0.00593413114429829,0.0116727668414284,0.0381686937605063,0.0396440929312902,0.00870167111638485,0.0325291674906071,0.0121625630376743,0.0228396282380858,0,0.0700643245917862,0.0581544852141232,0.0586080586080586,0.116099683544304,0.022055187419642,0.022055187419642,0.0435341842287523,0.114308316028874,0.0469692475032137,0.0538134335740429,0.0518196202531646,0.0524077919509542,0.0595450049455984,0.0641012958749629,0.142602848101266,0.0300514037168841,0.097831468462224,0.0744733458609435,0.0859630032644178,0.0525326474079937,0.0646820294728513,0.0379746835443038,0.0113726265822785,0.041332937802828,0.0518144961930189,0.0467714822505686,0.0377768987341772,0.0347318424698199,0.0562697784810127,0.0132555148877238,0.0596616206589492,0.0250197784810127,0.0310706510983574,0.0865954922894425,0.0887064873417722,0.0993573900148295,0.0963212025316456,0.0683168316831683,0.0870081075736603,0.0614182573434873,0.0755388570298596,0.0730959446092977,0.0999802215189873,0.0991694680640696
"OTU12",0.0242310355058847,0.0127634312852478,0.0140482785912149,0.0249184218332839,0.030057346252719,0.0127558587956096,0.0274148851939826,0.0136579572446556,0.0137460443037975,0.00791217485906438,0.0225430096895393,0.00138435676851577,0.00019780437147661,9.8872849515523e-05,0.000889943636902996,0.000593413114429829,9.89217528934613e-05,9.88826263225551e-05,9.88924050632911e-05,9.89119683481701e-05,0.000494559841740851,0.0283793137545733,0.0131500889855646,0.026099851705388,0.0420251161870859,0.0319390883021853,0.0369784457188056,0.0486502521506971,0.022745253164557,0.0270965189873418,0.0252100840336134,0.0254228904936195,0.0371835443037975,9.89217528934613e-05,0,0,0,0,0.00177988727380599,0,0.000197726149283243,0.00672335376705557,0.000197784810126582,0.0300781636489562,0.000197784810126582,0.00079137402314769,0,9.89119683481701e-05,9.8960910440376e-05,0,0,0.000296589223924864,9.88924050632911e-05,0.0147364256750074,0.0167194301543332,0.00971547536433033,0.00751954091223904,0.00642800632911392,0.0098941327792619,0.0131578947368421,0.0265057857778657,0.0124690747154874,0.0327787680728857,0,0,0,0,0,0,0,0.000395922003365337,0.000494462025316456,0,0,0,0.000197843505786923,9.88924050632911e-05,0,0,0,9.8872849515523e-05,0.000593354430379747,0,0,0,0,0,0,0.000395765311170476,0,0,0.00019790223629527,0,0,0,0,0.00019780437147661,0,0.00019780437147661,9.89021857383048e-05,9.8872849515523e-05,0,0,0,0,0,0,0.000395452298566485,0,0,0,0,0,0.0308758040573973,0.0442092770250223,0.0330660330660331,0.0459849683544304,0.0213628721194738,0.023044209277025,0.0297813396655783,0.0326312666864432,0.0334223276970236,0.0305668216440795,0.0297666139240506,0.0261050133491546,0.0270029673590504,0.035809674547433,0.0363924050632911,0.0265915381573745,0.0131696207545302,0.0190881218474928,0.0269067167870215,0.0289869410368025,0.0391652655523687,0.0234375,0.010878164556962,0.0164145159695442,0.0353999802234747,0.0380698111341837,0.0284810126582278,0.030377993271324,0.0357001582278481,0.00989217528934613,0.0257247452260809,0.0177017405063291,0.0202849792202652,0.0557532621589561,0.0543908227848101,0.0590212555610479,0.0555775316455696,0.0410891089108911,0.0548744314811153,0.0317476016219958,0.0497330433063081,0.0518298714144411,0.0686313291139241,0.0596203282578604
