"","Observed","beta_div_metacomm_mean","abund_null_dev_stoch","abund_null_dev_det"
"X1351_1887",1615,0.705552759086672,-0.113395209018695,-0.00700479383179609
"X1351_1888",1562,0.686034809750935,-0.132913158354431,-0.0265227431675326
"X1351_1889",1523,0.693392711641854,-0.125555256463513,-0.0191648412766141
"X1351_1878",1512,0.70906136516624,-0.109886602939126,-0.00349618775222782
"X1351_1879",1369,0.72273155475395,-0.0962164133514162,0.0101740018354824
"X1351_1880",1161,0.780672132370184,-0.038275835735183,0.0681145794517156
"X1351_1881",1518,0.710124335068414,-0.108823633036953,-0.0024332178500539
"X1351_1882",1548,0.72482137023904,-0.0941265978663265,0.0122638173205721
"X1351_1883",1668,0.691527741408731,-0.127420226696635,-0.0210298115097368
"X1351_1884",1669,0.707035730098379,-0.111912238006987,-0.00552182282008862
"X1351_1885",1577,0.699916078423852,-0.119031889681515,-0.0126414744946162
"X1351_1886",1450,0.682258628682164,-0.136689339423202,-0.0302989242363036
"X1351_1535",855,0.709999082118986,-0.10894888598638,-0.00255847079948179
"X1351_1538",1047,0.677280104767291,-0.141667863338076,-0.0352774481511773
"X1351_1539",1071,0.716340452969794,-0.102607515135573,0.00378290005132553
"X1351_1526",900,0.728497173939931,-0.0904507941654357,0.015939621021463
"X1351_1527",1089,0.700145109993727,-0.11880285811164,-0.012412442924741
"X1351_1528",410,0.885787283897964,0.0668393157925973,0.173229730979496
"X1351_1529",1013,0.679793702148461,-0.139154265956906,-0.0327638507700072
"X1351_1530",1079,0.692992825342501,-0.125955142762865,-0.0195647275759668
"X1351_1531",1171,0.692683957893263,-0.126264010212103,-0.0198735950252048
"X1351_1532",1108,0.686714758744047,-0.13223320936132,-0.0258427941744209
"X1351_1533",960,0.715576688650355,-0.103371279455011,0.00301913573188739
"X1351_1534",919,0.713127709355766,-0.1058202587496,0.000570156437298297
"X1351_1698",567,0.788654078890417,-0.0302938892149491,0.0760965259719495
"X1351_1699",184,0.902888530182732,0.083940562077365,0.190330977264264
"X1351_1700",429,0.838604278192188,0.019656310086821,0.12604672527372
"X1351_1689",404,0.817796961119564,-0.00115100698580295,0.105239408201096
"X1351_1690",718,0.739311950367957,-0.0796360177374097,0.0267543974494889
"X1351_1691",603,0.751973370114354,-0.0669745979910127,0.0394158171958859
"X1351_1692",506,0.785736616210041,-0.0332113518953256,0.073179063291573
"X1351_1693",591,0.759975995528999,-0.0589719725763677,0.047418442610531
"X1351_1694",588,0.771008234297055,-0.0479397338083118,0.0584506813785868
"X1351_1695",478,0.814950855952198,-0.00399711215316856,0.10239330303373
"X1351_1696",561,0.788187781946377,-0.0307601861589896,0.0756302290279091
"X1351_1697",406,0.822914176422178,0.00396620831681149,0.11035662350371
"X1351_1549",1156,0.703163608159491,-0.115784359945875,-0.0093939447589767
"X1351_1550",1335,0.678428119385403,-0.140519848719964,-0.0341294335330652
"X1351_1551",1260,0.663048429966311,-0.155899538139055,-0.0495091229521567
"X1351_1540",1305,0.649994250005605,-0.168953718099762,-0.0625633029128634
"X1351_1542",1249,0.666840771391892,-0.152107196713474,-0.0457167815265755
"X1351_1543",1333,0.641898377805569,-0.177049590299798,-0.0706591751128993
"X1351_1544",1108,0.677894306656907,-0.14105366144846,-0.0346632462615609
"X1351_1545",1330,0.666337504526182,-0.152610463579184,-0.0462200483922856
"X1351_1546",1200,0.665253715019272,-0.153694253086095,-0.0473038378991961
"X1351_1547",1206,0.645670629009052,-0.173277339096315,-0.066886923909416
"X1351_1548",1315,0.696040318737646,-0.122907649367721,-0.0165172341808222
"X1351_1597",882,0.691761960050289,-0.127186008055077,-0.0207955928681788
"X1351_1598",794,0.736286649069173,-0.0826613190361937,0.023729096150705
"X1351_1588",707,0.707200957980516,-0.11174701012485,-0.00535659493795171
"X1351_1589",872,0.726220143387373,-0.092727824717994,0.0136625904689046
"X1351_1590",949,0.696660975352841,-0.122286992752525,-0.0158965775656266
"X1351_1591",469,0.789183320873541,-0.0297646472318257,0.0766257679550729
"X1351_1592",827,0.678414762375323,-0.140533205730043,-0.0341427905431447
"X1351_1593",508,0.740798787018164,-0.0781491810872029,0.0282412340996957
"X1351_1594",714,0.747860614637022,-0.0710873534683444,0.0353030617185542
"X1351_1595",558,0.750934497309443,-0.0680134707959232,0.0383769443909754
"X1351_1596",621,0.766912736593702,-0.052035231511665,0.0543551836752336
"X1351_1852",1300,0.698004110395921,-0.120943857709445,-0.0145534425225468
"X1351_1853",1136,0.735415124941786,-0.083532843163581,0.0228575720233176
"X1351_1854",1009,0.757873195186126,-0.0610747729192409,0.0453156422676577
"X1351_1843",1451,0.694932715117081,-0.124015252988286,-0.0176248378013871
"X1351_1844",1282,0.702121195310899,-0.116826772794468,-0.0104363576075693
"X1351_1845",1521,0.684017482664748,-0.134930485440618,-0.0285400702537195
"X1351_1846",1143,0.656587269451599,-0.162360698653768,-0.0559702834668691
"X1351_1847",1379,0.696376771623781,-0.122571196481585,-0.0161807812946867
"X1351_1848",1399,0.700324317237386,-0.11862365086798,-0.0122332356810816
"X1351_1849",1294,0.663484740141566,-0.1554632279638,-0.0490728127769016
"X1351_1850",1498,0.710316564350233,-0.108631403755134,-0.00224098856823529
"X1351_1851",1180,0.724228173475951,-0.0947197946294157,0.0116706205574829
"X1351_1790",1394,0.666098970630613,-0.152848997474754,-0.046458582287855
"X1351_1791",1568,0.687064369528446,-0.131883598576921,-0.0254931833900219
"X1351_1792",1236,0.691925826648593,-0.127022141456773,-0.0206317262698745
"X1351_1781",1408,0.646216051308569,-0.172731916796798,-0.0663415016098992
"X1351_1782",1354,0.661084430253244,-0.157863537852123,-0.0514731226652242
"X1351_1783",1094,0.702903282644953,-0.116044685460413,-0.00965427027351473
"X1351_1784",1296,0.683962849303666,-0.134985118801701,-0.0285947036148023
"X1351_1785",1301,0.663606935231421,-0.155341032873946,-0.0489506176870474
"X1351_1786",1250,0.662951065503456,-0.15599690260191,-0.0496064874150116
"X1351_1787",1042,0.699640596949554,-0.119307371155812,-0.0129169559689136
"X1351_1788",1022,0.696550739532745,-0.122397228572621,-0.0160068133857229
"X1351_1789",1166,0.692553716515988,-0.126394251589379,-0.0200038364024804
"X1351_1778",1133,0.758634048641366,-0.0603139194640004,0.0460764957228982
"X1351_1779",1437,0.704576670341664,-0.114371297763702,-0.00798088257680385
"X1351_1780",776,0.814900928883755,-0.00404703922161154,0.102343375965287
"X1351_1769",1075,0.715070093070817,-0.10387787503455,0.00251254015234881
"X1351_1770",804,0.83645944096467,0.0175114728593033,0.123901888046202
"X1351_1771",1098,0.79507825494474,-0.0238697131606262,0.0825207020262724
"X1351_1772",1374,0.671756731656031,-0.147191236449335,-0.0408008212624368
"X1351_1773",1003,0.71221347427323,-0.106734493832136,-0.000344078645237667
"X1351_1774",1256,0.735618166661139,-0.0833298014442277,0.0230606137426709
"X1351_1775",925,0.772168127688832,-0.0467798404165345,0.0596105747703641
"X1351_1776",1148,0.724293683391535,-0.0946542847138319,0.0117361304730668
"X1351_1777",905,0.819485624824597,0.000537656719230228,0.106928071906129
"X1351_1814",1723,0.731339200124709,-0.0876087679806576,0.018781647206241
"X1351_1815",1664,0.707722043598824,-0.111225924506543,-0.00483550931964416
"X1351_1816",1660,0.790839474692392,-0.0281084934129749,0.0782819217739237
