"measure","values","source"
"n_samples",106,"obs_summary"
"obs_otu_count_mean",1140.10377358491,"obs_summary"
"obs_calc_alpha_mean",11.6617774775644,"obs_summary"
"obs_gamma",10363,"obs_summary"
"obs_mean_beta",0.72311116242941,"obs_summary"
"null_mean_alpha_stoch",2.16124674322108,"null_summary"
"null_mean_alpha_det",2.85853517321239,"null_summary"
"null_gamma_stoch",27473,"null_summary"
"null_gamma_det",39700,"null_summary"
"null_mean_beta_stoch",0.818947968105367,"null_summary"
"null_mean_beta_det",0.712557552918468,"null_summary"
"mean.alpha_stoch",6.44339622641509,"run_summary"
"mean.alpha_det",1,"run_summary"
"gamma_stoch",10363,"run_summary"
"gamma_det",10363,"run_summary"
"obs_beta_stoch",0.999378230606348,"run_summary"
"obs_beta_det",0.999903502846666,"run_summary"
