"","Observed","beta_div_metacomm_mean","abund_null_dev_stoch","abund_null_dev_det"
"X1351_1662",1045,0.634969141198706,-0.190743530202724,-0.0112108891201633
"X1351_1663",878,0.62480165008033,-0.200911021321101,-0.0213783802385401
"X1351_1664",1063,0.591111806737183,-0.234600864664248,-0.0550682235816869
"X1351_1653",896,0.61411716436869,-0.21159550703274,-0.0320628659501795
"X1351_1654",777,0.648111950456764,-0.177600720944666,0.00193192013789467
"X1351_1655",871,0.606342557788627,-0.219370113612804,-0.0398374725302432
"X1351_1656",948,0.64451482410575,-0.181197847295681,-0.00166520621311994
"X1351_1657",958,0.608732182650432,-0.216980488750999,-0.0374478476684377
"X1351_1658",1030,0.60306164480527,-0.222651026596161,-0.0431183855136001
"X1351_1659",648,0.666839596861843,-0.158873074539588,0.0206595665429734
"X1351_1660",875,0.637440145425202,-0.188272525976229,-0.00873988489366817
"X1351_1661",971,0.612414492864237,-0.213298178537194,-0.0337655374546328
"X1351_1911",775,0.612840853022336,-0.212871818379095,-0.0333391772965337
"X1351_1912",775,0.656144862168836,-0.169567809232595,0.00996483184996599
"X1351_1913",840,0.607516310262945,-0.218196361138486,-0.0386637200559246
"X1351_1902",639,0.657335430007572,-0.168377241393859,0.0111553996887022
"X1351_1903",773,0.642124345911638,-0.183588325489793,-0.00405568440723214
"X1351_1904",917,0.603716985861137,-0.221995685540293,-0.0424630444577325
"X1351_1905",974,0.565516902219375,-0.260195769182056,-0.0806631280994952
"X1351_1906",733,0.626162083015772,-0.199550588385659,-0.0200179473030979
"X1351_1907",840,0.61150463383041,-0.214208037571021,-0.0346753964884599
"X1351_1908",784,0.619704375350464,-0.206008296050967,-0.0264756549684062
"X1351_1909",809,0.632910352361127,-0.192802319040303,-0.0132696779577424
"X1351_1910",799,0.617840787033571,-0.207871884367859,-0.0283392432852985
"X1351_1722",819,0.750569155204018,-0.0751435161974128,0.104389124885148
"X1351_1723",701,0.843503994802297,0.0177913234008663,0.197323964483427
"X1351_1724",961,0.782075709443537,-0.0436369619578936,0.135895679124667
"X1351_1713",582,0.78329766143069,-0.0424150099707411,0.13711763111182
"X1351_1714",743,0.746920967120902,-0.0787917042805288,0.100740936802032
"X1351_1715",722,0.750658979673596,-0.0750536917278344,0.104478949354727
"X1351_1716",695,0.789816499417272,-0.0358961719841582,0.143636469098403
"X1351_1717",848,0.714298193914106,-0.111414477487324,0.0681181635952365
"X1351_1718",707,0.779782910098668,-0.0459297613027625,0.133602879779798
"X1351_1719",919,0.715336388972965,-0.110376282428466,0.0691563586540949
"X1351_1720",841,0.743750671762531,-0.0819619996388999,0.097570641443661
"X1351_1721",731,0.762765075779357,-0.0629475956220739,0.116585045460487
"X1351_1487",1031,0.551238805814195,-0.274473865587236,-0.0949412245046747
"X1351_1488",985,0.546234283511229,-0.279478387890201,-0.0999457468076405
"X1351_1489",1068,0.574558385790572,-0.251154285610859,-0.0716216445282978
"X1351_1478",897,0.585468981633801,-0.24024368976763,-0.0607110486850687
"X1351_1479",728,0.580159035166963,-0.245553636234468,-0.066020995151907
"X1351_1480",937,0.561258654830641,-0.26445401657079,-0.0849213754882291
"X1351_1481",826,0.585375017173137,-0.240337654228293,-0.0608050131457325
"X1351_1482",1030,0.555047456258973,-0.270665215142457,-0.0911325740598965
