"measure","values","source"
"n_samples",84,"obs_summary"
"obs_otu_count_mean",862.369047619048,"obs_summary"
"obs_calc_alpha_mean",11.7748699609883,"obs_summary"
"obs_gamma",6152,"obs_summary"
"obs_mean_beta",0.626381138435433,"obs_summary"
"null_mean_alpha_stoch",2.29746423927178,"null_summary"
"null_mean_alpha_det",2.97317945383615,"null_summary"
"null_gamma_stoch",16867,"null_summary"
"null_gamma_det",27340,"null_summary"
"null_mean_beta_stoch",0.825712671401431,"null_summary"
"null_mean_beta_det",0.64618003031887,"null_summary"
"mean.alpha_stoch",6.73809523809524,"run_summary"
"mean.alpha_det",1,"run_summary"
"gamma_stoch",6152,"run_summary"
"gamma_det",6152,"run_summary"
"obs_beta_stoch",0.998904730943092,"run_summary"
"obs_beta_det",0.999837451235371,"run_summary"
