"measure","values","source"
"n_samples",86,"obs_summary"
"obs_otu_count_mean",982.755813953488,"obs_summary"
"obs_calc_alpha_mean",11.3873618970628,"obs_summary"
"obs_gamma",7422,"obs_summary"
"obs_mean_beta",0.628231912192096,"obs_summary"
"null_mean_alpha_stoch",2.21449744004311,"null_summary"
"null_mean_alpha_det",2.8416868768526,"null_summary"
"null_gamma_stoch",19941,"null_summary"
"null_gamma_det",30238,"null_summary"
"null_mean_beta_stoch",0.820825136084499,"null_summary"
"null_mean_beta_det",0.673850823253748,"null_summary"
"mean.alpha_stoch",6.77906976744186,"run_summary"
"mean.alpha_det",1,"run_summary"
"gamma_stoch",7422,"run_summary"
"gamma_det",7422,"run_summary"
"obs_beta_stoch",0.999086624930283,"run_summary"
"obs_beta_det",0.999865265427109,"run_summary"
