"","Observed","beta_div_metacomm_mean","abund_null_dev_stoch","abund_null_dev_det"
"X1351_1710",1062,0.696297449063016,-0.112005848453367,0.0117737687600963
"X1351_1711",1333,0.58966651792709,-0.218636779589293,-0.0948571623758299
"X1351_1712",1226,0.572232237086857,-0.236071060429526,-0.112291443216063
"X1351_1701",1131,0.553798723336963,-0.25450457417942,-0.130724956965957
"X1351_1702",933,0.617098156767769,-0.191205140748614,-0.0674255235351511
"X1351_1703",1142,0.576147302357836,-0.232155995158547,-0.108376377945084
"X1351_1704",1199,0.580480268313806,-0.227823029202578,-0.104043411989114
"X1351_1705",1396,0.577680746484854,-0.230622551031529,-0.106842933818066
"X1351_1707",1012,0.601166713058452,-0.207136584457931,-0.0833569672444682
"X1351_1708",1460,0.577787039370949,-0.230516258145434,-0.106736640931971
"X1351_1709",1000,0.580075206005575,-0.228228091510808,-0.104448474297345
"X1351_1451",1086,0.646723177624434,-0.161580119891949,-0.0378005026784861
"X1351_1452",1269,0.640118795740685,-0.168184501775698,-0.0444048845622345
"X1351_1453",1047,0.582943893502857,-0.225359404013526,-0.101579786800062
"X1351_1442",1013,0.575321035389369,-0.232982262127014,-0.109202644913551
"X1351_1443",1207,0.556798523905854,-0.251504773610529,-0.127725156397066
"X1351_1444",1260,0.586520432379803,-0.22178286513658,-0.0980032479231164
"X1351_1445",1021,0.658286251972348,-0.150017045544035,-0.0262374283305717
"X1351_1446",1045,0.640254626963352,-0.168048670553031,-0.0442690533395678
"X1351_1447",850,0.630815567194516,-0.177487730321867,-0.0537081131084043
"X1351_1448",1202,0.614425605418263,-0.19387769209812,-0.0700980748846565
"X1351_1449",984,0.61924446832664,-0.189058829189743,-0.0652792119762803
"X1351_1450",854,0.677825461706292,-0.130477835810091,-0.00669821859662822
"X1351_1511",878,0.635610025255311,-0.172693272261072,-0.0489136550476085
"X1351_1512",1159,0.582395331886197,-0.225907965630186,-0.102128348416723
"X1351_1513",954,0.580184499985553,-0.22811879753083,-0.104339180317367
"X1351_1502",1081,0.554871371039464,-0.253431926476919,-0.129652309263456
"X1351_1503",889,0.616758377406195,-0.191544920110188,-0.0677653028967244
"X1351_1504",1158,0.556028517567455,-0.252274779948928,-0.128495162735465
"X1351_1505",917,0.617158251567248,-0.191145045949135,-0.0673654287356715
"X1351_1506",961,0.592042455460843,-0.21626084205554,-0.092481224842077
"X1351_1507",917,0.591144443198567,-0.217158854317816,-0.0933792371043533
"X1351_1508",755,0.631616675284611,-0.176686622231772,-0.0529070050183085
"X1351_1509",1021,0.569945467848506,-0.238357829667877,-0.114578212454414
"X1351_1510",841,0.563081216444371,-0.245222081072012,-0.121442463858549
"X1351_1736",1011,0.602489899534366,-0.205813397982017,-0.0820337807685538
"X1351_1737",1164,0.566766793632851,-0.241536503883532,-0.117756886670069
"X1351_1738",1119,0.601164663784738,-0.207138633731645,-0.0833590165181821
"X1351_1725",715,0.648447123491991,-0.159856174024392,-0.0360765568109293
"X1351_1726",839,0.605601589553328,-0.202701707963055,-0.0789220907495917
"X1351_1727",1121,0.57150784472809,-0.236795452788293,-0.113015835574829
"X1351_1730",905,0.604657660566642,-0.203645636949741,-0.0798660197362776
"X1351_1731",997,0.573908490907706,-0.234394806608677,-0.110615189395214
"X1351_1732",931,0.641765170594559,-0.166538126921824,-0.0427585097083608
"X1351_1733",1090,0.568565790875428,-0.239737506640955,-0.115957889427492
"X1351_1734",1066,0.592578554159929,-0.215724743356454,-0.091945126142991
"X1351_1735",1058,0.576350624214289,-0.231952673302094,-0.108173056088631
"X1351_1674",1338,0.586272950535232,-0.222030346981151,-0.098250729767688
"X1351_1675",1197,0.578429832858988,-0.229873464657395,-0.106093847443932
"X1351_1676",1487,0.619576127594755,-0.188727169921628,-0.0649475527081645
"X1351_1665",1304,0.553455785198536,-0.254847512317847,-0.131067895104384
"X1351_1666",1649,0.574982599607923,-0.23332069790846,-0.109541080694996
"X1351_1667",1390,0.61035351961036,-0.197949777906023,-0.0741701606925601
"X1351_1668",1348,0.624536324188981,-0.183766973327402,-0.0599873561139386
"X1351_1669",1247,0.582833195337919,-0.225470102178464,-0.101690484965001
"X1351_1670",1162,0.588525418135929,-0.219777879380454,-0.0959982621669906
"X1351_1671",1397,0.558274272824407,-0.250029024691977,-0.126249407478513
"X1351_1672",1168,0.639346108213317,-0.168957189303066,-0.0451775720896027
"X1351_1673",877,0.613438708621669,-0.194864588894714,-0.0710849716812512
"X1351_1573",1494,0.622130553598016,-0.186172743918367,-0.0623931267049043
"X1351_1574",1367,0.589542366130625,-0.218760931385758,-0.0949813141722951
"X1351_1575",1438,0.607537594176047,-0.200765703340336,-0.0769860861268731
"X1351_1564",1489,0.593432694394166,-0.214870603122217,-0.0910909859087535
"X1351_1565",1423,0.612651756636615,-0.195651540879768,-0.0718719236663049
"X1351_1566",1443,0.574141453165444,-0.234161844350939,-0.110382227137476
"X1351_1567",1052,0.621201126390263,-0.18710217112612,-0.0633225539126564
"X1351_1568",1263,0.544157914462895,-0.264145383053488,-0.140365765840025
"X1351_1569",1440,0.586859138954036,-0.221444158562347,-0.0976645413488842
"X1351_1570",1495,0.687523454055979,-0.120779843460404,0.00299977375305871
"X1351_1571",1417,0.679603074728588,-0.128700222787795,-0.00492060557433194
"X1351_1572",1489,0.604766481933303,-0.20353681558308,-0.0797571983696167
