"measure","values","source"
"n_samples",83,"obs_summary"
"obs_otu_count_mean",1140.21686746988,"obs_summary"
"obs_calc_alpha_mean",12.0665561647329,"obs_summary"
"obs_gamma",7843,"obs_summary"
"obs_mean_beta",0.597627064129818,"obs_summary"
"null_mean_alpha_stoch",2.1338773428535,"null_summary"
"null_mean_alpha_det",2.74716307535382,"null_summary"
"null_gamma_stoch",20853,"null_summary"
"null_gamma_det",30543,"null_summary"
"null_mean_beta_stoch",0.808303297516383,"null_summary"
"null_mean_beta_det",0.68452368030292,"null_summary"
"mean.alpha_stoch",5.96385542168675,"run_summary"
"mean.alpha_det",1,"run_summary"
"gamma_stoch",7843,"run_summary"
"gamma_det",7843,"run_summary"
"obs_beta_stoch",0.99923959512665,"run_summary"
"obs_beta_det",0.999872497768711,"run_summary"
