"","Observed","beta_div_metacomm_mean","abund_null_dev_stoch","abund_null_dev_det"
"X1351_1937",987,0.714706457684096,-0.159934545727727,-0.0178213337179648
"X1351_1938",831,0.721265985131955,-0.153375018279868,-0.0112618062701058
"X1351_1939",925,0.740217643677212,-0.134423359734611,0.00768985227515095
"X1351_1928",708,0.709075443724122,-0.165565559687701,-0.023452347677939
"X1351_1929",875,0.713891047856446,-0.160749955555377,-0.0186367435456148
"X1351_1930",748,0.714105613007319,-0.160535390404504,-0.0184221783947417
"X1351_1931",894,0.742266406054508,-0.132374597357315,0.00973861465244719
"X1351_1932",851,0.712696049463865,-0.161944953947957,-0.0198317419381953
"X1351_1933",777,0.704445855284543,-0.17019514812728,-0.0280819361175177
"X1351_1934",823,0.733423958084943,-0.141217045326879,0.000896166682882726
"X1351_1935",680,0.746845460559221,-0.127795542852602,0.0143176691571599
"X1351_1936",972,0.718125533243319,-0.156515470168503,-0.0144022581587413
"X1351_1875",1703,0.678756164920907,-0.195884838490916,-0.0537716264811537
"X1351_1876",1472,0.674421547780159,-0.200219455631664,-0.0581062436219018
"X1351_1877",1544,0.683550276274038,-0.191090727137785,-0.0489775151280226
"X1351_1866",1639,0.650128425006966,-0.224512578404856,-0.0823993663950943
"X1351_1867",1659,0.67683320862865,-0.197807794783173,-0.0556945827734109
"X1351_1868",1578,0.654738523288291,-0.219902480123531,-0.0777892681137692
"X1351_1869",1706,0.66598466387913,-0.208656339532692,-0.0665431275229303
"X1351_1870",1742,0.656558449673,-0.218082553738822,-0.0759693417290603
"X1351_1871",1714,0.660168840291146,-0.214472163120677,-0.0723589511109148
"X1351_1872",1551,0.668481029226723,-0.2061599741851,-0.0640467621753379
"X1351_1873",1652,0.683253894778873,-0.19138710863295,-0.049273896623188
"X1351_1874",1487,0.731415387167618,-0.143225616244205,-0.00111240423444292
"X1351_1925",1233,0.710005226448927,-0.164635776962895,-0.0225225649531334
"X1351_1926",1233,0.711101909078517,-0.163539094333306,-0.0214258823235439
"X1351_1927",1215,0.715228539680948,-0.159412463730874,-0.0172992517211124
"X1351_1914",1195,0.743140913757957,-0.131500089653866,0.010613122355896
"X1351_1915",1170,0.735160035642581,-0.139480967769242,0.00263224424052022
"X1351_1916",987,0.751231155554218,-0.123409847857605,0.0187033641521573
"X1351_1917",975,0.731896683113803,-0.14274432029802,-0.000631108288258075
"X1351_1918",1222,0.72403009036041,-0.150610913051412,-0.00849770104165049
"X1351_1919",779,0.835595816857196,-0.0390451865546263,0.103068025455136
"X1351_1922",960,0.755547200814339,-0.119093802597483,0.0230194094122788
"X1351_1923",1000,0.730012676673274,-0.144628326738548,-0.00251511472878618
"X1351_1924",1210,0.713021854156517,-0.161619149255306,-0.0195059372455438
"X1351_1475",1083,0.680590284927235,-0.194050718484588,-0.051937506474826
"X1351_1476",875,0.724231664348817,-0.150409339063006,-0.00829612705324367
"X1351_1466",801,0.770447654193424,-0.104193349218398,0.0379198627913635
