"measure","values","source"
"n_samples",174,"obs_summary"
"obs_otu_count_mean",1158.85632183908,"obs_summary"
"obs_calc_alpha_mean",15.4549704913007,"obs_summary"
"obs_gamma",13047,"obs_summary"
"obs_mean_beta",0.710702426113664,"obs_summary"
"null_mean_alpha_stoch",2.39978539127769,"null_summary"
"null_mean_alpha_det",3.46501111366598,"null_summary"
"null_gamma_stoch",35170,"null_summary"
"null_gamma_det",57066,"null_summary"
"null_mean_beta_stoch",0.874641003411822,"null_summary"
"null_mean_beta_det",0.732527791402061,"null_summary"
"mean.alpha_stoch",7.66091954022988,"run_summary"
"mean.alpha_det",1,"run_summary"
"gamma_stoch",13047,"run_summary"
"gamma_det",13047,"run_summary"
"obs_beta_stoch",0.999412821373478,"run_summary"
"obs_beta_det",0.999923354027746,"run_summary"
