X16S_ID,Observed,beta_div_metacomm_mean,abund_null_dev_stoch,abund_null_dev_det,Domain,Grass
X1351_1887,1615,0.705552759,-0.113395209,-0.007004794,Bacteria,ANGE
X1351_1888,1562,0.68603481,-0.132913158,-0.026522743,Bacteria,ANGE
X1351_1889,1523,0.693392712,-0.125555256,-0.019164841,Bacteria,ANGE
X1351_1878,1512,0.709061365,-0.109886603,-0.003496188,Bacteria,ANGE
X1351_1879,1369,0.722731555,-0.096216413,0.010174002,Bacteria,ANGE
X1351_1880,1161,0.780672132,-0.038275836,0.068114579,Bacteria,ANGE
X1351_1881,1518,0.710124335,-0.108823633,-0.002433218,Bacteria,ANGE
X1351_1882,1548,0.72482137,-0.094126598,0.012263817,Bacteria,ANGE
X1351_1883,1668,0.691527741,-0.127420227,-0.021029812,Bacteria,ANGE
X1351_1884,1669,0.70703573,-0.111912238,-0.005521823,Bacteria,ANGE
X1351_1885,1577,0.699916078,-0.11903189,-0.012641474,Bacteria,ANGE
X1351_1886,1450,0.682258629,-0.136689339,-0.030298924,Bacteria,ANGE
X1351_1535,855,0.709999082,-0.108948886,-0.002558471,Bacteria,ANGE
X1351_1538,1047,0.677280105,-0.141667863,-0.035277448,Bacteria,ANGE
X1351_1539,1071,0.716340453,-0.102607515,0.0037829,Bacteria,ANGE
X1351_1526,900,0.728497174,-0.090450794,0.015939621,Bacteria,ANGE
X1351_1527,1089,0.70014511,-0.118802858,-0.012412443,Bacteria,ANGE
X1351_1528,410,0.885787284,0.066839316,0.173229731,Bacteria,ANGE
X1351_1529,1013,0.679793702,-0.139154266,-0.032763851,Bacteria,ANGE
X1351_1530,1079,0.692992825,-0.125955143,-0.019564728,Bacteria,ANGE
X1351_1531,1171,0.692683958,-0.12626401,-0.019873595,Bacteria,ANGE
X1351_1532,1108,0.686714759,-0.132233209,-0.025842794,Bacteria,ANGE
X1351_1533,960,0.715576689,-0.103371279,0.003019136,Bacteria,ANGE
X1351_1534,919,0.713127709,-0.105820259,0.000570156,Bacteria,ANGE
X1351_1698,567,0.788654079,-0.030293889,0.076096526,Bacteria,ANGE
X1351_1699,184,0.90288853,0.083940562,0.190330977,Bacteria,ANGE
X1351_1700,429,0.838604278,0.01965631,0.126046725,Bacteria,ANGE
X1351_1689,404,0.817796961,-0.001151007,0.105239408,Bacteria,ANGE
X1351_1690,718,0.73931195,-0.079636018,0.026754397,Bacteria,ANGE
X1351_1691,603,0.75197337,-0.066974598,0.039415817,Bacteria,ANGE
X1351_1692,506,0.785736616,-0.033211352,0.073179063,Bacteria,ANGE
X1351_1693,591,0.759975996,-0.058971973,0.047418443,Bacteria,ANGE
X1351_1694,588,0.771008234,-0.047939734,0.058450681,Bacteria,ANGE
X1351_1695,478,0.814950856,-0.003997112,0.102393303,Bacteria,ANGE
X1351_1696,561,0.788187782,-0.030760186,0.075630229,Bacteria,ANGE
X1351_1697,406,0.822914176,0.003966208,0.110356624,Bacteria,ANGE
X1351_1549,1156,0.703163608,-0.11578436,-0.009393945,Bacteria,ANGE
X1351_1550,1335,0.678428119,-0.140519849,-0.034129434,Bacteria,ANGE
X1351_1551,1260,0.66304843,-0.155899538,-0.049509123,Bacteria,ANGE
X1351_1540,1305,0.64999425,-0.168953718,-0.062563303,Bacteria,ANGE
X1351_1542,1249,0.666840771,-0.152107197,-0.045716782,Bacteria,ANGE
X1351_1543,1333,0.641898378,-0.17704959,-0.070659175,Bacteria,ANGE
X1351_1544,1108,0.677894307,-0.141053661,-0.034663246,Bacteria,ANGE
X1351_1545,1330,0.666337505,-0.152610464,-0.046220048,Bacteria,ANGE
X1351_1546,1200,0.665253715,-0.153694253,-0.047303838,Bacteria,ANGE
X1351_1547,1206,0.645670629,-0.173277339,-0.066886924,Bacteria,ANGE
X1351_1548,1315,0.696040319,-0.122907649,-0.016517234,Bacteria,ANGE
X1351_1597,882,0.69176196,-0.127186008,-0.020795593,Bacteria,ANGE
X1351_1598,794,0.736286649,-0.082661319,0.023729096,Bacteria,ANGE
X1351_1588,707,0.707200958,-0.11174701,-0.005356595,Bacteria,ANGE
X1351_1589,872,0.726220143,-0.092727825,0.01366259,Bacteria,ANGE
X1351_1590,949,0.696660975,-0.122286993,-0.015896578,Bacteria,ANGE
X1351_1591,469,0.789183321,-0.029764647,0.076625768,Bacteria,ANGE
X1351_1592,827,0.678414762,-0.140533206,-0.034142791,Bacteria,ANGE
X1351_1593,508,0.740798787,-0.078149181,0.028241234,Bacteria,ANGE
X1351_1594,714,0.747860615,-0.071087353,0.035303062,Bacteria,ANGE
X1351_1595,558,0.750934497,-0.068013471,0.038376944,Bacteria,ANGE
X1351_1596,621,0.766912737,-0.052035232,0.054355184,Bacteria,ANGE
X1351_1852,1300,0.69800411,-0.120943858,-0.014553443,Bacteria,ANGE
X1351_1853,1136,0.735415125,-0.083532843,0.022857572,Bacteria,ANGE
X1351_1854,1009,0.757873195,-0.061074773,0.045315642,Bacteria,ANGE
X1351_1843,1451,0.694932715,-0.124015253,-0.017624838,Bacteria,ANGE
X1351_1844,1282,0.702121195,-0.116826773,-0.010436358,Bacteria,ANGE
X1351_1845,1521,0.684017483,-0.134930485,-0.02854007,Bacteria,ANGE
