"","Observed","beta_div_metacomm_mean","abund_null_dev_stoch","abund_null_dev_det"
"SRR13801425",102,0.902700972665259,0.355555168104732,0.381680141722743
"SRR13800996",102,0.916950194585751,0.369804390025224,0.395929363643235
"SRR13800985",105,0.898657026017111,0.351511221456584,0.377636195074595
"SRR13801436",93,0.936615182348539,0.389469377788012,0.415594351406023
"SRR13801262",89,0.926849513248486,0.379703708687959,0.405828682305969
"SRR13801251",82,0.923061708158707,0.375915903598181,0.402040877216191
"SRR13801085",107,0.88237539236378,0.335229587803253,0.361354561421264
"SRR13801515",100,0.928139322241508,0.380993517680981,0.407118491298992
"SRR13801504",84,0.956224705217632,0.409078900657106,0.435203874275116
"SRR13801052",83,0.927005524883815,0.379859720323288,0.405984693941299
"SRR13801041",128,0.945070929786483,0.397925125225956,0.424050098843967
"SRR13801168",162,0.851680303509148,0.304534498948621,0.330659472566632
"SRR13801167",101,0.914115861984798,0.366970057424271,0.393095031042282
"SRR13801172",64,0.960167547594653,0.413021743034126,0.439146716652137
"SRR13801166",79,0.936716799021818,0.389570994461292,0.415695968079302
"SRR13801165",136,0.908469318015919,0.361323513455392,0.387448487073403
"SRR13801164",120,0.874052101366487,0.32690629680596,0.353031270423971
"SRR13801162",110,0.943669035590491,0.396523231029964,0.422648204647975
"SRR13801161",145,0.922252685877649,0.375106881317122,0.401231854935133
"SRR13801160",122,0.951803338894657,0.40465753433413,0.43078250795214
"SRR13801158",107,0.934123582294899,0.386977777734372,0.413102751352383
"SRR13801459",123,0.873364118691828,0.326218314131301,0.352343287749312
"SRR13801458",108,0.967096219717705,0.419950415157178,0.446075388775189
"SRR13801457",124,0.872815077570385,0.325669273009858,0.351794246627869
"SRR13801460",116,0.88708612440385,0.339940319843323,0.366065293461334
"SRR13801456",121,0.891403116546567,0.34425731198604,0.37038228560405
"SRR13801455",118,0.847793258562509,0.300647454001982,0.326772427619993
"SRR13801454",111,0.890539161897495,0.343393357336968,0.369518330954979
"SRR13801452",91,0.906951622175998,0.359805817615471,0.385930791233482
"SRR13801450",111,0.906269256367519,0.359123451806992,0.385248425425003
"SRR13801449",142,0.907611904964105,0.360466100403578,0.386591074021589
"SRR13801544",119,0.881364366393805,0.334218561833278,0.360343535451288
"SRR13800954",133,0.958921937920351,0.411776133359824,0.437901106977834
"SRR13800953",145,0.937593178919474,0.390447374358947,0.416572347976958
"SRR13800951",123,0.9291967681621,0.382050963601573,0.408175937219584
"SRR13800955",192,0.917857927809321,0.370712123248794,0.396837096866804
"SRR13800950",197,0.901527935999138,0.354382131438611,0.380507105056621
"SRR13800949",153,0.90104155450064,0.353895749940113,0.380020723558123
"SRR13800948",138,0.907827126530668,0.360681321970141,0.386806295588151
"SRR13800947",128,0.938135741368513,0.390989936807986,0.417114910425997
"SRR13800946",100,0.937264331278498,0.390118526717971,0.416243500335982
"SRR13800945",142,0.926574147938603,0.379428343378076,0.405553316996087
"SRR13800944",155,0.864305580655578,0.317159776095052,0.343284749713062
"SRR13800943",168,0.953569274167206,0.406423469606679,0.432548443224689
"SRR13801387",88,0.89155175679879,0.344405952238263,0.370530925856274
"SRR13801386",74,0.946015073700379,0.398869269139852,0.424994242757863
"SRR13801385",75,0.939678350427812,0.392532545867285,0.418657519485296
"SRR13801388",89,0.917749013370439,0.370603208809912,0.396728182427923
"SRR13801384",59,0.954126011785638,0.406980207225111,0.433105180843122
"SRR13801382",114,0.918309215544553,0.371163410984026,0.397288384602037
"SRR13801381",79,0.896530483151489,0.349384678590962,0.375509652208973
"SRR13801380",100,0.912869933218254,0.365724128657727,0.391849102275737
"SRR13801379",80,0.935140251412351,0.387994446851824,0.414119420469835
"SRR13801378",86,0.909345003700966,0.362199199140439,0.38832417275845
"SRR13801377",70,0.889100324734533,0.341954520174006,0.368079493792017
"SRR13801376",102,0.89937165978265,0.352225855222123,0.378350828840134
"SRR13801005",192,0.740917928652671,0.193772124092145,0.219897097710155
"SRR13801004",186,0.757485845449802,0.210340040889275,0.236465014507286
"SRR13801003",197,0.754001517237995,0.206855712677468,0.232980686295479
"SRR13801006",208,0.738916547457193,0.191770742896666,0.217895716514677
"SRR13801002",221,0.766236958666308,0.219091154105781,0.245216127723792
"SRR13801001",230,0.733871771319209,0.186725966758682,0.212850940376693
"SRR13801000",166,0.770193477634286,0.223047673073759,0.24917264669177
"SRR13800999",183,0.83112797534442,0.283982170783893,0.310107144401903
"SRR13800998",224,0.76206873036538,0.214922925804853,0.241047899422863
"SRR13800995",216,0.75321199241262,0.206066187852094,0.232191161470104
"SRR13800994",281,0.759081866653031,0.211936062092504,0.238061035710515
"SRR13801254",197,0.872021396654272,0.324875592093745,0.351000565711756
"SRR13801253",237,0.835758086747249,0.288612282186722,0.314737255804733
"SRR13801252",230,0.847103422866528,0.299957618306001,0.326082591924012
"SRR13801255",203,0.83698055763629,0.289834753075763,0.315959726693774
"SRR13801249",208,0.828465413001465,0.281319608440938,0.307444582058949
"SRR13801103",201,0.771123169570256,0.223977365009729,0.25010233862774
"SRR13801102",178,0.847189333550417,0.30004352898989,0.326168502607901
"SRR13801101",194,0.823606472297599,0.276460667737072,0.302585641355083
"SRR13801100",216,0.803015624792902,0.255869820232375,0.281994793850386
"SRR13801099",202,0.777539639106288,0.230393834545761,0.256518808163772
"SRR13801082",213,0.779768064300452,0.232622259739925,0.258747233357935
"SRR13801081",232,0.76034920104183,0.213203396481303,0.239328370099314
"SRR13801084",213,0.777266599686127,0.2301207951256,0.256245768743611
"SRR13801080",237,0.833990306065115,0.286844501504588,0.312969475122599
"SRR13801520",198,0.885369727780555,0.338223923220028,0.364348896838039
"SRR13801519",168,0.88972802761599,0.342582223055463,0.368707196673474
"SRR13801518",205,0.897871565574083,0.350725761013556,0.376850734631566
"SRR13801517",193,0.817319308932353,0.270173504371826,0.296298477989837
"SRR13801516",195,0.818524576629359,0.271378772068832,0.297503745686843
"SRR13801514",196,0.8267001512207,0.279554346660173,0.305679320278184
"SRR13801036",128,0.900159241098036,0.353013436537509,0.37913841015552
"SRR13801061",227,0.747548729467654,0.200402924907127,0.226527898525138
"SRR13801058",175,0.729047677554628,0.181901872994101,0.208026846612112
"SRR13801062",224,0.783396117521544,0.236250312961017,0.262375286579028
"SRR13801056",221,0.774910226643887,0.22776442208336,0.253889395701371
"SRR13801496",200,0.7394846774722,0.192338872911673,0.218463846529684
"SRR13801495",225,0.741056550944309,0.193910746383782,0.220035720001793
"SRR13801494",202,0.727957344375883,0.180811539815356,0.206936513433367
"SRR13801493",213,0.755641436645149,0.208495632084622,0.234620605702633
"SRR13801492",205,0.766938200623614,0.219792396063087,0.245917369681097
"SRR13801491",238,0.740508122529399,0.193362317968872,0.219487291586883
