"measure","values","source"
"n_samples",98,"obs_summary"
"obs_otu_count_mean",152.785714285714,"obs_summary"
"obs_calc_alpha_mean",6.32305743243243,"obs_summary"
"obs_gamma",2368,"obs_summary"
"obs_mean_beta",0.862857667724248,"obs_summary"
"null_mean_alpha_stoch",2.65878378378378,"null_summary"
"null_mean_alpha_det",5.328125,"null_summary"
"null_gamma_stoch",12115,"null_summary"
"null_gamma_det",22278,"null_summary"
"null_mean_beta_stoch",0.547145804560527,"null_summary"
"null_mean_beta_det",0.521020830942516,"null_summary"
"mean.alpha_stoch",7.72448979591837,"run_summary"
"mean.alpha_det",1,"run_summary"
"gamma_stoch",2368,"run_summary"
"gamma_det",2368,"run_summary"
"obs_beta_stoch",0.996737968836183,"run_summary"
"obs_beta_det",0.999577702702703,"run_summary"
