"","Observed","beta_div_metacomm_mean","abund_null_dev_stoch","abund_null_dev_det"
"SRR13800962",88,0.884717950178688,0.41573288307392,0.426702627738983
"SRR13800927",65,0.784910214130313,0.315925147025544,0.326894891690608
"SRR13800916",70,0.807762393064245,0.338777325959476,0.349747070624539
"SRR13800973",90,0.819354505059865,0.350369437955096,0.36133918262016
"SRR13801586",97,0.780970738804921,0.311985671700152,0.322955416365215
"SRR13801575",67,0.80562029121295,0.336635224108181,0.347604968773244
"SRR13801170",48,0.833895964314913,0.364910897210144,0.375880641875207
"SRR13801159",92,0.804127381797526,0.335142314692757,0.34611205935782
"SRR13801370",94,0.804822674908206,0.335837607803437,0.346807352468501
"SRR13801359",52,0.92212437058392,0.453139303479151,0.464109048144215
"SRR13801423",69,0.890584946970805,0.421599879866036,0.4325696245311
"SRR13801412",89,0.807996645933142,0.339011578828374,0.349981323493437
"SRR13801346",155,0.752199258934791,0.283214191830022,0.294183936495086
"SRR13801345",149,0.867325778430622,0.398340711325853,0.409310455990916
"SRR13801344",161,0.851142057573412,0.382156990468643,0.393126735133707
"SRR13801347",160,0.731744854020483,0.262759786915714,0.273729531580778
"SRR13801342",165,0.753487870041059,0.28450280293629,0.295472547601353
"SRR13801341",171,0.774216049701232,0.305230982596464,0.316200727261527
"SRR13801340",173,0.740335931691519,0.27135086458675,0.282320609251813
"SRR13801339",157,0.791555434019756,0.322570366914987,0.333540111580051
"SRR13801338",167,0.922588243526463,0.453603176421694,0.464572921086758
"SRR13801337",150,0.76707582061537,0.298090753510601,0.309060498175664
"SRR13801336",136,0.797064907473268,0.328079840368499,0.339049585033563
"SRR13801307",82,0.940482074101779,0.47149700699701,0.482466751662073
"SRR13801306",73,0.873815100990569,0.4048300338858,0.415799778550864
"SRR13801305",110,0.962338989112546,0.493353922007777,0.504323666672841
"SRR13801308",82,0.862851132929543,0.393866065824774,0.404835810489837
"SRR13801304",98,0.933496658557843,0.464511591453074,0.475481336118138
"SRR13801302",94,0.910089765061581,0.441104697956812,0.452074442621876
"SRR13801301",97,0.833881256661472,0.364896189556703,0.375865934221767
"SRR13801299",68,0.958563335115274,0.489578268010505,0.500548012675568
"SRR13801298",99,0.898883021185227,0.429897954080458,0.440867698745522
"SRR13801297",92,0.92124458292975,0.452259515824981,0.463229260490044
"SRR13801296",79,0.829394948917674,0.360409881812905,0.371379626477968
"SRR13801294",84,0.834369143726907,0.365384076622138,0.376353821287202
"SRR13801293",73,0.871219485320982,0.402234418216213,0.413204162881276
"SRR13801292",102,0.775453415918814,0.306468348814045,0.317438093479108
"SRR13801295",102,0.783009552478099,0.31402448537333,0.324994230038393
"SRR13801291",69,0.830100292164695,0.361115225059926,0.372084969724989
"SRR13801290",134,0.841759139425005,0.372774072320236,0.3837438169853
"SRR13801288",73,0.882286408321855,0.413301341217086,0.424271085882149
"SRR13801287",72,0.826487588384666,0.357502521279897,0.368472265944961
"SRR13801286",64,0.868396208202558,0.399411141097789,0.410380885762853
"SRR13801285",70,0.943136726606042,0.474151659501273,0.485121404166336
"SRR13801284",84,0.809827962191649,0.34084289508688,0.351812639751943
"SRR13801283",66,0.825485246348288,0.356500179243519,0.367469923908582
"SRR13801118",61,0.883465394134105,0.414480327029336,0.4254500716944
"SRR13801116",62,0.872315649331464,0.403330582226695,0.414300326891759
"SRR13801119",66,0.88170686007912,0.412721792974351,0.423691537639415
"SRR13801114",64,0.747501107076392,0.278516039971623,0.289485784636687
"SRR13801113",61,0.800243848593599,0.33125878148883,0.342228526153894
"SRR13801112",72,0.801993274811194,0.333008207706425,0.343977952371489
"SRR13801111",83,0.827441454245727,0.358456387140958,0.369426131806021
"SRR13801110",61,0.869633758651102,0.400648691546333,0.411618436211397
"SRR13801109",59,0.812597128416465,0.343612061311696,0.354581805976759
"SRR13801108",66,0.770158085800667,0.301173018695898,0.312142763360962
"SRR13801107",79,0.8066274889747,0.337642421869931,0.348612166534995
"SRR13800971",186,0.786847493804687,0.317862426699918,0.328832171364982
"SRR13800970",176,0.736440885462081,0.267455818357312,0.278425563022375
"SRR13800969",192,0.754086366874614,0.285101299769845,0.296071044434909
"SRR13800972",203,0.805495979256765,0.336510912151996,0.34748065681706
"SRR13800968",195,0.789649410145085,0.320664343040317,0.33163408770538
"SRR13800967",180,0.741160502182431,0.272175435077662,0.283145179742725
"SRR13800966",187,0.814262316228289,0.34527724912352,0.356246993788584
"SRR13800965",172,0.751569687418522,0.282584620313753,0.293554364978817
"SRR13800964",175,0.788755240372531,0.319770173267762,0.330739917932826
"SRR13800963",164,0.737075241061326,0.268090173956557,0.279059918621621
"SRR13800961",191,0.795228095702112,0.326243028597343,0.337212773262406
"SRR13800960",188,0.788301907809308,0.319316840704539,0.330286585369602
"SRR13801565",103,0.880604767213189,0.41161970010842,0.422589444773484
"SRR13801564",83,0.804257558689903,0.335272491585134,0.346242236250198
"SRR13801563",79,0.932477394826396,0.463492327721627,0.474462072386691
"SRR13801566",56,0.866249470462929,0.39726440335816,0.408234148023223
"SRR13801561",87,0.844784352901149,0.37579928579638,0.386769030461443
"SRR13801559",73,0.887739593203212,0.418754526098443,0.429724270763507
"SRR13801558",80,0.868977332228651,0.399992265123882,0.410962009788946
"SRR13801556",53,0.856799731240326,0.387814664135558,0.398784408800621
"SRR13801555",40,0.936663843721701,0.467678776616932,0.478648521281995
