"measure","values","source"
"n_samples",78,"obs_summary"
"obs_otu_count_mean",105.5,"obs_summary"
"obs_calc_alpha_mean",5.98037790697674,"obs_summary"
"obs_gamma",1376,"obs_summary"
"obs_mean_beta",0.832734712032821,"obs_summary"
"null_mean_alpha_stoch",2.66933139534884,"null_summary"
"null_mean_alpha_det",5.875,"null_summary"
"null_gamma_stoch",8556,"null_summary"
"null_gamma_det",16714,"null_summary"
"null_mean_beta_stoch",0.468985067104769,"null_summary"
"null_mean_beta_det",0.458015322439705,"null_summary"
"mean.alpha_stoch",6.5,"run_summary"
"mean.alpha_det",1,"run_summary"
"gamma_stoch",1376,"run_summary"
"gamma_det",1376,"run_summary"
"obs_beta_stoch",0.995276162790698,"run_summary"
"obs_beta_det",0.999273255813954,"run_summary"
