"","Observed","beta_div_metacomm_mean","abund_null_dev_stoch","abund_null_dev_det"
"SRR13801399",172,0.760130056025621,0.246959412929213,0.252019690380128
"SRR13801186",168,0.812076514717907,0.298905871621499,0.303966149072413
"SRR13801171",160,0.957398498228899,0.444227855132492,0.449288132583406
"SRR13801400",166,0.689579683041576,0.176409039945168,0.181469317396083
"SRR13801525",226,0.750182799349601,0.237012156253194,0.242072433704108
"SRR13800997",197,0.738232138520574,0.225061495424167,0.230121772875081
"SRR13801246",187,0.774235443106685,0.261064800010277,0.266125077461192
"SRR13801475",195,0.876317302118405,0.363146659021997,0.368206936472912
"SRR13801023",206,0.757388105890342,0.244217462793935,0.249277740244849
"SRR13801012",207,0.742255511105011,0.229084868008603,0.234145145459518
"SRR13801398",192,0.700573118003601,0.187402474907193,0.192462752358108
"SRR13801333",175,0.773569143182399,0.260398500085991,0.265458777536906
"SRR13801401",72,0.90996483365403,0.396794190557622,0.401854468008536
"SRR13801524",68,0.824692790956586,0.311522147860178,0.316582425311093
"SRR13800952",99,0.802304799149035,0.289134156052627,0.294194433503542
"SRR13801146",54,0.806485606650389,0.293314963553982,0.298375241004896
"SRR13801135",151,0.917971637295141,0.404800994198733,0.409861271649648
"SRR13801476",107,0.914623956473639,0.401453313377232,0.406513590828146
"SRR13801245",108,0.78775605517866,0.274585412082253,0.279645689533167
"SRR13801546",91,0.777619546564798,0.26444890346839,0.269509180919305
"SRR13801070",111,0.864400062319854,0.351229419223447,0.356289696674361
"SRR13801059",87,0.927802882253322,0.414632239156914,0.419692516607828
"SRR13801489",114,0.841732235715342,0.328561592618934,0.333621870069848
"SRR13801478",101,0.929489750784681,0.416319107688273,0.421379385139188
"SRR13801335",188,0.6874527523019,0.174282109205493,0.179342386656407
"SRR13801330",161,0.679980959259651,0.166810316163243,0.171870593614157
"SRR13801329",185,0.736664799632038,0.22349415653563,0.228554433986545
"SRR13801328",145,0.720673498959471,0.207502855863063,0.212563133313978
"SRR13801327",178,0.701454366421804,0.188283723325396,0.193344000776311
"SRR13801279",83,0.818920213997062,0.305749570900654,0.310809848351569
"SRR13801282",69,0.77688571757645,0.263715074480042,0.268775351930957
"SRR13801277",68,0.945674458657454,0.432503815561046,0.437564093011961
"SRR13801276",96,0.819796843651565,0.306626200555157,0.311686478006072
"SRR13801275",93,0.781707830255701,0.268537187159293,0.273597464610208
"SRR13801274",100,0.799778350776601,0.286607707680193,0.291667985131107
"SRR13801207",83,0.918837819989435,0.405667176893027,0.410727454343942
"SRR13801203",86,0.87448167630286,0.361311033206452,0.366371310657367
"SRR13801202",99,0.82433202453685,0.311161381440443,0.316221658891357
"SRR13801201",140,0.957015944997736,0.443845301901328,0.448905579352242
"SRR13801200",86,0.793710973630632,0.280540330534224,0.285600607985139
"SRR13801105",80,0.794610587773856,0.281439944677448,0.286500222128363
"SRR13801106",89,0.815429956805203,0.302259313708795,0.30731959115971
"SRR13800981",87,0.807796350677481,0.294625707581073,0.299685985031988
"SRR13800980",51,0.788643053710304,0.275472410613897,0.280532688064811
"SRR13800979",81,0.811605492310035,0.298434849213627,0.303495126664542
"SRR13800978",68,0.792664540110797,0.279493897014389,0.284554174465304
"SRR13800933",203,0.739263238724911,0.226092595628503,0.231152873079417
"SRR13800932",181,0.751202970873375,0.238032327776967,0.243092605227882
"SRR13800935",195,0.691871910639097,0.178701267542689,0.183761544993603
"SRR13800930",207,0.714411543422695,0.201240900326288,0.206301177777202
"SRR13800929",189,0.739592361364448,0.22642171826804,0.231481995718955
"SRR13800928",201,0.716351718034851,0.203181074938443,0.208241352389358
"SRR13800926",172,0.713278811237661,0.200108168141254,0.205168445592168
"SRR13800925",177,0.705295629327406,0.192124986230998,0.197185263681913
"SRR13800924",165,0.696553921188624,0.183383278092216,0.188443555543131
"SRR13800923",171,0.729687857478695,0.216517214382287,0.221577491833202
"SRR13801588",138,0.930464195900752,0.417293552804344,0.422353830255259
"SRR13801157",84,0.889515184508263,0.376344541411855,0.38140481886277
"SRR13801153",138,0.962211924361382,0.449041281264974,0.454101558715889
"SRR13801152",130,0.970643191182507,0.457472548086099,0.462532825537014
"SRR13801373",124,0.821641271894111,0.308470628797703,0.313530906248618
"SRR13801372",92,0.926442994077232,0.413272350980824,0.418332628431738
"SRR13801371",147,0.864914435300453,0.351743792204045,0.35680406965496
"SRR13801410",74,0.900173694516494,0.387003051420087,0.392063328871001
"SRR13801409",112,0.946082250694177,0.432911607597769,0.437971885048684
"SRR13801408",114,0.806084373359214,0.292913730262806,0.297974007713721
"SRR13801407",122,0.819959909060797,0.306789265964389,0.311849543415304
"SRR13800940",123,0.895126319965681,0.381955676869273,0.387015954320188
"SRR13800938",157,0.862454901636585,0.349284258540177,0.354344535991092
"SRR13800937",93,0.968562673926041,0.455392030829633,0.460452308280548
"SRR13800936",116,0.905113337616859,0.391942694520451,0.397002971971366
"SRR13801151",122,0.892214365397087,0.37904372230068,0.384103999751594
"SRR13801150",86,0.89486687521419,0.381696232117783,0.386756509568697
"SRR13801149",111,0.975913773876366,0.462743130779958,0.467803408230873
"SRR13801147",169,0.914134750758896,0.400964107662489,0.406024385113403
"SRR13801145",162,0.962192592917446,0.449021949821038,0.454082227271953
"SRR13801375",74,0.832284444142222,0.319113801045814,0.324174078496728
"SRR13801445",67,0.852871074624213,0.339700431527805,0.34476070897872
"SRR13801444",89,0.846906666175075,0.333736023078667,0.338796300529582
"SRR13801443",56,0.784520940907521,0.271350297811113,0.276410575262028
"SRR13801441",80,0.774345725391032,0.261175082294624,0.266235359745538
"SRR13801499",194,0.772707094267548,0.25953645117114,0.264596728622055
