"measure","values","source"
"n_samples",92,"obs_summary"
"obs_otu_count_mean",128.20652173913,"obs_summary"
"obs_calc_alpha_mean",5.49115456238361,"obs_summary"
"obs_gamma",2148,"obs_summary"
"obs_mean_beta",0.822816619236963,"obs_summary"
"null_mean_alpha_stoch",2.53957169459963,"null_summary"
"null_mean_alpha_det",5.30540037243948,"null_summary"
"null_gamma_stoch",11469,"null_summary"
"null_gamma_det",20764,"null_summary"
"null_mean_beta_stoch",0.513170643096408,"null_summary"
"null_mean_beta_det",0.508110365645493,"null_summary"
"mean.alpha_stoch",7.20652173913043,"run_summary"
"mean.alpha_det",1,"run_summary"
"gamma_stoch",2148,"run_summary"
"gamma_det",2148,"run_summary"
"obs_beta_stoch",0.996645008501336,"run_summary"
"obs_beta_det",0.999534450651769,"run_summary"
