"","Observed","beta_div_metacomm_mean","abund_null_dev_stoch","abund_null_dev_det"
"SRR13801030",115,0.853526743144033,0.35926849473291,0.364478618668866
"SRR13801029",109,0.854910178001551,0.360651929590428,0.365862053526383
"SRR13801028",79,0.826921822459528,0.332663574048404,0.33787369798436
"SRR13801031",127,0.869724772292686,0.375466523881563,0.380676647817519
"SRR13801027",89,0.859728672339754,0.36547042392863,0.370680547864586
"SRR13801026",69,0.817186096938819,0.322927848527696,0.328137972463652
"SRR13801025",118,0.900359891894772,0.406101643483648,0.411311767419604
"SRR13801024",137,0.829949542534616,0.335691294123493,0.340901418059448
"SRR13801022",167,0.850232984384418,0.355974735973295,0.36118485990925
"SRR13801021",144,0.833525651622371,0.339267403211248,0.344477527147203
"SRR13801020",165,0.968495587414906,0.474237339003783,0.479447462939738
"SRR13801019",100,0.825625599151564,0.331367350740441,0.336577474676396
"SRR13801193",86,0.975074919611775,0.480816671200652,0.486026795136607
"SRR13801192",138,0.909047951322054,0.41478970291093,0.419999826846886
"SRR13801191",142,0.848598506452203,0.35434025804108,0.359550381977035
"SRR13801194",106,0.819456638357626,0.325198389946503,0.330408513882459
"SRR13801190",89,0.856402229995565,0.362143981584442,0.367354105520398
"SRR13801189",114,0.875610681646118,0.381352433234995,0.38656255717095
"SRR13801188",58,0.975897067717704,0.481638819306581,0.486848943242536
"SRR13801187",70,0.853347128491137,0.359088880080014,0.364299004015969
"SRR13801184",99,0.826193571099908,0.331935322688785,0.33714544662474
"SRR13801183",99,0.954359464200714,0.460101215789591,0.465311339725546
"SRR13801182",108,0.837545243994991,0.343286995583868,0.348497119519823
"SRR13801181",86,0.934595409639738,0.440337161228615,0.445547285164571
"SRR13801365",66,0.831277546239314,0.337019297828191,0.342229421764146
"SRR13801364",123,0.844690793123704,0.35043254471258,0.355642668648536
"SRR13801366",129,0.85467140316939,0.360413154758267,0.365623278694222
"SRR13801362",100,0.853251134107656,0.358992885696533,0.364203009632489
"SRR13801361",143,0.868950163196147,0.374691914785024,0.379902038720979
"SRR13801360",92,0.934400343510453,0.44014209509933,0.445352219035285
"SRR13801358",99,0.946107541079302,0.451849292668179,0.457059416604135
"SRR13801356",100,0.923246589789247,0.428988341378124,0.434198465314079
"SRR13801355",115,0.935691143129286,0.441432894718163,0.446643018654118
"SRR13801354",116,0.871932216196168,0.377673967785045,0.382884091721
"SRR13801472",185,0.793037375960517,0.298779127549394,0.303989251485349
"SRR13801471",195,0.790937214281725,0.296678965870602,0.301889089806557
"SRR13801470",174,0.822034886327045,0.327776637915922,0.332986761851877
"SRR13801402",154,0.852170852071646,0.357912603660523,0.363122727596479
"SRR13801469",180,0.763043991655914,0.268785743244791,0.273995867180747
"SRR13801468",173,0.834659483500798,0.340401235089675,0.345611359025631
"SRR13801466",193,0.814312380502952,0.320054132091829,0.325264256027784
"SRR13801465",169,0.838310175677833,0.344051927266709,0.349262051202665
"SRR13801464",189,0.875016366366247,0.380758117955124,0.38596824189108
"SRR13801463",167,0.799779470066676,0.305521221655553,0.310731345591508
"SRR13801461",187,0.789658676907561,0.295400428496438,0.300610552432394
"SRR13801542",130,0.93612230398902,0.441864055577897,0.447074179513852
"SRR13801541",95,0.82627391115738,0.332015662746257,0.337225786682212
"SRR13801540",116,0.955961395368176,0.461703146957053,0.466913270893009
"SRR13801543",128,0.925104045651931,0.430845797240808,0.436055921176763
"SRR13801539",137,0.945649947519409,0.451391699108286,0.456601823044242
"SRR13801538",172,0.948152280307644,0.453894031896521,0.459104155832476
"SRR13801537",127,0.917014750118728,0.422756501707604,0.42796662564356
"SRR13801535",164,0.926643455036372,0.432385206625249,0.437595330561204
"SRR13801534",87,0.968398181385915,0.474139932974792,0.479350056910747
"SRR13801533",114,0.963770445838625,0.469512197427502,0.474722321363457
"SRR13801532",87,0.96392207324601,0.469663824834887,0.474873948770842
"SRR13801531",96,0.916481956900432,0.422223708489309,0.427433832425265
"SRR13801143",143,0.826822142723218,0.332563894312095,0.337774018248051
"SRR13801142",130,0.869401450365913,0.37514320195479,0.380353325890745
"SRR13801141",138,0.89418196960866,0.399923721197537,0.405133845133492
"SRR13801144",114,0.94145889540087,0.447200646989747,0.452410770925702
"SRR13801140",125,0.908674486469014,0.414416238057891,0.419626361993846
"SRR13801139",140,0.945338149173327,0.451079900762203,0.456290024698159
"SRR13801138",149,0.91586849098646,0.421610242575337,0.426820366511292
"SRR13801136",123,0.96367264751953,0.469414399108407,0.474624523044362
"SRR13801134",162,0.974235251433095,0.479977003021972,0.485187126957928
"SRR13801133",134,0.95426507350204,0.460006825090917,0.465216949026873
"SRR13801132",158,0.896812039714841,0.402553791303718,0.407763915239674
"SRR13800991",180,0.844809928161493,0.35055167975037,0.355761803686326
"SRR13800990",219,0.836426728958657,0.342168480547533,0.347378604483489
"SRR13800989",187,0.842677794779614,0.348419546368491,0.353629670304446
"SRR13800992",171,0.779290959727646,0.285032711316523,0.290242835252478
"SRR13800988",196,0.764388334052201,0.270130085641078,0.275340209577034
"SRR13800987",154,0.817865824971428,0.323607576560305,0.328817700496261
"SRR13800986",214,0.764275903545993,0.27001765513487,0.275227779070825
"SRR13800984",163,0.828599028703188,0.334340780292065,0.339550904228021
"SRR13801271",197,0.842497815740454,0.34823956732933,0.353449691265286
"SRR13801270",225,0.811008189973111,0.316749941561988,0.321960065497944
"SRR13801269",186,0.849320623374711,0.355062374963588,0.360272498899544
"SRR13801268",187,0.817343804503574,0.323085556092451,0.328295680028406
