"measure","values","source"
"n_samples",80,"obs_summary"
"obs_otu_count_mean",136.3875,"obs_summary"
"obs_calc_alpha_mean",5.78832891246684,"obs_summary"
"obs_gamma",1885,"obs_summary"
"obs_mean_beta",0.87345282976846,"obs_summary"
"null_mean_alpha_stoch",2.40053050397878,"null_summary"
"null_mean_alpha_det",4.96074270557029,"null_summary"
"null_gamma_stoch",10029,"null_summary"
"null_gamma_det",18090,"null_summary"
"null_mean_beta_stoch",0.494258248411123,"null_summary"
"null_mean_beta_det",0.489048124475168,"null_summary"
"mean.alpha_stoch",6.725,"run_summary"
"mean.alpha_det",1,"run_summary"
"gamma_stoch",1885,"run_summary"
"gamma_det",1885,"run_summary"
"obs_beta_stoch",0.996432360742706,"run_summary"
"obs_beta_det",0.99946949602122,"run_summary"
