"","Observed","beta_div_metacomm_mean","abund_null_dev_stoch","abund_null_dev_det"
"SRR13801311",178,0.86309583047735,0.255099949503498,0.268682106840178
"SRR13801300",195,0.883359722371896,0.275363841398044,0.288945998734724
"SRR13801289",165,0.86877548213523,0.260779601161378,0.274361758498057
"SRR13801322",124,0.915494033812534,0.307498152838682,0.321080310175361
"SRR13801278",198,0.843067721884083,0.235071840910231,0.24865399824691
"SRR13801219",128,0.897002594365487,0.289006713391635,0.302588870728314
"SRR13801208",169,0.874617913303356,0.266622032329504,0.280204189666184
"SRR13801197",178,0.898976004540473,0.290980123566621,0.3045622809033
"SRR13801185",136,0.910241168625963,0.30224528765211,0.31582744498879
"SRR13801126",126,0.951821315120173,0.34382543414632,0.357407591483
"SRR13801115",175,0.88584907386414,0.277853192890288,0.291435350226968
"SRR13801016",126,0.954541238719548,0.346545357745696,0.360127515082376
"SRR13801015",159,0.901267892958403,0.29327201198455,0.30685416932123
"SRR13801018",113,0.951464792052266,0.343468911078413,0.357051068415093
"SRR13801014",116,0.962939534441034,0.354943653467181,0.368525810803861
"SRR13801013",155,0.927186678265026,0.319190797291174,0.332772954627854
"SRR13801011",119,0.94066597721814,0.332670096244288,0.346252253580967
"SRR13801010",172,0.911696370775001,0.303700489801148,0.317282647137828
"SRR13801009",173,0.880941394152052,0.272945513178199,0.286527670514879
"SRR13801008",125,0.927740375889424,0.319744494915572,0.333326652252251
"SRR13801349",161,0.920169328944263,0.312173447970411,0.325755605307091
"SRR13801320",194,0.825544277364676,0.217548396390824,0.231130553727503
"SRR13801319",165,0.892618156589396,0.284622275615544,0.298204432952224
"SRR13801318",158,0.854954331838841,0.246958450864988,0.260540608201668
"SRR13801321",194,0.811075034743884,0.203079153770032,0.216661311106712
"SRR13801317",207,0.84549422698616,0.237498346012307,0.251080503348987
"SRR13801316",206,0.794676014438236,0.186680133464384,0.200262290801064
"SRR13801315",176,0.796213459786427,0.188217578812575,0.201799736149255
"SRR13801314",175,0.853950732280901,0.245954851307049,0.259537008643729
"SRR13801313",185,0.861578054538791,0.253582173564939,0.267164330901618
"SRR13801312",164,0.84538177798943,0.237385897015578,0.250968054352257
"SRR13801310",173,0.871257944215927,0.263262063242074,0.276844220578754
"SRR13801309",157,0.822508505867628,0.214512624893776,0.228094782230455
"SRR13801220",100,0.959461586587104,0.351465705613252,0.365047862949931
"SRR13801217",72,0.968357074971158,0.360361193997306,0.373943351333985
"SRR13801221",97,0.972920705612241,0.364924824638389,0.378506981975068
"SRR13801216",70,0.943788593990075,0.335792713016223,0.349374870352903
"SRR13801215",90,0.966589311675568,0.358593430701715,0.372175588038395
"SRR13801214",95,0.982597728759986,0.374601847786133,0.388184005122813
"SRR13801213",103,0.971256597969235,0.363260716995382,0.376842874332062
"SRR13801212",167,0.954068321767451,0.346072440793598,0.359654598130278
"SRR13801211",98,0.944831916207149,0.336836035233297,0.350418192569976
"SRR13801210",103,0.974346303752457,0.366350422778605,0.379932580115284
"SRR13801179",104,0.93383041302624,0.325834532052388,0.339416689389067
"SRR13801178",96,0.925767070150464,0.317771189176612,0.331353346513291
"SRR13801177",114,0.944807633203015,0.336811752229163,0.350393909565843
"SRR13801176",156,0.911392407236346,0.303396526262494,0.316978683599174
"SRR13801127",123,0.965585114750575,0.357589233776722,0.371171391113402
"SRR13801125",153,0.941192172650636,0.333196291676783,0.346778449013463
"SRR13801124",195,0.928594992534694,0.320599111560842,0.334181268897521
"SRR13801123",183,0.944207144770398,0.336211263796545,0.349793421133225
"SRR13801122",146,0.934662758905044,0.326666877931191,0.340249035267871
"SRR13801121",131,0.942551055866444,0.334555174892592,0.348137332229271
"SRR13801120",144,0.908623988734242,0.30062810776039,0.31421026509707
"SRR13801074",182,0.889985854567089,0.281989973593237,0.295572130929916
"SRR13801073",176,0.886226929600859,0.278231048627007,0.291813205963687
"SRR13801075",227,0.897927020690059,0.289931139716207,0.303513297052887
"SRR13801071",141,0.914655973615384,0.306660092641532,0.320242249978211
"SRR13801069",128,0.937532454119417,0.329536573145564,0.343118730482244
"SRR13801068",168,0.897629459408274,0.289633578434422,0.303215735771101
"SRR13801067",140,0.902689861015073,0.29469398004122,0.3082761373779
"SRR13801066",184,0.853478862024211,0.245482981050359,0.259065138387039
"SRR13801065",198,0.900220880160469,0.292224999186616,0.305807156523296
"SRR13801064",234,0.846532124919886,0.238536243946034,0.252118401282713
"SRR13801576",64,0.948688458186211,0.340692577212358,0.354274734549038
"SRR13801574",47,0.945417838524335,0.337421957550482,0.351004114887162
"SRR13801572",79,0.938210451823603,0.330214570849751,0.34379672818643
"SRR13801569",92,0.917078215134032,0.30908233416018,0.32266449149686
"SRR13801175",82,0.947804271268886,0.339808390295033,0.353390547631713
"SRR13801174",69,0.969946216977057,0.361950336003204,0.375532493339884
"SRR13801173",71,0.966499639526362,0.35850375855251,0.372085915889189
"SRR13801352",172,0.938417996812776,0.330422115838924,0.344004273175604
"SRR13801351",167,0.950810391179344,0.342814510205492,0.356396667542172
"SRR13801353",123,0.95070468084128,0.342708799867428,0.356290957204108
"SRR13801424",175,0.944027296905622,0.33603141593177,0.349613573268449
"SRR13801422",177,0.928030719754027,0.320034838780174,0.333616996116854
"SRR13801421",175,0.93606640070222,0.328070519728367,0.341652677065047
"SRR13801420",139,0.947686320255877,0.339690439282025,0.353272596618705
"SRR13801419",136,0.959053874499101,0.351057993525249,0.364640150861929
"SRR13801418",108,0.928343638746777,0.320347757772924,0.333929915109604
"SRR13801417",102,0.948863442393443,0.340867561419591,0.354449718756271
"SRR13801416",172,0.924596606479593,0.31660072550574,0.33018288284242
"SRR13801529",82,0.894108256864892,0.28611237589104,0.29969453322772
"SRR13801528",118,0.890611370316364,0.282615489342511,0.296197646679191
"SRR13801527",105,0.907410463942333,0.29941458296848,0.31299674030516
"SRR13801530",89,0.93276147919269,0.324765598218837,0.338347755555517
"SRR13801526",115,0.968026124223071,0.360030243249219,0.373612400585899
"SRR13801522",116,0.939313405597891,0.331317524624038,0.344899681960718
"SRR13801521",91,0.969099524161915,0.361103643188063,0.374685800524743
"SRR13800958",126,0.935242130502031,0.327246249528178,0.340828406864858
"SRR13800956",92,0.96616023024028,0.358164349266428,0.371746506603108
"SRR13801130",113,0.943231233646956,0.335235352673104,0.348817510009784
"SRR13801129",134,0.948137671813667,0.340141790839815,0.353723948176495
"SRR13801128",134,0.937585518417078,0.329589637443226,0.343171794779906
"SRR13801131",105,0.911662806837504,0.303666925863652,0.317249083200332
"SRR13801397",129,0.940042320046757,0.332046439072905,0.345628596409585
"SRR13801396",209,0.949137545137271,0.341141664163419,0.354723821500099
"SRR13801395",118,0.941041655531964,0.333045774558111,0.346627931894791
"SRR13801393",143,0.937567298760969,0.329571417787116,0.343153575123796
"SRR13801392",120,0.961295981710275,0.353300100736423,0.366882258073102
"SRR13801391",104,0.970589375532936,0.362593494559083,0.376175651895763
"SRR13801390",122,0.958381162944303,0.350385281970451,0.363967439307131
"SRR13801389",122,0.963700554338199,0.355704673364347,0.369286830701026
"SRR13801435",114,0.939572241838322,0.331576360864469,0.345158518201149
"SRR13801434",95,0.91351994984185,0.305524068867998,0.319106226204677
"SRR13801433",102,0.935552113715395,0.327556232741543,0.341138390078223
"SRR13801437",89,0.942151635011533,0.334155754037681,0.347737911374361
"SRR13801432",104,0.912062394990511,0.304066514016659,0.317648671353338
"SRR13801431",104,0.899909306993488,0.291913426019636,0.305495583356316
"SRR13801430",118,0.888329314458509,0.280333433484656,0.293915590821336
"SRR13801429",111,0.917688103423496,0.309692222449644,0.323274379786323
"SRR13801428",78,0.882761575734029,0.274765694760177,0.288347852096857
"SRR13801427",66,0.895712233815157,0.287716352841304,0.301298510177984
"SRR13801426",68,0.913477199572517,0.305481318598665,0.319063475935345
"SRR13801007",52,0.924242016888607,0.316246135914754,0.329828293251434
"SRR13801266",266,0.826508791574108,0.218512910600256,0.232095067936936
"SRR13801265",241,0.798237794565305,0.190241913591452,0.203824070928132
"SRR13801264",296,0.820478463336777,0.212482582362925,0.226064739699605
"SRR13801267",225,0.788951998070326,0.180956117096474,0.194538274433153
"SRR13801263",185,0.87608407041854,0.268088189444687,0.281670346781367
"SRR13801261",214,0.879464760912706,0.271468879938854,0.285051037275533
"SRR13801260",241,0.838754464382657,0.230758583408805,0.244340740745484
"SRR13801259",254,0.811398520988288,0.203402640014435,0.216984797351115
"SRR13801258",221,0.837637713926841,0.229641832952988,0.243223990289668
"SRR13801257",263,0.830939239871066,0.222943358897214,0.236525516233894
"SRR13801256",226,0.840300119780265,0.232304238806412,0.245886396143092
"SRR13801097",231,0.834343324479278,0.226347443505426,0.239929600842106
"SRR13801095",219,0.828576237915054,0.220580356941202,0.234162514277882
"SRR13801098",237,0.809736673253158,0.201740792279306,0.215322949615986
"SRR13801093",191,0.822278596694317,0.214282715720464,0.227864873057144
"SRR13801092",201,0.858074646640838,0.250078765666985,0.263660923003665
"SRR13801091",251,0.889854376918703,0.28185849594485,0.29544065328153
"SRR13801090",211,0.847787727264057,0.239791846290205,0.253374003626884
"SRR13801089",205,0.830605452915226,0.222609571941373,0.236191729278053
