"measure","values","source"
"n_samples",161,"obs_summary"
"obs_otu_count_mean",154.540372670807,"obs_summary"
"obs_calc_alpha_mean",7.01466027628982,"obs_summary"
"obs_gamma",3547,"obs_summary"
"obs_mean_beta",0.896406334267945,"obs_summary"
"null_mean_alpha_stoch",2.93205525796448,"null_summary"
"null_mean_alpha_det",6.81364533408514,"null_summary"
"null_gamma_stoch",17507,"null_summary"
"null_gamma_det",35752,"null_summary"
"null_mean_beta_stoch",0.607995880973852,"null_summary"
"null_mean_beta_det",0.594413723637173,"null_summary"
"mean.alpha_stoch",7.6832298136646,"run_summary"
"mean.alpha_det",1,"run_summary"
"gamma_stoch",3547,"run_summary"
"gamma_det",3547,"run_summary"
"obs_beta_stoch",0.997833879387182,"run_summary"
"obs_beta_det",0.999718071609811,"run_summary"
