ITS_ID,Observed,beta_div_metacomm_mean,abund_null_dev_stoch,abund_null_dev_det,Domain,Grass
SRR13801425,102,0.902700973,0.355555168,0.381680142,Fungi,ANGE
SRR13800996,102,0.916950195,0.36980439,0.395929364,Fungi,ANGE
SRR13800985,105,0.898657026,0.351511221,0.377636195,Fungi,ANGE
SRR13801436,93,0.936615182,0.389469378,0.415594351,Fungi,ANGE
SRR13801262,89,0.926849513,0.379703709,0.405828682,Fungi,ANGE
SRR13801251,82,0.923061708,0.375915904,0.402040877,Fungi,ANGE
SRR13801085,107,0.882375392,0.335229588,0.361354561,Fungi,ANGE
SRR13801515,100,0.928139322,0.380993518,0.407118491,Fungi,ANGE
SRR13801504,84,0.956224705,0.409078901,0.435203874,Fungi,ANGE
SRR13801052,83,0.927005525,0.37985972,0.405984694,Fungi,ANGE
SRR13801041,128,0.94507093,0.397925125,0.424050099,Fungi,ANGE
SRR13801168,162,0.851680304,0.304534499,0.330659473,Fungi,ANGE
SRR13801167,101,0.914115862,0.366970057,0.393095031,Fungi,ANGE
SRR13801172,64,0.960167548,0.413021743,0.439146717,Fungi,ANGE
SRR13801166,79,0.936716799,0.389570994,0.415695968,Fungi,ANGE
SRR13801165,136,0.908469318,0.361323513,0.387448487,Fungi,ANGE
SRR13801164,120,0.874052101,0.326906297,0.35303127,Fungi,ANGE
SRR13801162,110,0.943669036,0.396523231,0.422648205,Fungi,ANGE
SRR13801161,145,0.922252686,0.375106881,0.401231855,Fungi,ANGE
SRR13801160,122,0.951803339,0.404657534,0.430782508,Fungi,ANGE
SRR13801158,107,0.934123582,0.386977778,0.413102751,Fungi,ANGE
SRR13801459,123,0.873364119,0.326218314,0.352343288,Fungi,ANGE
SRR13801458,108,0.96709622,0.419950415,0.446075389,Fungi,ANGE
SRR13801457,124,0.872815078,0.325669273,0.351794247,Fungi,ANGE
SRR13801460,116,0.887086124,0.33994032,0.366065293,Fungi,ANGE
SRR13801456,121,0.891403117,0.344257312,0.370382286,Fungi,ANGE
SRR13801455,118,0.847793259,0.300647454,0.326772428,Fungi,ANGE
SRR13801454,111,0.890539162,0.343393357,0.369518331,Fungi,ANGE
SRR13801452,91,0.906951622,0.359805818,0.385930791,Fungi,ANGE
SRR13801450,111,0.906269256,0.359123452,0.385248425,Fungi,ANGE
SRR13801449,142,0.907611905,0.3604661,0.386591074,Fungi,ANGE
SRR13801544,119,0.881364366,0.334218562,0.360343535,Fungi,ANGE
SRR13800954,133,0.958921938,0.411776133,0.437901107,Fungi,ANGE
SRR13800953,145,0.937593179,0.390447374,0.416572348,Fungi,ANGE
SRR13800951,123,0.929196768,0.382050964,0.408175937,Fungi,ANGE
SRR13800955,192,0.917857928,0.370712123,0.396837097,Fungi,ANGE
SRR13800950,197,0.901527936,0.354382131,0.380507105,Fungi,ANGE
SRR13800949,153,0.901041555,0.35389575,0.380020724,Fungi,ANGE
SRR13800948,138,0.907827127,0.360681322,0.386806296,Fungi,ANGE
SRR13800947,128,0.938135741,0.390989937,0.41711491,Fungi,ANGE
SRR13800946,100,0.937264331,0.390118527,0.4162435,Fungi,ANGE
SRR13800945,142,0.926574148,0.379428343,0.405553317,Fungi,ANGE
SRR13800944,155,0.864305581,0.317159776,0.34328475,Fungi,ANGE
SRR13800943,168,0.953569274,0.40642347,0.432548443,Fungi,ANGE
SRR13801387,88,0.891551757,0.344405952,0.370530926,Fungi,ANGE
SRR13801386,74,0.946015074,0.398869269,0.424994243,Fungi,ANGE
SRR13801385,75,0.93967835,0.392532546,0.418657519,Fungi,ANGE
SRR13801388,89,0.917749013,0.370603209,0.396728182,Fungi,ANGE
SRR13801384,59,0.954126012,0.406980207,0.433105181,Fungi,ANGE
SRR13801382,114,0.918309216,0.371163411,0.397288385,Fungi,ANGE
SRR13801381,79,0.896530483,0.349384679,0.375509652,Fungi,ANGE
SRR13801380,100,0.912869933,0.365724129,0.391849102,Fungi,ANGE
SRR13801379,80,0.935140251,0.387994447,0.41411942,Fungi,ANGE
SRR13801378,86,0.909345004,0.362199199,0.388324173,Fungi,ANGE
SRR13801377,70,0.889100325,0.34195452,0.368079494,Fungi,ANGE
SRR13801376,102,0.89937166,0.352225855,0.378350829,Fungi,ANGE
SRR13801005,192,0.740917929,0.193772124,0.219897098,Fungi,ANGE
SRR13801004,186,0.757485845,0.210340041,0.236465015,Fungi,ANGE
SRR13801003,197,0.754001517,0.206855713,0.232980686,Fungi,ANGE
SRR13801006,208,0.738916547,0.191770743,0.217895717,Fungi,ANGE
SRR13801002,221,0.766236959,0.219091154,0.245216128,Fungi,ANGE
SRR13801001,230,0.733871771,0.186725967,0.21285094,Fungi,ANGE
SRR13801000,166,0.770193478,0.223047673,0.249172647,Fungi,ANGE
SRR13800999,183,0.831127975,0.283982171,0.310107144,Fungi,ANGE
SRR13800998,224,0.76206873,0.214922926,0.241047899,Fungi,ANGE
SRR13800995,216,0.753211992,0.206066188,0.232191161,Fungi,ANGE
SRR13800994,281,0.759081867,0.211936062,0.238061036,Fungi,ANGE
SRR13801254,197,0.872021397,0.324875592,0.351000566,Fungi,ANGE
SRR13801253,237,0.835758087,0.288612282,0.314737256,Fungi,ANGE
SRR13801252,230,0.847103423,0.299957618,0.326082592,Fungi,ANGE
SRR13801255,203,0.836980558,0.289834753,0.315959727,Fungi,ANGE
SRR13801249,208,0.828465413,0.281319608,0.307444582,Fungi,ANGE
SRR13801103,201,0.77112317,0.223977365,0.250102339,Fungi,ANGE
SRR13801102,178,0.847189334,0.300043529,0.326168503,Fungi,ANGE
SRR13801101,194,0.823606472,0.276460668,0.302585641,Fungi,ANGE
SRR13801100,216,0.803015625,0.25586982,0.281994794,Fungi,ANGE
SRR13801099,202,0.777539639,0.230393835,0.256518808,Fungi,ANGE
SRR13801082,213,0.779768064,0.23262226,0.258747233,Fungi,ANGE
SRR13801081,232,0.760349201,0.213203396,0.23932837,Fungi,ANGE
SRR13801084,213,0.7772666,0.230120795,0.256245769,Fungi,ANGE
SRR13801080,237,0.833990306,0.286844502,0.312969475,Fungi,ANGE
SRR13801520,198,0.885369728,0.338223923,0.364348897,Fungi,ANGE
SRR13801519,168,0.889728028,0.342582223,0.368707197,Fungi,ANGE
SRR13801518,205,0.897871566,0.350725761,0.376850735,Fungi,ANGE
SRR13801517,193,0.817319309,0.270173504,0.296298478,Fungi,ANGE
SRR13801516,195,0.818524577,0.271378772,0.297503746,Fungi,ANGE
SRR13801514,196,0.826700151,0.279554347,0.30567932,Fungi,ANGE
SRR13801036,128,0.900159241,0.353013437,0.37913841,Fungi,ANGE
SRR13801061,227,0.747548729,0.200402925,0.226527899,Fungi,ANGE
SRR13801058,175,0.729047678,0.181901873,0.208026847,Fungi,ANGE
SRR13801062,224,0.783396118,0.236250313,0.262375287,Fungi,ANGE
SRR13801056,221,0.774910227,0.227764422,0.253889396,Fungi,ANGE
SRR13801496,200,0.739484677,0.192338873,0.218463847,Fungi,ANGE
SRR13801495,225,0.741056551,0.193910746,0.22003572,Fungi,ANGE
SRR13801494,202,0.727957344,0.18081154,0.206936513,Fungi,ANGE
SRR13801493,213,0.755641437,0.208495632,0.234620606,Fungi,ANGE
SRR13801492,205,0.766938201,0.219792396,0.24591737,Fungi,ANGE
SRR13801491,238,0.740508123,0.193362318,0.219487292,Fungi,ANGE
SRR13800962,88,0.88471795,0.415732883,0.426702628,Fungi,BOER
SRR13800927,65,0.784910214,0.315925147,0.326894892,Fungi,BOER
SRR13800916,70,0.807762393,0.338777326,0.349747071,Fungi,BOER
SRR13800973,90,0.819354505,0.350369438,0.361339183,Fungi,BOER
SRR13801586,97,0.780970739,0.311985672,0.322955416,Fungi,BOER
SRR13801575,67,0.805620291,0.336635224,0.347604969,Fungi,BOER
SRR13801170,48,0.833895964,0.364910897,0.375880642,Fungi,BOER
SRR13801159,92,0.804127382,0.335142315,0.346112059,Fungi,BOER
SRR13801370,94,0.804822675,0.335837608,0.346807352,Fungi,BOER
SRR13801359,52,0.922124371,0.453139303,0.464109048,Fungi,BOER
SRR13801423,69,0.890584947,0.42159988,0.432569625,Fungi,BOER
SRR13801412,89,0.807996646,0.339011579,0.349981323,Fungi,BOER
SRR13801346,155,0.752199259,0.283214192,0.294183936,Fungi,BOER
SRR13801345,149,0.867325778,0.398340711,0.409310456,Fungi,BOER
SRR13801344,161,0.851142058,0.38215699,0.393126735,Fungi,BOER
SRR13801347,160,0.731744854,0.262759787,0.273729532,Fungi,BOER
SRR13801342,165,0.75348787,0.284502803,0.295472548,Fungi,BOER
SRR13801341,171,0.77421605,0.305230983,0.316200727,Fungi,BOER
SRR13801340,173,0.740335932,0.271350865,0.282320609,Fungi,BOER
SRR13801339,157,0.791555434,0.322570367,0.333540112,Fungi,BOER
SRR13801338,167,0.922588244,0.453603176,0.464572921,Fungi,BOER
SRR13801337,150,0.767075821,0.298090754,0.309060498,Fungi,BOER
SRR13801336,136,0.797064907,0.32807984,0.339049585,Fungi,BOER
SRR13801307,82,0.940482074,0.471497007,0.482466752,Fungi,BOER
SRR13801306,73,0.873815101,0.404830034,0.415799779,Fungi,BOER
SRR13801305,110,0.962338989,0.493353922,0.504323667,Fungi,BOER
SRR13801308,82,0.862851133,0.393866066,0.40483581,Fungi,BOER
SRR13801304,98,0.933496659,0.464511591,0.475481336,Fungi,BOER
SRR13801302,94,0.910089765,0.441104698,0.452074443,Fungi,BOER
SRR13801301,97,0.833881257,0.36489619,0.375865934,Fungi,BOER
SRR13801299,68,0.958563335,0.489578268,0.500548013,Fungi,BOER
SRR13801298,99,0.898883021,0.429897954,0.440867699,Fungi,BOER
SRR13801297,92,0.921244583,0.452259516,0.46322926,Fungi,BOER
SRR13801296,79,0.829394949,0.360409882,0.371379626,Fungi,BOER
SRR13801294,84,0.834369144,0.365384077,0.376353821,Fungi,BOER
SRR13801293,73,0.871219485,0.402234418,0.413204163,Fungi,BOER
SRR13801292,102,0.775453416,0.306468349,0.317438093,Fungi,BOER
SRR13801295,102,0.783009552,0.314024485,0.32499423,Fungi,BOER
SRR13801291,69,0.830100292,0.361115225,0.37208497,Fungi,BOER
SRR13801290,134,0.841759139,0.372774072,0.383743817,Fungi,BOER
SRR13801288,73,0.882286408,0.413301341,0.424271086,Fungi,BOER
SRR13801287,72,0.826487588,0.357502521,0.368472266,Fungi,BOER
SRR13801286,64,0.868396208,0.399411141,0.410380886,Fungi,BOER
SRR13801285,70,0.943136727,0.47415166,0.485121404,Fungi,BOER
SRR13801284,84,0.809827962,0.340842895,0.35181264,Fungi,BOER
SRR13801283,66,0.825485246,0.356500179,0.367469924,Fungi,BOER
SRR13801118,61,0.883465394,0.414480327,0.425450072,Fungi,BOER
SRR13801116,62,0.872315649,0.403330582,0.414300327,Fungi,BOER
SRR13801119,66,0.88170686,0.412721793,0.423691538,Fungi,BOER
SRR13801114,64,0.747501107,0.27851604,0.289485785,Fungi,BOER
