"","SampleID","X16S_ID","sample_name","Replicate","Site","Site_Grass","Site.Rep","Grass","Grass_Rep","Edge","SiteName","MAT_degC","MAP_mm","CollectionDate","Latitude","Longitude","Elevation_m","Grassland","Gradient","Bin","julianday","coll_GDD","GDD30yr","GDD3yr","GDD2015","ppt30yr","ppt3yr","ppt2015","soil_moisture","GWC","perc_moisture","pH","phos","ammonium","nitrate","SOM","herbivory_perc","avg_SLA","avg_SRL","coll_GDD_m.std","GDD30yr_m.std","GDD3yr_m.std","GDD2015_m.std","ppt30yr_m.std","ppt3yr_m.std","ppt2015_m.std","soil_moisture_m.std","GWC_m.std","perc_moisture_m.std","pH_m.std","phos_m.std","ammonium_m.std","nitrate_m.std","SOM_m.std","herbivory_perc_m.std","avg_SLA_m.std","avg_SRL_m.std","clus_sor_k10","clus_sor_k30","clus_bc_k4"
"SRR13801399","SRR13801399","X1351_1949","BLM_BOGR_10",10,"BLM","BLM_BOGR","BLM.10","BOGR","BOGR_10","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642,-2.24321256068842,-2.27177990830844,-1.95672867063457,-2.0540738692056,-1.51618952040568,-1.5649390007058,-1.25130465840128,0.494416410179788,-0.512904802498304,-0.494416407254628,0.619042971127809,0.211485395828482,0.377668882423098,0.377668876930728,-0.421192150116665,0.588620939588265,0.976464732999281,-1.05096381898386,"1","1","1"
"SRR13801186","SRR13801186","X1351_1950","BLM_BOGR_11",11,"BLM","BLM_BOGR","BLM.11","BOGR","BOGR_11","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642,-2.24321256068842,-2.27177990830844,-1.95672867063457,-2.0540738692056,-1.51618952040568,-1.5649390007058,-1.25130465840128,0.494416410179788,-0.512904802498304,-0.494416407254628,0.619042971127809,0.211485395828482,0.377668882423098,0.377668876930728,-0.421192150116665,0.588620939588265,0.976464732999281,-1.05096381898386,"1","1","1"
"SRR13801171","SRR13801171","X1351_1951","BLM_BOGR_12",12,"BLM","BLM_BOGR","BLM.12","BOGR","BOGR_12","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642,-2.24321256068842,-2.27177990830844,-1.95672867063457,-2.0540738692056,-1.51618952040568,-1.5649390007058,-1.25130465840128,0.494416410179788,-0.512904802498304,-0.494416407254628,0.619042971127809,0.211485395828482,0.377668882423098,0.377668876930728,-0.421192150116665,0.588620939588265,0.976464732999281,-1.05096381898386,"1","1","2"
"SRR13801400","SRR13801400","X1351_1940","BLM_BOGR_1",1,"BLM","BLM_BOGR","BLM.1","BOGR","BOGR_1","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642,-2.24321256068842,-2.27177990830844,-1.95672867063457,-2.0540738692056,-1.51618952040568,-1.5649390007058,-1.25130465840128,0.494416410179788,-0.512904802498304,-0.494416407254628,0.619042971127809,0.211485395828482,0.377668882423098,0.377668876930728,-0.421192150116665,0.588620939588265,0.976464732999281,-1.05096381898386,"1","1","1"
"SRR13801525","SRR13801525","X1351_1941","BLM_BOGR_2",2,"BLM","BLM_BOGR","BLM.2","BOGR","BOGR_2","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642,-2.24321256068842,-2.27177990830844,-1.95672867063457,-2.0540738692056,-1.51618952040568,-1.5649390007058,-1.25130465840128,0.494416410179788,-0.512904802498304,-0.494416407254628,0.619042971127809,0.211485395828482,0.377668882423098,0.377668876930728,-0.421192150116665,0.588620939588265,0.976464732999281,-1.05096381898386,"1","1","3"
"SRR13800997","SRR13800997","X1351_1942","BLM_BOGR_3",3,"BLM","BLM_BOGR","BLM.3","BOGR","BOGR_3","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642,-2.24321256068842,-2.27177990830844,-1.95672867063457,-2.0540738692056,-1.51618952040568,-1.5649390007058,-1.25130465840128,0.494416410179788,-0.512904802498304,-0.494416407254628,0.619042971127809,0.211485395828482,0.377668882423098,0.377668876930728,-0.421192150116665,0.588620939588265,0.976464732999281,-1.05096381898386,"1","1","1"
"SRR13801246","SRR13801246","X1351_1943","BLM_BOGR_4",4,"BLM","BLM_BOGR","BLM.4","BOGR","BOGR_4","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642,-2.24321256068842,-2.27177990830844,-1.95672867063457,-2.0540738692056,-1.51618952040568,-1.5649390007058,-1.25130465840128,0.494416410179788,-0.512904802498304,-0.494416407254628,0.619042971127809,0.211485395828482,0.377668882423098,0.377668876930728,-0.421192150116665,0.588620939588265,0.976464732999281,-1.05096381898386,"1","1","1"
"SRR13801475","SRR13801475","X1351_1944","BLM_BOGR_5",5,"BLM","BLM_BOGR","BLM.5","BOGR","BOGR_5","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642,-2.24321256068842,-2.27177990830844,-1.95672867063457,-2.0540738692056,-1.51618952040568,-1.5649390007058,-1.25130465840128,0.494416410179788,-0.512904802498304,-0.494416407254628,0.619042971127809,0.211485395828482,0.377668882423098,0.377668876930728,-0.421192150116665,0.588620939588265,0.976464732999281,-1.05096381898386,"1","1","4"
"SRR13801023","SRR13801023","X1351_1945","BLM_BOGR_6",6,"BLM","BLM_BOGR","BLM.6","BOGR","BOGR_6","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642,-2.24321256068842,-2.27177990830844,-1.95672867063457,-2.0540738692056,-1.51618952040568,-1.5649390007058,-1.25130465840128,0.494416410179788,-0.512904802498304,-0.494416407254628,0.619042971127809,0.211485395828482,0.377668882423098,0.377668876930728,-0.421192150116665,0.588620939588265,0.976464732999281,-1.05096381898386,"1","2","4"
"SRR13801012","SRR13801012","X1351_1946","BLM_BOGR_7",7,"BLM","BLM_BOGR","BLM.7","BOGR","BOGR_7","no","BLM",NA,NA,"9/4/15",37.627547,-106.253289,2388,"shortgrass","West","North Central",247,1880.972222,2541.75,2687.845,2792.73,197.2099972,188.4099974,226.8899946,0.913356658,0.094862551,8.664334225,7.71,0.20151675,1.048677585,0.415450497,3.265091526,5.583333333,163.1684316,1263.592642,-2.24321256068842,-2.27177990830844,-1.95672867063457,-2.0540738692056,-1.51618952040568,-1.5649390007058,-1.25130465840128,0.494416410179788,-0.512904802498304,-0.494416407254628,0.619042971127809,0.211485395828482,0.377668882423098,0.377668876930728,-0.421192150116665,0.588620939588265,0.976464732999281,-1.05096381898386,"1","1","1"
