OTU_ID	SRR13801490	SRR13801485	SRR13801484	SRR13801483	SRR13801481	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
OTU8681	0	0	0	0	0	Fungi;Basidiomycota;Pucciniomycetes;Pucciniales;Melampsoraceae;Melampsora;uncl_Melampsora	Melampsora	13	Pathotroph	|Plant Pathogen|	Rust	NULL	Probable	" A prominent group of species produces aecia on conifer needles and telia or leaves of Salicaceae (Cannon & Kirk 2007); Biotrophic, heteroecious or autoecious "	"b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
OTU5	974	690	880	621	764	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae;Periconia;uncl_Periconia	Periconia	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-|Plant Pathogen|-Wood Saprotroph	Microfungus	Soft Rot	Possible	" Asteraceae, Musaceae (Costa et al. 2012); As foliar_endophyte (Põlme et al. 2020); Dark Septate Endophyte, known from plant roots (Mandyam et al. 2010); Endophyte Host ; Decay leaf, fruit, seed (Põlme et al. 2020)"	"b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); Mandyam K, et al. 2012. Mycorrhiza 22:109-119 ((https://doi.org/10.1007/s00572-011-0386-y)); Knapp DG, et al. 2012. PLOS ONE 7:e32570 (( https://doi.org/10.1371/journal.pone.0032570)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'"
OTU1568	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae;Periconia;Periconia_epilithographicola	Periconia	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-|Plant Pathogen|-Wood Saprotroph	Microfungus	Soft Rot	Possible	" Asteraceae, Musaceae (Costa et al. 2012); As foliar_endophyte (Põlme et al. 2020); Dark Septate Endophyte, known from plant roots (Mandyam et al. 2010); Endophyte Host ; Decay leaf, fruit, seed (Põlme et al. 2020)"	"b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); Mandyam K, et al. 2012. Mycorrhiza 22:109-119 ((https://doi.org/10.1007/s00572-011-0386-y)); Knapp DG, et al. 2012. PLOS ONE 7:e32570 (( https://doi.org/10.1371/journal.pone.0032570)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'"
OTU2982	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae;Periconia;Periconia_echinochloae	Periconia	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-|Plant Pathogen|-Wood Saprotroph	Microfungus	Soft Rot	Possible	" Asteraceae, Musaceae (Costa et al. 2012); As foliar_endophyte (Põlme et al. 2020); Dark Septate Endophyte, known from plant roots (Mandyam et al. 2010); Endophyte Host ; Decay leaf, fruit, seed (Põlme et al. 2020)"	"b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); Mandyam K, et al. 2012. Mycorrhiza 22:109-119 ((https://doi.org/10.1007/s00572-011-0386-y)); Knapp DG, et al. 2012. PLOS ONE 7:e32570 (( https://doi.org/10.1371/journal.pone.0032570)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'"
OTU3987	0	0	0	0	0	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae;Periconia;uncl_Periconia	Periconia	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-|Plant Pathogen|-Wood Saprotroph	Microfungus	Soft Rot	Possible	" Asteraceae, Musaceae (Costa et al. 2012); As foliar_endophyte (Põlme et al. 2020); Dark Septate Endophyte, known from plant roots (Mandyam et al. 2010); Endophyte Host ; Decay leaf, fruit, seed (Põlme et al. 2020)"	"b'Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2)); Mandyam K, et al. 2012. Mycorrhiza 22:109-119 ((https://doi.org/10.1007/s00572-011-0386-y)); Knapp DG, et al. 2012. PLOS ONE 7:e32570 (( https://doi.org/10.1371/journal.pone.0032570)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'"
OTU250	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Nidulariaceae;Cyathus;Cyathus_stercoreus	Cyathus	13	Saprotroph	|Plant Saprotroph|-Undefined Saprotroph	Gasteroid	NULL	Probable	" birds nest fungus; As litter_saprotroph (Põlme et al. 2020); Common name ; Decay leaf, fruit, seed (Põlme et al. 2020)"	"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
OTU4843	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Nidulariaceae;Cyathus;uncl_Cyathus	Cyathus	13	Saprotroph	|Plant Saprotroph|-Undefined Saprotroph	Gasteroid	NULL	Probable	" birds nest fungus; As litter_saprotroph (Põlme et al. 2020); Common name ; Decay leaf, fruit, seed (Põlme et al. 2020)"	"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
OTU316	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Nidulariaceae;Cyathus;Cyathus_stercoreus	Cyathus	13	Saprotroph	|Plant Saprotroph|-Undefined Saprotroph	Gasteroid	NULL	Probable	" birds nest fungus; As litter_saprotroph (Põlme et al. 2020); Common name ; Decay leaf, fruit, seed (Põlme et al. 2020)"	"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
OTU9096	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Nidulariaceae;Crucibulum;Crucibulum_laeve	Crucibulum	13	Saprotroph	|Plant Saprotroph|-Undefined Saprotroph	Gasteroid	NULL	Probable	" birds nest fungus; As litter_saprotroph (Põlme et al. 2020); Common name ; Decay leaf, fruit, seed (Põlme et al. 2020)"	"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
OTU1184	0	0	0	0	0	Fungi;Basidiomycota;Agaricomycetes;Geastrales;Geastraceae;Nidulariopsis;Nidulariopsis_iowensis	Nidulariopsis	13	Saprotroph	Dung Saprotroph-|Plant Saprotroph|	Gasteroid	NULL	Probable	" birds nest fungus; Saprobic on dead plant material or dung, especially common on dead grass stems (Cannon & Kirk 2007); As litter_saprotroph (Põlme et al. 2020); Common name ; Decay leaf, fruit, seed (Põlme et al. 2020)"	"b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'"
