"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","UHC","SFA"
"1","OTU173","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","uncl_Hypocreaceae","uncl_Hypocreaceae",0.373088685015291,NA,NA,0.533898305084746,0.08,0.216981132075472,0.269230769230769,0.333333333333333,0.491891891891892,1,0,0.05,1,0,0.0357142857142857,0,0,0.428571428571429,1,0,0.0989010989010989,0.733333333333333,0.6875,0.179775280898876,0.0689655172413793,1,1,1,1,0.2,0,1,0.333333333333333
"2","OTU443","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota",0.00152905198776758,NA,NA,0,0,0,0.00769230769230769,0,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","OTU236","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales",0.356269113149847,NA,NA,0.440677966101695,0.12,0.226415094339623,0.307692307692308,0.333333333333333,0.454054054054054,1,0.0588235294117647,0.25,1,0,0,0,0,1,1,0,0.153846153846154,0.733333333333333,0.0625,0.101123595505618,0,1,1,1,1,0,0,1,1
"4","OTU1","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota",0.900611620795107,0.972972972972973,1,0.847457627118644,0.84,0.990566037735849,0.992307692307692,0.966666666666667,0.794594594594595,1,1,0.85,1,1,0.892857142857143,0.964285714285714,1,1,1,1,0.967032967032967,1,0.59375,0.595505617977528,1,1,1,1,1,0.6,0.981132075471698,1,1
"5","OTU713","Fungi","Basidiomycota","Pucciniomycetes","Septobasidiales","Septobasidiaceae","Septobasidium","uncl_Septobasidium",0.0198776758409786,NA,NA,0,0.12,0,0.0538461538461538,0,0.0162162162162162,0.304347826086957,0,0.05,0,0,0,0,0,0,0,0,0.032967032967033,0,0,0.0112359550561798,0,0,0,0,0,0,0,0,0
"6","OTU156","Fungi","Basidiomycota","Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes",0.0198776758409786,NA,NA,0.00847457627118644,0,0,0.0615384615384615,0.0222222222222222,0.0108108108108108,0.304347826086957,0,0,0,0,0,0,0,0,0,0,0.0659340659340659,0,0,0,0,0,0,0,0,0,0,0,0
"7","OTU827","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota",0.0428134556574924,0.108108108108108,0.0625,0,0.08,0.0754716981132075,0.0846153846153846,0.0333333333333333,0.0216216216216216,0.391304347826087,0.0588235294117647,0.025,0.0357142857142857,0,0.0357142857142857,0.107142857142857,0.0588235294117647,0,0,0.125,0.043956043956044,0.0666666666666667,0,0,0,0,0,0,0,0,0.0943396226415094,0,0
"8","OTU107","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota",0.319571865443425,NA,NA,0.440677966101695,0.08,0.216981132075472,0.269230769230769,0.266666666666667,0.394594594594595,1,0,0.1,1,0,0.0357142857142857,0,0,0,1,0,0.0769230769230769,0.733333333333333,0.0625,0.0674157303370786,0,1,1,1,1,0.2,0,1,0.333333333333333
"9","OTU561","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","uncl_Diaporthaceae","uncl_Diaporthaceae",0.337920489296636,NA,NA,0.423728813559322,0.08,0.216981132075472,0.307692307692308,0.277777777777778,0.437837837837838,1,0,0.025,1,0,0.214285714285714,0,0,0.142857142857143,1,0,0.0659340659340659,0.8,0,0.202247191011236,0,1,1,1,1,0.2,0,1,0
"10","OTU1561","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lindgomycetaceae","uncl_Lindgomycetaceae","uncl_Lindgomycetaceae",0.0336391437308868,NA,NA,0,0.12,0.00943396226415094,0.0692307692307692,0.0111111111111111,0.0432432432432432,0.434782608695652,0,0,0.0357142857142857,0.125,0,0,0,0,0,0,0.0549450549450549,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0
"11","OTU1273","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota",0.0351681957186544,NA,NA,0,0.08,0.0188679245283019,0.0692307692307692,0.0222222222222222,0.0432432432432432,0.391304347826087,0,0,0,0.125,0.0714285714285714,0,0,0,0,0,0.0659340659340659,0.133333333333333,0,0.0112359550561798,0.0344827586206897,0,0,0,0,0,0,0,0
"12","OTU3638","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","uncl_Cladophialophora",0.0412844036697248,NA,NA,0,0,0.00943396226415094,0.0923076923076923,0.0444444444444444,0.0540540540540541,0.521739130434783,0,0,0.0357142857142857,0,0.0357142857142857,0,0,0,0,0.625,0,0.466666666666667,0,0,0,0,0,0.0454545454545455,0,0,0,0,0
"13","OTU1894","Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes",0.0168195718654434,NA,NA,0,0,0,0.0615384615384615,0.0111111111111111,0.0108108108108108,0.347826086956522,0,0,0,0,0,0,0,0,0,0,0.021978021978022,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0
"14","OTU67","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium",0.691131498470948,NA,NA,0.915254237288136,0.68,0.283018867924528,0.646153846153846,0.788888888888889,0.767567567567568,1,0.470588235294118,0.9,1,0,0.142857142857143,0.785714285714286,0.235294117647059,1,1,0.125,0.813186813186813,0.733333333333333,0.90625,0.539325842696629,0.862068965517241,1,1,1,1,0.8,0,1,1
"15","OTU6679","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium",0.663608562691132,0.243243243243243,0.1875,0.830508474576271,0.64,0.415094339622642,0.646153846153846,0.566666666666667,0.762162162162162,1,0.176470588235294,0.725,1,0.9375,0.0714285714285714,0.142857142857143,0,1,1,0.125,0.648351648351648,1,0.15625,0.98876404494382,0.344827586206897,1,1,1,1,1,0.226415094339623,1,1
"16","OTU2407","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales",0.0321100917431193,NA,NA,0,0,0.0188679245283019,0.0692307692307692,0.0777777777777778,0.0162162162162162,0.391304347826087,0,0,0,0.1875,0,0,0,0,0,0,0.010989010989011,0.533333333333333,0,0,0,0,0,0,0,0,0,0,0
