"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","UHC","SFA"
"29","OTU24","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.399082568807339,0.216216216216216,0.3125,0.398305084745763,0.04,0.433962264150943,0.430769230769231,0.455555555555556,0.378378378378378,1,0.235294117647059,0.25,1,0,0.357142857142857,0.0714285714285714,0.588235294117647,0,1,0,0.153846153846154,0.733333333333333,0.125,0.0786516853932584,0,1,1,1,1,0,0.245283018867925,1,0
"75","OTU830","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania","uncl_Nemania",0.281345565749235,NA,NA,0.355932203389831,0,0.216981132075472,0.238461538461538,0.266666666666667,0.345945945945946,0.826086956521739,0,0,1,0,0,0,0,0,1,0,0.010989010989011,0.733333333333333,0,0.0112359550561798,0,1,1,1,0.833333333333333,0,0,1,0
"76","OTU7602","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae","uncl_Diatrypaceae",0.311926605504587,0.027027027027027,0,0.355932203389831,0,0.264150943396226,0.284615384615385,0.344444444444444,0.356756756756757,0.869565217391304,0,0.05,1,0,0,0.178571428571429,0.470588235294118,0,1,0,0.021978021978022,0.733333333333333,0.0625,0.0224719101123595,0,1,0.95,1,0.833333333333333,0,0.0188679245283019,1,0
"133","OTU301","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","uncl_Xylaria",0.307339449541284,NA,NA,0.406779661016949,0.04,0.207547169811321,0.238461538461538,0.266666666666667,0.405405405405405,0.869565217391304,0,0.175,0.928571428571429,0.0625,0.0714285714285714,0.178571428571429,0,0,0.954545454545455,0,0.010989010989011,0.666666666666667,0.25,0.0674157303370786,0.0344827586206897,0.970588235294118,0.9,0.727272727272727,0.833333333333333,0,0,1,0
"154","OTU5708","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae","uncl_Diatrypaceae",0.0489296636085627,0,0.125,0.0254237288135593,0.04,0.00943396226415094,0.0692307692307692,0.0888888888888889,0.0540540540540541,0.0434782608695652,0,0.275,0,0,0.0357142857142857,0.0714285714285714,0.0588235294117647,1,0.0454545454545455,0,0.010989010989011,0,0,0.0112359550561798,0,0,0.05,0,0,0,0.0377358490566038,0,1
"232","OTU163","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.0474006116207951,NA,NA,0.0254237288135593,0.04,0,0.0615384615384615,0.1,0.0540540540540541,0.260869565217391,0,0.025,0,0.125,0.0357142857142857,0,0,0.142857142857143,0,0,0.021978021978022,0,0.15625,0.0898876404494382,0,0.0294117647058824,0,0.136363636363636,0,0,0,0.0476190476190476,0
"263","OTU2208","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0275229357798165,NA,NA,0.0169491525423729,0.04,0,0.0153846153846154,0,0.0702702702702703,0.130434782608696,0,0,0,0,0,0,0,1,0,0,0.010989010989011,0,0,0,0,0,0,0.0909090909090909,0,0,0,0.0952380952380952,1
"305","OTU4689","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae","uncl_Diatrypaceae",0.134556574923547,0.027027027027027,0,0.152542372881356,0,0.122641509433962,0.138461538461538,0.211111111111111,0.108108108108108,0.217391304347826,0,0.125,0.285714285714286,0,0,0.107142857142857,0.352941176470588,0.142857142857143,0.636363636363636,0,0.021978021978022,0.2,0,0,0,0.470588235294118,0.3,0.272727272727273,0.166666666666667,0,0.0188679245283019,0.523809523809524,0
"320","OTU4402","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00458715596330275,NA,NA,0,0,0,0.0153846153846154,0,0.00540540540540541,0.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333
"458","OTU28","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae","uncl_Diatrypaceae",0.0611620795107034,0.135135135135135,0,0.00847457627118644,0,0.160377358490566,0.0769230769230769,0.0111111111111111,0.0594594594594595,0.0869565217391304,0,0.05,0.285714285714286,0,0.107142857142857,0,0.294117647058824,0,0.227272727272727,0,0,0,0,0,0,0.0588235294117647,0.15,0.0454545454545455,0.166666666666667,0,0.0943396226415094,0.142857142857143,0
"503","OTU856","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania","uncl_Nemania",0.0122324159021407,NA,NA,0,0,0.0188679245283019,0.0153846153846154,0.0111111111111111,0.0162162162162162,0.0434782608695652,0,0,0.0714285714285714,0,0,0,0,0,0.0454545454545455,0,0,0.0666666666666667,0,0,0,0,0.05,0,0.166666666666667,0,0,0.0476190476190476,0
