"","Genus","Family","Order","Class","Phylum","Domain","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","UHC","SFA","BLM_BOGR","BLM_SCSC","BNP_BOER","BNP_BOGR","CAD_ANGE","CAD_BOGR","CAD_BUDA","CAD_SCSC","CNF_BOER","CNF_BOGR","CNF_SCSC","CPR_BOER","CPR_BOGR_E","DMT_BOER","DMT_BOGR","DMT_SCSC","FCP_BOGR","FCP_BUDA","FCP_SCSC","FMT_BOER","FMT_BOGR","FSA_SCSC","GMT_BOER","GMT_BOGR","GNF_BOGR","GNF_SCSC","HAR_ANGE","HAR_BOCU_E","HAR_BOGR","HAR_BOGR_E","HAR_BUDA","HAR_BUDA_E","HAR_SCSC","HAR_SCSC_E","HPG_BOGR","HPG_BUDA","KAE_ANGE","KAE_BUDA","KAE_SCSC","KNZ_ANGE","KNZ_ANGE_E","KNZ_BOCU_E","KNZ_BOGR","KNZ_BUDA","KNZ_SCSC","KNZ_SCSC_E","LAR_ANGE","LAR_BOGR","LAR_SCSC","LBJ_ANGE","LBJ_BUDA","LBJ_SCSC","NWP_ANGE","NWP_SCSC","ONF_ANGE","ONF_SCSC","RNF_BOGR","SCP_ANGE","SCP_BOGR","SCP_SCSC","SEV_BOER","SEV_BOER_E_A","SEV_BOER_E_B","SEV_BOGR","SEV_BOGR_E_A","UHC_ANGE","UHC_SCSC","SFA_SCSC"
"1","uncl_Hypocreaceae","Hypocreaceae","Hypocreales","Sordariomycetes","Ascomycota","Fungi",0.503058103975535,NA,NA,0.694915254237288,0.56,0.245283018867925,0.361538461538462,0.422222222222222,0.659459459459459,1,0.0588235294117647,0.175,1,0,0.107142857142857,0.357142857142857,0.117647058823529,1,1,0.125,0.395604395604396,0.733333333333333,0.78125,0.404494382022472,0.379310344827586,1,1,1,1,0.2,0,1,0.666666666666667,1,1,0.0833333333333333,0,0.181818181818182,0,0.166666666666667,0.3,1,1,1,0,0,0,0,0.3,0.4,0.166666666666667,0.545454545454545,0.181818181818182,0,1,1,1,1,0,0.4,0.6,0.333333333333333,0.35,0,0.3,0.636363636363636,0.25,0,1,0.818181818181818,0.666666666666667,0.888888888888889,0.583333333333333,0.7,0.4,0.111111111111111,0,0.166666666666667,0.5,0.416666666666667,0.2,0.416666666666667,1,1,1,1,1,1,1,1,0,0,0.5,0,0,0,0,0,1,1,0.666666666666667
"2","uncl_Agaricales","uncl_Agaricales","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0.750764525993884,0.621621621621622,0.125,0.864406779661017,0.6,0.707547169811321,0.584615384615385,0.755555555555556,0.837837837837838,1,0.882352941176471,0.75,1,0.5,0.428571428571429,0.571428571428571,0.470588235294118,1,1,0.5,0.604395604395604,0.933333333333333,0.78125,0.921348314606742,0.206896551724138,1,1,1,1,1,0.471698113207547,1,1,1,1,0.916666666666667,0.8,0.909090909090909,0.571428571428571,0.5,1,1,1,1,0.545454545454545,0.4,0.416666666666667,0.5,0.4,0.4,0.5,0.727272727272727,0.636363636363636,0.166666666666667,1,1,1,1,0.428571428571429,0.8,0.55,0.166666666666667,0.55,0.6,0.7,0.727272727272727,0.75,0.75,1,0.909090909090909,0.833333333333333,0.555555555555556,0.916666666666667,0.95,0.8,0.777777777777778,0.909090909090909,1,0.95,0.166666666666667,0,0.333333333333333,1,1,1,1,1,1,1,1,1,1,1,0.555555555555556,0.25,0.8,0,0.153846153846154,1,1,1
"3","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","Ascomycota","Fungi",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4","Septobasidium","Septobasidiaceae","Septobasidiales","Pucciniomycetes","Basidiomycota","Fungi",0.0198776758409786,NA,NA,0,0.12,0,0.0538461538461538,0,0.0162162162162162,0.304347826086957,0,0.05,0,0,0,0,0,0,0,0,0.032967032967033,0,0,0.0112359550561798,0,0,0,0,0,0,0,0,0,0.583333333333333,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","Agaricomycetes","Basidiomycota","Fungi",0.692660550458716,0.513513513513513,0.5,0.796610169491525,0.56,0.594339622641509,0.646153846153846,0.666666666666667,0.745945945945946,0.91304347826087,0.352941176470588,0.425,0.857142857142857,0.6875,0.285714285714286,0.714285714285714,0.647058823529412,0.714285714285714,1,0.25,0.637362637362637,0.733333333333333,0.65625,0.831460674157303,0.310344827586207,0.941176470588235,1,0.863636363636364,1,1,0.509433962264151,1,1,1,0.818181818181818,0.25,0.6,0.363636363636364,0.428571428571429,0.166666666666667,0.8,0.818181818181818,0.6,1,0.727272727272727,0.6,0.333333333333333,0.333333333333333,0.2,0.8,0.75,0.636363636363636,0.727272727272727,0.5,0.714285714285714,1,1,1,0.142857142857143,0.8,0.5,0.666666666666667,0.65,0.5,0.9,0.636363636363636,0.5,0.25,0.909090909090909,0.727272727272727,0.5,0.777777777777778,0.75,0.9,0.8,0.555555555555556,0.818181818181818,1,0.85,0.416666666666667,0.2,0.25,1,0.833333333333333,1,1,1,1,0.75,1,1,1,1,0.666666666666667,0.375,0.5,0.333333333333333,0.538461538461538,1,1,1
"6","uncl_Diaporthaceae","Diaporthaceae","Diaporthales","Sordariomycetes","Ascomycota","Fungi",0.347094801223242,NA,NA,0.432203389830508,0.08,0.226415094339623,0.307692307692308,0.277777777777778,0.459459459459459,1,0,0.1,1,0.0625,0.214285714285714,0.0714285714285714,0,0.142857142857143,1,0,0.0659340659340659,0.8,0,0.202247191011236,0,1,1,1,1,0.2,0,1,0,1,1,0,0,0.0909090909090909,0,0,0.3,1,1,1,0.0909090909090909,0,0,0,0.6,0,0,0.181818181818182,0,0,0.142857142857143,1,1,0,0,0.1,0.1,0,0.1,0,0,0,0.25,0.25,1,0,0,0,0.416666666666667,0.15,0,0.333333333333333,0.181818181818182,0.333333333333333,0.05,0,0,0,1,1,1,1,1,1,1,1,0,0.5,0,0,0,0,0,0,1,1,0
"7","uncl_Lindgomycetaceae","Lindgomycetaceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0.0336391437308868,NA,NA,0,0.12,0.00943396226415094,0.0692307692307692,0.0111111111111111,0.0432432432432432,0.434782608695652,0,0,0.0357142857142857,0.125,0,0,0,0,0,0,0.0549450549450549,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0.545454545454545,0,0,0,0,0,0,0,0,0.0833333333333333,0.0909090909090909,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.1,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0
"8","Periconia","Periconiaceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0.796636085626911,0.135135135135135,0.375,0.983050847457627,1,0.433962264150943,0.669230769230769,0.844444444444444,0.924324324324324,1,0.588235294117647,0.875,1,0.25,0.25,0.642857142857143,0.235294117647059,1,1,0.875,0.967032967032967,0.8,0.9375,0.943820224719101,0.758620689655172,1,1,1,1,0.6,0.207547169811321,1,1,1,1,0.416666666666667,1,1,0.857142857142857,0.666666666666667,1,1,1,1,0.363636363636364,0,0.5,0,0.1,0.2,0.666666666666667,0.818181818181818,0.272727272727273,0.166666666666667,1,1,1,0,1,1,1,1,1,0.7,1,1,1,0.25,1,1,0.833333333333333,1,1,1,1,0.555555555555556,0.909090909090909,1,1,0.833333333333333,0.2,0.916666666666667,1,1,1,1,1,1,1,1,1,1,0,0,0.25,0.15,0.666666666666667,0.307692307692308,1,1,1
"9","Fusarium","Nectriaceae","Hypocreales","Sordariomycetes","Ascomycota","Fungi",0.940366972477064,0.702702702702703,0.5,1,1,0.820754716981132,0.915384615384615,0.955555555555556,0.972972972972973,1,0.764705882352941,0.95,1,1,0.785714285714286,1,0.823529411764706,1,1,0.75,0.967032967032967,1,1,1,1,1,1,1,1,1,0.641509433962264,1,1,1,1,0.666666666666667,1,1,0.857142857142857,0.916666666666667,1,1,1,1,1,1,0.916666666666667,0.666666666666667,0.7,1,1,1,0.727272727272727,1,1,1,1,1,0.714285714285714,1,1,1,1,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.75,1,0.384615384615385,1,1,1
"10","Lophiostoma","Lophiostomataceae","Pleosporales","Dothideomycetes","Ascomycota","Fungi",0.308868501529052,NA,NA,0.364406779661017,0.04,0.216981132075472,0.284615384615385,0.333333333333333,0.367567567567568,0.956521739130435,0,0.1,1,0,0,0.0714285714285714,0,0,1,0,0.0989010989010989,0.733333333333333,0,0.0112359550561798,0.0344827586206897,1,1,1,0.833333333333333,0,0,1,0,0.916666666666667,1,0,0,0.0909090909090909,0.142857142857143,0.166666666666667,0,1,1,1,0,0,0,0,0,0.4,0,0,0,0,0,1,1,0,0,0,0.05,0,0.1,0,0.5,0,0.25,0,1,0,0,0,0,0.05,0,0,0,0,0,0,0.2,0,1,1,1,1,1,1,1,0.833333333333333,0,0,0,0,0,0,0,0,1,1,0
"11","Coprinellus","Psathyrellaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0.00917431192660551,NA,NA,0.00847457627118644,0,0,0.0153846153846154,0,0.0162162162162162,0.0434782608695652,0,0,0,0,0,0.0714285714285714,0,0.142857142857143,0,0,0,0,0,0.0112359550561798,0,0,0,0,0,0,0,0.0476190476190476,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"12","uncl_Lycoperdaceae","Lycoperdaceae","Agaricales","Agaricomycetes","Basidiomycota","Fungi",0.0336391437308868,NA,NA,0.0508474576271186,0,0,0.0230769230769231,0.0555555555555556,0.0432432432432432,0.0869565217391304,0.0588235294117647,0,0,0,0,0.178571428571429,0,0.142857142857143,0,0,0.021978021978022,0,0.03125,0.0449438202247191,0.0689655172413793,0.0882352941176471,0.05,0,0,0,0,0,0,0.0833333333333333,0.0909090909090909,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.363636363636364,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.0909090909090909,0,0,0.0833333333333333,0.05,0,0.111111111111111,0.0909090909090909,0,0,0,0,0.166666666666667,0.181818181818182,0.0833333333333333,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","uncl_Xylariales","uncl_Xylariales","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.576452599388379,0.72972972972973,0.5625,0.550847457627119,0.12,0.745283018867924,0.561538461538462,0.577777777777778,0.567567567567568,1,0.529411764705882,0.525,1,0,0.678571428571429,0.392857142857143,0.823529411764706,1,1,0,0.252747252747253,0.866666666666667,0.625,0.269662921348315,0.0344827586206897,1,1,1,1,0,0.679245283018868,1,1,1,1,0.666666666666667,0.2,0.363636363636364,0.571428571428571,0.833333333333333,0.3,1,1,1,0,0,1,0.833333333333333,0.2,0.2,0.5,0.363636363636364,0.818181818181818,0.833333333333333,1,1,1,0,0,0.3,0.1,0.166666666666667,0.4,0,0.6,0.181818181818182,0.25,0.5,1,0.636363636363636,0.5,0.777777777777778,0.166666666666667,0.4,0.2,0.444444444444444,0.0909090909090909,0.333333333333333,0.2,0,0,0.0833333333333333,1,1,1,1,1,1,1,1,0,0,0,0.444444444444444,0.875,0.8,0.333333333333333,0.615384615384615,1,1,1
