"","Genus","Family","Order","Class","Phylum","Domain","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","UHC","SFA","BLM_BOGR","BLM_SCSC","BNP_BOER","BNP_BOGR","CAD_ANGE","CAD_BOGR","CAD_BUDA","CAD_SCSC","CNF_BOER","CNF_BOGR","CNF_SCSC","CPR_BOER","CPR_BOGR_E","DMT_BOER","DMT_BOGR","DMT_SCSC","FCP_BOGR","FCP_BUDA","FCP_SCSC","FMT_BOER","FMT_BOGR","FSA_SCSC","GMT_BOER","GMT_BOGR","GNF_BOGR","GNF_SCSC","HAR_ANGE","HAR_BOCU_E","HAR_BOGR","HAR_BOGR_E","HAR_BUDA","HAR_BUDA_E","HAR_SCSC","HAR_SCSC_E","HPG_BOGR","HPG_BUDA","KAE_ANGE","KAE_BUDA","KAE_SCSC","KNZ_ANGE","KNZ_ANGE_E","KNZ_BOCU_E","KNZ_BOGR","KNZ_BUDA","KNZ_SCSC","KNZ_SCSC_E","LAR_ANGE","LAR_BOGR","LAR_SCSC","LBJ_ANGE","LBJ_BUDA","LBJ_SCSC","NWP_ANGE","NWP_SCSC","ONF_ANGE","ONF_SCSC","RNF_BOGR","SCP_ANGE","SCP_BOGR","SCP_SCSC","SEV_BOER","SEV_BOER_E_A","SEV_BOER_E_B","SEV_BOGR","SEV_BOGR_E_A","UHC_ANGE","UHC_SCSC","SFA_SCSC"
"13","uncl_Xylariales","uncl_Xylariales","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.576452599388379,0.72972972972973,0.5625,0.550847457627119,0.12,0.745283018867924,0.561538461538462,0.577777777777778,0.567567567567568,1,0.529411764705882,0.525,1,0,0.678571428571429,0.392857142857143,0.823529411764706,1,1,0,0.252747252747253,0.866666666666667,0.625,0.269662921348315,0.0344827586206897,1,1,1,1,0,0.679245283018868,1,1,1,1,0.666666666666667,0.2,0.363636363636364,0.571428571428571,0.833333333333333,0.3,1,1,1,0,0,1,0.833333333333333,0.2,0.2,0.5,0.363636363636364,0.818181818181818,0.833333333333333,1,1,1,0,0,0.3,0.1,0.166666666666667,0.4,0,0.6,0.181818181818182,0.25,0.5,1,0.636363636363636,0.5,0.777777777777778,0.166666666666667,0.4,0.2,0.444444444444444,0.0909090909090909,0.333333333333333,0.2,0,0,0.0833333333333333,1,1,1,1,1,1,1,1,0,0,0,0.444444444444444,0.875,0.8,0.333333333333333,0.615384615384615,1,1,1
"29","Nemania","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.281345565749235,NA,NA,0.355932203389831,0,0.216981132075472,0.238461538461538,0.266666666666667,0.345945945945946,0.826086956521739,0,0,1,0,0,0,0,0,1,0,0.010989010989011,0.733333333333333,0,0.0112359550561798,0,1,1,1,0.833333333333333,0,0,1,0,0.916666666666667,0.727272727272727,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0.05,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.833333333333333,0,0,0,0,0,0,0,0,1,1,0
"30","uncl_Diatrypaceae","Diatrypaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.373088685015291,0.162162162162162,0.125,0.364406779661017,0.04,0.358490566037736,0.346153846153846,0.444444444444444,0.416216216216216,0.869565217391304,0,0.35,1,0,0.142857142857143,0.25,0.647058823529412,1,1,0,0.043956043956044,0.733333333333333,0.0625,0.0224719101123595,0,1,0.95,1,0.833333333333333,0,0.150943396226415,1,1,0.916666666666667,0.818181818181818,0,0,0.181818181818182,0.571428571428571,0.666666666666667,0,1,1,1,0,0,0.333333333333333,0,0,0.2,0.416666666666667,0.0909090909090909,0.454545454545455,1,1,1,1,0,0,0,0.05,0,0.05,0.1,0,0.0909090909090909,0,0,1,0,0.166666666666667,0,0,0.05,0,0,0.0909090909090909,0,0,0,0,0,1,1,1,0.9,1,1,1,0.833333333333333,0,0,0,0,0.25,0.2,0,0.153846153846154,1,1,1
"36","Xylaria","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.324159021406728,NA,NA,0.440677966101695,0.04,0.226415094339623,0.253846153846154,0.277777777777778,0.416216216216216,0.869565217391304,0,0.175,0.928571428571429,0.25,0.0714285714285714,0.25,0,0,0.954545454545455,0,0.021978021978022,0.666666666666667,0.25,0.101123595505618,0.103448275862069,0.970588235294118,0.9,0.727272727272727,0.833333333333333,0,0,1,0,1,0.727272727272727,0,0,0.272727272727273,0,0.0833333333333333,0.3,0.818181818181818,1,1,0.272727272727273,0.2,0,0,0.2,0.2,0,0.545454545454545,0,0,0,1,0.9,0,0,0,0.05,0,0,0,0.1,0,0,0,0.909090909090909,0.272727272727273,0.0833333333333333,0.444444444444444,0.25,0.2,0,0,0,0.166666666666667,0,0.166666666666667,0,0.0833333333333333,1,1,0.909090909090909,0.8,1,0.8,0.666666666666667,0.833333333333333,0,0,0,0,0,0,0,0,1,1,0
"97","uncl_Xylariaceae","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.305810397553517,0.027027027027027,0,0.322033898305085,0.16,0.216981132075472,0.223076923076923,0.311111111111111,0.421621621621622,0.434782608695652,0.176470588235294,0.15,0.642857142857143,0.25,0.0714285714285714,0.214285714285714,0.117647058823529,1,0.5,0.375,0.252747252747253,0.2,0.25,0.292134831460674,0.0689655172413793,0.676470588235294,0.35,0.590909090909091,0.166666666666667,0.2,0.0188679245283019,0.80952380952381,1,0.583333333333333,0.272727272727273,0.25,0,0.0909090909090909,0.142857142857143,0.166666666666667,0.2,0.818181818181818,0.6,0.5,0.181818181818182,0.4,0.0833333333333333,0,0.1,0,0.0833333333333333,0.454545454545455,0.181818181818182,0,1,0.416666666666667,0.6,1,0.285714285714286,0.4,0.15,0.166666666666667,0.25,0,0.3,0.454545454545455,0.5,0,0.272727272727273,0,0.416666666666667,0.333333333333333,0.25,0.15,0.2,0.111111111111111,0.545454545454545,0.666666666666667,0.2,0,0.2,0.0833333333333333,0.727272727272727,0.666666666666667,0.636363636363636,0.2,0.5,0.7,0.5,0.166666666666667,1,0,0,0,0,0.05,0,0,0.9,0.727272727272727,1
"100","Hypocopra","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.0305810397553517,NA,NA,0.0169491525423729,0.04,0,0.00769230769230769,0.0222222222222222,0.0756756756756757,0,0,0,0.0357142857142857,0,0,0,0,1,0,0,0.021978021978022,0,0,0,0,0.147058823529412,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0.0833333333333333,0.181818181818182,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"139","Ascotricha","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.00458715596330275,NA,NA,0.00847457627118644,0,0,0,0,0.0108108108108108,0,0,0.05,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0.1,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","Daldinia","Hypoxylaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.0107033639143731,NA,NA,0.0169491525423729,0.04,0.00943396226415094,0.00769230769230769,0.0111111111111111,0.00540540540540541,0,0.0588235294117647,0,0,0,0.0357142857142857,0,0,0,0,0,0.010989010989011,0,0.0625,0,0,0.0294117647058824,0,0.0454545454545455,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.0909090909090909,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"270","Xenoanthostomella","Xylariales_fam_Incertae_sedis","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.00458715596330275,NA,NA,0.00847457627118644,0,0,0,0,0.0108108108108108,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"346","Fusidium","Xylariales_fam_Incertae_sedis","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.0137614678899083,NA,NA,0.0338983050847458,0.04,0,0,0,0.0216216216216216,0,0,0.025,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0.0224719101123595,0,0.0294117647058824,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.2,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
