"Genus","Family","Order","Class","Phylum","Domain","global_relative_abundance","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOCU_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","FSA","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SCP","SEV","SFA","UHC","BLM_BOGR","BLM_SCSC","BNP_BOER","BNP_BOGR","CAD_ANGE","CAD_BOGR","CAD_BUDA","CAD_SCSC","CNF_BOER","CNF_BOGR","CNF_SCSC","CPR_BOER","CPR_BOGR_E","DMT_BOER","DMT_BOGR","DMT_SCSC","FCP_BOGR","FCP_BUDA","FCP_SCSC","FMT_BOER","FMT_BOGR","FSA_SCSC","GMT_BOER","GMT_BOGR","GNF_BOGR","GNF_SCSC","HAR_ANGE","HAR_BOCU_E","HAR_BOGR","HAR_BOGR_E","HAR_BUDA","HAR_BUDA_E","HAR_SCSC","HAR_SCSC_E","HPG_BOGR","HPG_BUDA","KAE_ANGE","KAE_BUDA","KAE_SCSC","KNZ_ANGE","KNZ_ANGE_E","KNZ_BOCU_E","KNZ_BOGR","KNZ_BUDA","KNZ_SCSC","KNZ_SCSC_E","LAR_ANGE","LAR_BOGR","LAR_SCSC","LBJ_ANGE","LBJ_BUDA","LBJ_SCSC","NWP_ANGE","NWP_SCSC","ONF_ANGE","ONF_SCSC","RNF_BOGR","SCP_ANGE","SCP_BOGR","SCP_SCSC","SEV_BOER","SEV_BOER_E_A","SEV_BOER_E_B","SEV_BOGR","SEV_BOGR_E_A","SFA_SCSC","UHC_ANGE","UHC_SCSC"
"uncl_Xylariales","uncl_Xylariales","Xylariales","Sordariomycetes","Ascomycota","Fungi",1.9,10.158,3.92,0.986,0.011,5.859,2.477,1.193,0.41,0.789,3.098,1.927,4.438,0,3.254,1.288,7.654,0.395,3.166,0,0.022,2.562,0.677,0.038,0.504,0.897,0.468,2.332,0.25,0,8.275,0.049,1.405,0.466,1.141,4.256,0.316,3.215,5.324,0.365,0.006,8.145,5.267,0.694,0,0,3.24,8.702,0.003,0.006,2.892,0.12,3.437,15.383,0.395,2.318,4.184,0,0,0.019,0.01,0.002,0.007,0,0.14,0.005,0.005,0.109,3.454,0.109,1.632,0.099,0.002,0.135,0.014,0.009,0.001,0.026,0.007,0,0,1.218,1.289,0.771,0.642,0.388,0.548,4.358,0.644,0.25,0,0,0,9.459,17.711,7.452,0.03,4.817,0.049,1.52,1.3
"Nemania","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.031,0,0,0.046,0,0.028,0.028,0.02,0.034,0.052,0,0,0.091,0,0,0,0,0,0.186,0,0.001,0.059,0,0,0,0.115,0.06,0.069,0.041,0,0,0,0.208,0.08,0.022,0,0,0,0,0,0,0.069,0.113,0.103,0,0,0,0,0,0,0,0,0,0,0,0.187,0.184,0,0,0,0,0,0,0,0.005,0,0,0,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193,0.072,0.083,0.056,0.063,0.074,0.065,0.041,0,0,0,0,0,0,0,0,0,0.196,0.219
"uncl_Diatrypaceae","Diatrypaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.104,0.006,0.004,0.057,0.001,0.093,0.149,0.259,0.047,0.051,0,0.387,0.081,0,0.241,0.401,0.524,0.357,0.157,0,0.001,0.042,0.001,0.001,0,0.229,0.062,0.06,0.03,0,0.005,0.181,0.191,0.076,0.023,0,0,0.169,1.051,0.521,0,0.067,0.119,0.078,0,0,0.563,0,0,0.002,0.934,0.001,0.011,1.465,0.357,0.17,0.141,0,0,0,0.001,0,0.001,0.007,0,0.001,0,0,0.058,0,0.003,0,0,0.001,0,0,0.004,0,0,0,0,0,0.155,0.425,0.09,0.047,0.077,0.069,0.052,0.03,0,0,0,0,0.019,0.003,0,0.005,0.181,0.197,0.185
"Xylaria","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.478,0,0,0.289,0.003,0.056,0.47,0.05,1.118,0.022,0,1.78,0.03,1.002,0.092,5.326,0,0,0.066,0,0.001,0.022,1.277,0.103,0.001,0.037,0.462,0.024,0.026,0,0,0,0.427,0.031,0.013,0,0,1.719,0,0.318,4.847,0.024,0.03,0.035,0.437,2.244,0,0,0.258,9.709,0,9.143,0,0,0,0.069,0.061,0,0,0,0.003,0,0,0,0.005,0,0,0,0.03,0.162,0.001,4.342,0.729,0.003,0,0,0,0.03,0,0.002,0,0.001,0.049,0.028,0.034,0.306,0.618,0.018,0.029,0.026,0,0,0,0,0,0,0,0,0,0.075,0.747
"uncl_Xylariaceae","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",1.212,0.001,0,0.712,0.929,0.142,0.06,0.726,3.229,0.028,0.002,0.473,0.009,0.006,1.195,2.383,0.006,0.217,0.013,15.597,1.001,1.378,0.305,2.871,0.005,0.012,0.006,6.062,0.002,4.488,0.001,0.142,0.573,0.051,0.003,0.002,0,0.013,0.001,0.002,1.872,0.009,0.012,0.007,0.007,0.004,1.221,0,1.881,0,0.049,6.013,0.009,0,0.217,0.007,0.019,5.793,16.997,3.136,0.078,0.005,0.045,0,0.091,1.844,9.018,0,1.879,0,0.808,0.005,0.004,0.068,4.334,0.013,3.03,12.014,2.743,0,0.02,0.003,0.017,0.009,0.009,0.004,0.008,2.819,8.765,0.002,22.44,0,0,0,0,0.002,0,0,0.142,0.027,1.069
"Hypocopra","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.013,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0.181,0.001,0,0,0,0,0.188,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.001,0.555,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.188,0,0
"Ascotricha","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daldinia","Hypoxylaceae","Xylariales","Sordariomycetes","Ascomycota","Fungi",0.049,0,0,0.055,0,0.176,0.03,0.035,0,0,1.099,0,0,0,0.14,0,0,0,0,0,0,0,0.099,0,0,0,0,0.294,0,0,0,0,0,0,0,1.557,0,0,0,0,0,0,0,0,0,0,0,0.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0.647,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xenoanthostomella","Xylariales_fam_Incertae_sedis","Xylariales","Sordariomycetes","Ascomycota","Fungi",0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusidium","Xylariales_fam_Incertae_sedis","Xylariales","Sordariomycetes","Ascomycota","Fungi",0,0,0,0.002,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0.002,0.018,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
