"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SEV","SFA","UHC"
"1","OTU173","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","uncl_Hypocreaceae","uncl_Hypocreaceae",0.454545454545455,0,0,0.589473684210526,0.294871794871795,0.386666666666667,0.379746835443038,0.522292993630573,1,0,0.0789473684210526,1,0,0.0384615384615385,0,0,1,0,0.0540540540540541,0.733333333333333,0.65625,0.0952380952380952,0.0740740740740741,1,1,1,1,0,0.4,1
"2","OTU443","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota",0.00206611570247934,0,0,0,0,0.0133333333333333,0,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","OTU236","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales",0.440082644628099,0,0,0.515789473684211,0.320512820512821,0.426666666666667,0.316455696202532,0.522292993630573,1,0.0666666666666667,0.289473684210526,1,0,0,0,0.0666666666666667,1,0,0,0.733333333333333,0.09375,0.0952380952380952,0,1,1,1,1,0,1,1
"4","OTU1","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota",0.927685950413223,0.888888888888889,1,0.863157894736842,0.987179487179487,0.986666666666667,0.949367088607595,0.898089171974522,1,1,0.894736842105263,1,1,0.923076923076923,0.962962962962963,1,1,1,0.945945945945946,1,0.59375,0.714285714285714,1,1,1,1,1,0.9,1,1
"5","OTU713","Fungi","Basidiomycota","Pucciniomycetes","Septobasidiales","Septobasidiaceae","Septobasidium","uncl_Septobasidium",0.0227272727272727,0,0,0,0,0.0933333333333333,0,0.0254777070063694,0.304347826086957,0,0.0526315789473684,0,0,0,0.037037037037037,0,0,0,0,0,0,0.0238095238095238,0,0,0,0,0,0,0,0
"6","OTU156","Fungi","Basidiomycota","Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes",0.0185950413223141,0,0,0.0105263157894737,0,0.0933333333333333,0,0.00636942675159236,0.304347826086957,0,0,0,0,0,0,0,0,0,0.0540540540540541,0,0,0,0,0,0,0,0,0,0,0
"7","OTU827","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota",0.0433884297520661,0,0,0,0.0641025641025641,0.12,0.0253164556962025,0.0318471337579618,0.391304347826087,0.0666666666666667,0,0.037037037037037,0,0.0384615384615385,0.111111111111111,0.133333333333333,0,0.142857142857143,0.0540540540540541,0,0,0,0,0,0,0,0.166666666666667,0,0,0
"8","OTU107","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota",0.398760330578512,0,0,0.473684210526316,0.294871794871795,0.386666666666667,0.291139240506329,0.464968152866242,1,0,0.105263157894737,1,0,0.0384615384615385,0,0,1,0,0.027027027027027,0.733333333333333,0.0625,0.0238095238095238,0,1,1,1,1,0,0.1,1
"9","OTU561","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","uncl_Diaporthaceae","uncl_Diaporthaceae",0.417355371900826,0,0,0.473684210526316,0.294871794871795,0.426666666666667,0.329113924050633,0.484076433121019,1,0,0,1,0,0.192307692307692,0,0,1,0,0.027027027027027,0.8,0,0.261904761904762,0,1,1,1,1,0,0.1,1
"10","OTU1561","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lindgomycetaceae","uncl_Lindgomycetaceae","uncl_Lindgomycetaceae",0.0268595041322314,0,0,0,0,0.0933333333333333,0,0.0382165605095541,0.391304347826087,0,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0,0,0.5,0,0,0
"11","OTU1273","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota",0.0413223140495868,0,0,0,0.0256410256410256,0.106666666666667,0.0253164556962025,0.0509554140127389,0.391304347826087,0,0,0,0.181818181818182,0.0769230769230769,0,0,0,0,0.0810810810810811,0.133333333333333,0,0.0238095238095238,0.037037037037037,0,0,0,0,0,0,0
"12","OTU3638","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","uncl_Cladophialophora",0.0537190082644628,0,0,0,0.0128205128205128,0.173333333333333,0.0632911392405063,0.0445859872611465,0.608695652173913,0,0,0.037037037037037,0,0,0,0,0.0526315789473684,0.428571428571429,0,0.4,0,0,0,0,0,0.0454545454545455,0,0,0,0
"13","OTU1894","Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes",0.0185950413223141,0,0,0,0,0.0933333333333333,0,0.0127388535031847,0.304347826086957,0,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0,0,0.166666666666667,0,0,0
"14","OTU67","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium",0.758264462809917,0,0,0.957894736842105,0.384615384615385,0.68,0.822784810126582,0.828025477707006,1,0.4,0.894736842105263,1,0,0.115384615384615,0.740740740740741,0.133333333333333,1,0.142857142857143,0.72972972972973,0.733333333333333,0.9375,0.666666666666667,0.851851851851852,1,1,1,1,0,1,1
"15","OTU6679","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium",0.671487603305785,0.777777777777778,0,0.778947368421053,0.538461538461538,0.68,0.556962025316456,0.726114649681529,1,0.133333333333333,0.763157894736842,1,0.909090909090909,0.0769230769230769,0.148148148148148,0,1,0,0.594594594594595,1,0.125,0.976190476190476,0.259259259259259,1,1,1,1,0.7,1,1
