"","OTU","Domain","Phylum","Class","Order","Family","Genus","Species","global_occurrence","BOER_SEVonly","BOGR_SEVonly","ANGE_allsites","BOER_allsites","BOGR_allsites","BUDA_allsites","SCSC_allsites","BLM","BNP","CAD","CNF","CPR","DMT","FCP","FMT","GMT","GNF","HAR","HPG","KAE","KNZ","LAR","LBJ","NWP","ONF","RNF","SEV","SFA","UHC"
"29","OTU24","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.460743801652893,0,0,0.452631578947368,0.461538461538462,0.546666666666667,0.430379746835443,0.439490445859873,1,0.333333333333333,0.210526315789474,1,0,0.307692307692308,0.0740740740740741,0.466666666666667,1,0,0.0810810810810811,0.733333333333333,0.125,0.0714285714285714,0,1,1,1,1,0,0,1
"75","OTU830","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania","uncl_Nemania",0.369834710743802,0,0,0.431578947368421,0.294871794871795,0.36,0.291139240506329,0.414012738853503,0.869565217391304,0,0,1,0,0,0,0,1,0,0,0.733333333333333,0,0,0,1,1,1,0.833333333333333,0,0,1
"76","OTU7602","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae","uncl_Diatrypaceae",0.40702479338843,0,0,0.442105263157895,0.346153846153846,0.426666666666667,0.379746835443038,0.420382165605096,0.91304347826087,0,0.0263157894736842,1,0,0,0.222222222222222,0.466666666666667,1,0,0.027027027027027,0.733333333333333,0.0625,0.0238095238095238,0,1,1,0.954545454545455,0.833333333333333,0,0,1
"133","OTU301","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","uncl_Xylaria",0.396694214876033,0,0,0.463157894736842,0.282051282051282,0.293333333333333,0.30379746835443,0.509554140127389,0.739130434782609,0,0.184210526315789,0.925925925925926,0.0909090909090909,0.0769230769230769,0.185185185185185,0,0.947368421052632,0,0,0.666666666666667,0.28125,0.0952380952380952,0.037037037037037,0.970588235294118,0.9,0.727272727272727,0.833333333333333,0,0,1
"154","OTU5708","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae","uncl_Diatrypaceae",0.0516528925619835,0,0,0.0315789473684211,0.0128205128205128,0.0666666666666667,0.0759493670886076,0.0636942675159236,0.0434782608695652,0,0.210526315789474,0,0,0.0384615384615385,0.0740740740740741,0.0666666666666667,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0
"231","OTU163","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.0454545454545455,0,0,0.0315789473684211,0,0.04,0.0886075949367089,0.0573248407643312,0.173913043478261,0,0.0526315789473684,0,0,0.0384615384615385,0,0,0,0,0,0,0.0625,0.166666666666667,0,0.0588235294117647,0.05,0.0909090909090909,0,0,0,0.0476190476190476
"262","OTU2208","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0330578512396694,0,0,0.0105263157894737,0,0.0266666666666667,0,0.0828025477707006,0.130434782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,1,0.0476190476190476
"304","OTU4689","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae","uncl_Diatrypaceae",0.146694214876033,0,0,0.157894736842105,0.141025641025641,0.16,0.20253164556962,0.10828025477707,0.0434782608695652,0.0666666666666667,0.105263157894737,0.444444444444444,0,0,0.111111111111111,0.266666666666667,0.473684210526316,0,0.027027027027027,0,0.03125,0,0,0.352941176470588,0.15,0.227272727272727,0.166666666666667,0,0.1,0.619047619047619
"317","OTU4402","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00619834710743802,0,0,0,0,0.0266666666666667,0,0.00636942675159236,0.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"462","OTU28","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae","uncl_Diatrypaceae",0.0681818181818182,0,0,0.0421052631578947,0.153846153846154,0.106666666666667,0.0379746835443038,0.0382165605095541,0.0869565217391304,0,0.0263157894736842,0.185185185185185,0,0.115384615384615,0,0.333333333333333,0.210526315789474,0,0,0.0666666666666667,0,0,0,0.117647058823529,0.05,0.136363636363636,0.333333333333333,0,0,0.0952380952380952
"506","OTU856","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania","uncl_Nemania",0.0165289256198347,0,0,0,0.0256410256410256,0.0133333333333333,0.0253164556962025,0.0191082802547771,0,0,0,0.037037037037037,0,0,0,0,0.0526315789473684,0,0,0.0666666666666667,0,0,0,0.0588235294117647,0.05,0,0.166666666666667,0,0,0.0476190476190476
"512","OTU29","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.293388429752066,0,0,0.347368421052632,0.230769230769231,0.253333333333333,0.215189873417722,0.35031847133758,0.391304347826087,0.0666666666666667,0.105263157894737,0.740740740740741,0.0909090909090909,0,0.111111111111111,0,0.578947368421053,0.285714285714286,0.243243243243243,0.266666666666667,0.1875,0.238095238095238,0.037037037037037,0.676470588235294,0.3,0.409090909090909,0.333333333333333,0,0.2,0.904761904761905
"514","OTU11","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0557851239669422,0.222222222222222,0,0.0210526315789474,0.192307692307692,0.08,0.0253164556962025,0.0127388535031847,0.0434782608695652,0.266666666666667,0.0263157894736842,0.185185185185185,0,0.115384615384615,0,0.0666666666666667,0.315789473684211,0,0.027027027027027,0,0.03125,0,0,0,0,0.0909090909090909,0,0.2,0,0
"518","OTU5998","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.142561983471074,0,0,0.168421052631579,0.141025641025641,0.133333333333333,0.113924050632911,0.146496815286624,0.173913043478261,0,0.0263157894736842,0.481481481481481,0,0,0.037037037037037,0,0.473684210526316,0,0,0.0666666666666667,0,0,0,0.441176470588235,0.25,0.363636363636364,0,0,0,0.571428571428571
"539","OTU1572","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Hypocopra","uncl_Hypocopra",0.0330578512396694,0,0,0,0,0,0.0126582278481013,0.0955414012738854,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0.1,0,0,0,1,0.0476190476190476
"595","OTU43","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0165289256198347,0.111111111111111,0,0,0.0128205128205128,0.0266666666666667,0.0253164556962025,0.0191082802547771,0.0434782608695652,0,0.0263157894736842,0.111111111111111,0,0,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0,0.1,0,0
"797","OTU321","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","uncl_Xylaria",0.0330578512396694,0,0,0.0526315789473684,0,0,0,0.0700636942675159,0,0,0.131578947368421,0,0,0,0.185185185185185,0,0,0,0,0,0.0625,0.0238095238095238,0,0,0.1,0,0,0,0,0.0476190476190476
"810","OTU1306","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0165289256198347,0,0,0.0105263157894737,0,0.0266666666666667,0,0.0318471337579618,0,0,0.0526315789473684,0.148148148148148,0,0,0,0,0.0526315789473684,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0
"865","OTU174","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.00619834710743802,0,0,0,0,0,0,0.0191082802547771,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0.0238095238095238,0,0,0,0.0454545454545455,0,0,0,0
"1184","OTU4201","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0103305785123967,0,0,0,0.0128205128205128,0.04,0,0.00636942675159236,0.0434782608695652,0,0,0.0740740740740741,0,0.0384615384615385,0,0,0,0,0.027027027027027,0,0,0,0,0,0,0,0,0,0,0
"1194","OTU10114","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00413223140495868,0,0,0,0.0128205128205128,0,0,0.00636942675159236,0.0434782608695652,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1195","OTU11109","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0103305785123967,0,0,0,0.0256410256410256,0.0266666666666667,0,0.00636942675159236,0.0434782608695652,0,0,0.111111111111111,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1201","OTU4594","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00826446280991736,0,0,0,0.0128205128205128,0.0266666666666667,0,0.00636942675159236,0.0434782608695652,0,0,0.0740740740740741,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1209","OTU12548","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0206611570247934,0,0,0,0.0641025641025641,0.0533333333333333,0,0.00636942675159236,0.0434782608695652,0,0,0.148148148148148,0,0.0384615384615385,0,0,0.210526315789474,0,0,0,0,0,0,0,0,0,0,0,0,0
"1237","OTU6175","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0185950413223141,0,0,0,0.0512820512820513,0.0266666666666667,0.0253164556962025,0.00636942675159236,0.0434782608695652,0,0,0.111111111111111,0,0.0769230769230769,0.037037037037037,0,0.0526315789473684,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0
"1251","OTU2612","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.0227272727272727,0,0,0,0,0,0.0126582278481013,0.0636942675159236,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,1,0
"1350","OTU788","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.012396694214876,0,0,0.0421052631578947,0,0,0,0.0127388535031847,0,0,0,0,0,0,0.037037037037037,0,0,0,0,0,0,0.0238095238095238,0,0,0,0.0454545454545455,0,0,0,0.142857142857143
"1381","OTU6557","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0103305785123967,0.111111111111111,0,0.0105263157894737,0.0512820512820513,0,0,0,0,0,0,0,0,0.0769230769230769,0,0.0666666666666667,0,0,0,0,0,0,0,0.0294117647058824,0,0,0,0.1,0,0
"1436","OTU1050","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Daldinia","uncl_Daldinia",0.00826446280991736,0,0,0,0.0128205128205128,0.0133333333333333,0.0126582278481013,0.00636942675159236,0,0.0666666666666667,0,0,0,0.0384615384615385,0,0,0,0,0,0,0.03125,0,0,0,0,0.0454545454545455,0,0,0,0
"1458","OTU1077","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Daldinia","uncl_Daldinia",0.00206611570247934,0,0,0,0.0128205128205128,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1503","OTU8266","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.00206611570247934,0,0,0,0.0128205128205128,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1545","OTU13","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0144628099173554,0,0,0,0.0641025641025641,0.0266666666666667,0,0,0,0.133333333333333,0,0.111111111111111,0,0,0,0,0.105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0
"1573","OTU585","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","uncl_Xylariaceae","uncl_Xylariaceae",0.0144628099173554,0,0,0.0315789473684211,0.0128205128205128,0,0,0.0191082802547771,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136363636363636,0,0,0,0.142857142857143
"1594","OTU10236","Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales",0.0268595041322314,0,0,0,0.153846153846154,0,0,0.00636942675159236,0,0.0666666666666667,0,0,0,0.230769230769231,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0
