Site,Grass,Fun_sor_clusters,Bac_sor_clusters,n
BLM,BOGR,F1,B1,10
BLM,BOGR,F1,B2,2
BLM,SCSC,F1,B1,11
BNP,BOER,F9,B2,8
BNP,BOER,F10,B2,4
BNP,BOGR,F5,B2,1
BNP,BOGR,F5,B3,1
BNP,BOGR,F9,B3,1
CAD,ANGE,F6,B4,3
CAD,ANGE,F8,B4,8
CAD,BOGR,F9,B5,6
CAD,BUDA,F9,B2,1
CAD,BUDA,F9,B4,2
CAD,BUDA,F9,B5,8
CAD,SCSC,F6,B4,3
CAD,SCSC,F8,B4,7
CNF,BOER,F1,B2,11
CNF,BOGR,F1,B2,4
CNF,SCSC,F1,B6,12
CPR,BOER,F5,B7,11
DMT,BOER,F10,B2,9
DMT,BOER,F10,B8,3
DMT,BOGR,F9,B2,4
DMT,BOGR,F10,B2,1
DMT,SCSC,F5,B3,1
DMT,SCSC,F6,B7,1
DMT,SCSC,F8,B1,2
DMT,SCSC,F8,B9,4
DMT,SCSC,F8,B10,1
FCP,BOGR,F5,B3,1
FCP,BOGR,F7,B3,3
FCP,BUDA,F4,B9,1
FCP,BUDA,F7,B3,1
FCP,BUDA,F8,B9,1
FCP,BUDA,F9,B5,5
FCP,BUDA,F9,B9,4
FCP,SCSC,F7,B3,3
FCP,SCSC,F9,B5,8
FMT,BOER,F10,B8,11
FMT,BOGR,F9,B2,1
FMT,BOGR,F9,B9,1
FMT,BOGR,F10,B2,2
GMT,BOER,F1,B2,12
GMT,BOGR,F1,B2,7
GNF,SCSC,F8,B5,4
GNF,SCSC,F8,B9,3
HAR,ANGE,F8,B1,1
HAR,ANGE,F8,B3,2
HAR,ANGE,F8,B4,3
HAR,ANGE,F8,B5,3
HAR,ANGE,F8,B10,1
HAR,BOGR,F7,B3,4
HAR,BOGR,F8,B3,1
HAR,BOGR,F9,B3,1
HAR,BUDA,F7,B3,9
HAR,BUDA,F9,B5,1
HAR,SCSC,F8,B3,3
HAR,SCSC,F8,B4,1
HAR,SCSC,F8,B5,6
HAR,SCSC,F8,B10,1
HPG,BOGR,F5,B1,2
HPG,BOGR,F8,B5,1
HPG,BOGR,F9,B1,1
HPG,BUDA,F1,B1,6
HPG,BUDA,F1,B3,1
HPG,BUDA,F1,B5,3
HPG,BUDA,F1,B9,1
KAE,ANGE,F3,B12,11
KAE,BUDA,F3,B3,1
KAE,BUDA,F3,B4,5
KAE,BUDA,F3,B10,3
KAE,BUDA,F4,B4,1
KAE,BUDA,F7,B10,1
KAE,BUDA,F9,B5,1
KAE,SCSC,F3,B12,8
KAE,SCSC,F3,B13,1
KNZ,ANGE,F6,B10,10
KNZ,ANGE,F7,B10,1
KNZ,BOGR,F6,B10,3
KNZ,BOGR,F7,B3,1
KNZ,BOGR,F7,B10,5
KNZ,BUDA,F6,B10,1
KNZ,BUDA,F7,B10,10
KNZ,SCSC,F6,B10,11
LAR,ANGE,F4,B9,11
LAR,BOGR,F4,B9,4
LAR,SCSC,F4,B9,12
LBJ,ANGE,F1,B3,1
LBJ,ANGE,F1,B4,9
LBJ,ANGE,F1,B10,1
LBJ,BUDA,F1,B3,4
LBJ,BUDA,F1,B4,1
LBJ,BUDA,F1,B5,4
LBJ,BUDA,F1,B9,3
LBJ,SCSC,F1,B3,1
LBJ,SCSC,F1,B10,9
LBJ,SCSC,F1,B12,1
NWP,ANGE,F1,B13,10
NWP,SCSC,F1,B13,10
ONF,ANGE,F1,B10,1
ONF,ANGE,F1,B14,9
ONF,SCSC,F1,B9,1
ONF,SCSC,F1,B14,11
RNF,BOGR,F1,B1,6
SEV,BOER,F9,B2,2
SEV,BOER,F9,B8,1
SEV,BOER,F10,B2,1
SEV,BOER,F10,B8,5
SEV,BOGR,F10,B2,1
SFA,SCSC,F2,B4,8
SFA,SCSC,F2,B10,1
SFA,SCSC,F2,B11,1
UHC,ANGE,F1,B11,10
UHC,SCSC,F1,B11,11
