rich_current_bac_names,sobs,chao,shannonH,simpson_inv,simpsonD,simpsoneven,shannoneven,rich_current_bac_names
X1351_1335,945,1474.035971,5.440522929,0.987364814,0.012635186,0.083750333,0.794099559,X1351_1335
X1351_1339,1038,1719.652174,5.406865819,0.987051938,0.012948062,0.074404271,0.778520672,X1351_1339
X1351_1348,1050,1695.034091,5.318941388,0.98128815,0.01871185,0.05089721,0.764595219,X1351_1348
X1351_1350,1462,2309.053763,5.705865587,0.983175276,0.016824724,0.04065413,0.782959603,X1351_1350
X1351_1375,1019,1593.360465,5.38582966,0.985020333,0.014979667,0.065512421,0.777560061,X1351_1375
X1351_1432,890,1390.985401,5.31935655,0.987757332,0.012242668,0.091777012,0.783269487,X1351_1432
X1351_1442,1033,1890.269737,5.001013475,0.968057041,0.031942959,0.030305715,0.72058403,X1351_1442
X1351_1443,1234,2105.725,5.624755063,0.987379301,0.012620699,0.064209816,0.79021386,X1351_1443
X1351_1444,1299,2271.439614,5.42086934,0.972918504,0.027081496,0.02842616,0.756117267,X1351_1444
X1351_1445,1063,1899.263473,5.278406246,0.983502932,0.016497068,0.0570243,0.757428551,X1351_1445
X1351_1446,1074,1818.210526,5.367945297,0.983040128,0.016959872,0.054900103,0.769140788,X1351_1446
X1351_1447,872,1561.535433,4.625876011,0.941935549,0.058064451,0.019750277,0.683210734,X1351_1447
X1351_1448,1248,1968.950226,5.573905496,0.983410171,0.016589829,0.048299596,0.781830953,X1351_1448
X1351_1449,1004,1691.133758,5.132187055,0.978111507,0.021888493,0.04550409,0.742531061,X1351_1449
X1351_1450,883,1605.326087,4.520452547,0.95240005,0.04759995,0.023792101,0.66640658,X1351_1450
X1351_1451,1127,1852.591954,5.687440309,0.991080384,0.008919616,0.099478659,0.809333394,X1351_1451
X1351_1452,1320,2233.55,5.911025165,0.99274373,0.00725627,0.104402918,0.822645343,X1351_1452
X1351_1453,1080,1987.468354,5.001178136,0.967741722,0.032258278,0.028703514,0.716017359,X1351_1453
