"","Domain","Sign","Phylum","Class","Order","Family","Genus","X1351_667"
"OTU539","Bacteria","Generalists","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","0.0001105216622458"
"OTU1133","Bacteria","Generalists","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","0.000994694960212202"
"OTU5","Bacteria","NS","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","0.0444297082228117"
"OTU177","Bacteria","Generalists","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola","0.001105216622458"
"OTU31","Bacteria","NS","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","uncl_Micromonosporaceae","0.0713969938107869"
"OTU71","Bacteria","Generalists","Proteobacteria","Deltaproteobacteria","Myxococcales","uncl_Myxococcales","uncl_Myxococcales","0.0018788682581786"
"OTU61","Bacteria","Generalists","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Virgisporangium","0.001105216622458"
"OTU3","Bacteria","Specialists","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","uncl_Pseudonocardiaceae","0.169761273209549"
"OTU4781","Bacteria","Generalists","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","0.000331564986737401"
"OTU49","Bacteria","Generalists","Actinobacteria","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium","0.00486295313881521"
"OTU3092","Bacteria","NS","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","Saccharibacteria_genera_incertae_sedis","0.000442086648983201"
"OTU43","Bacteria","Specialists","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","0.0106100795755968"
"OTU224","Bacteria","Generalists","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","0.000442086648983201"
"OTU138","Bacteria","NS","Bacteroidetes","Cytophagia","Cytophagales","Fulvivirgaceae","Chryseolinea","0.00453138815207781"
"OTU904","Bacteria","Generalists","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Flavitalea","0.0001105216622458"
