"","Domain","Sign","Phylum","Class","Order","Family","Genus","Species","SRR13801399","SRR13801186","SRR13801171","SRR13801400","SRR13801525","SRR13800997","SRR13801246","SRR13801475","SRR13801023","SRR13801012","SRR13801398","SRR13801333","SRR13801401","SRR13801146","SRR13801135","SRR13801476","SRR13801546","SRR13801070","SRR13801059","SRR13801489","SRR13801478","SRR13801335","SRR13801330","SRR13801329","SRR13801328","SRR13801279","SRR13801282","SRR13801277","SRR13801276","SRR13801274","SRR13801207","SRR13801203","SRR13801202","SRR13801200","SRR13801105","SRR13800981","SRR13800980","SRR13800978","SRR13800935","SRR13800930","SRR13800929","SRR13800928","SRR13800926","SRR13800925","SRR13800924","SRR13801157","SRR13801153","SRR13801152","SRR13801373","SRR13801372","SRR13801371","SRR13801410","SRR13801409","SRR13801408","SRR13801407","SRR13800940","SRR13800938","SRR13800937","SRR13800936","SRR13801151","SRR13801150","SRR13801149","SRR13801147","SRR13801145","SRR13801375","SRR13801445","SRR13801444","SRR13801441","SRR13801499","SRR13801054","SRR13801053","SRR13801051","SRR13801050","SRR13801049","SRR13801549"
"OTU173","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","uncl_Hypocreaceae","uncl_Hypocreaceae","0.00375642546461052","0.00187821273230526","0.00029655990510083","0.00731514432582048","0.00494266508501384","0.00514037168841439","0.00207591933570581","0.00306445235270858","0.00790826413602214","0.00514037168841439","0.0101818900751285","0.00306445235270858","0","0","0","0","0","0","0","0","0","0.00869909054962436","0.00711743772241993","0.00593119810201661","0.00434954527481218","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0100830367734282","0.0109727164887307","0.0042506919731119","0.00573349149861605","0.00988533017002768","0.00958877026492685","0.00741399762752076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00622775800711744","0.00138394622380388","0.00355871886120996","0.00434954527481218","0.00108738631870304","0.00217477263740609","0"
"OTU443","Fungi","Specialists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0.278173190984579","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OTU236","Fungi","Generalists","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales","0.00593119810201661","0.00523922499011467","0.000889679715302491","0.0151245551601423","0.0104784499802293","0.00721629102412021","0.00276789244760775","0.00405298536971135","0.018584420719652","0.0100830367734282","0.0190786872281534","0.00434954527481218","0","0","0","9.88533017002768e-05","0","0","0","0","9.88533017002768e-05","0.0227362593910637","0.0228351126927639","0.0143337287465401","0.0124555160142349","0","0","0","0","0","0","0","0","0","0","0","0","0","0.034302095689996","0.0347963621984974","0.00642546461051799","0.00751285092922104","0.0328192961644919","0.0243179122182681","0.0163107947805457","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.17151047844998","0","0","0","0","0.0123566627125346","0.00365757216291024","0.00405298536971135","0.00780941083432187","0.00207591933570581","0.00365757216291024","0"
"OTU1","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0.302194543297746","0.165974693554765","0.0170027678924476","0.417655199683669","0.215401344404903","0.366449189402926","0.273230525899565","0.0483392645314353","0.1429418742586","0.212139185448794","0.267497034400949","0.258402530644524","0.0410241202056149","0.329280347963622","0.0269869513641756","0.0223408461842626","0.595986555950969","0.1072558323448","0.0195729537366548","0.188809806247529","0.00909450375642546","0.263048635824437","0.388493475682088","0.205417160933175","0.333333333333333","0.180011862396204","0.271253459865559","0.00662317121391854","0.199090549624357","0.233392645314353","0.0293594306049822","0.137900355871886","0.179616449189403","0.258402530644524","0.481810992487149","0.232799525504152","0.404903123764334","0.476571767497034","0.307829181494662","0.203143534994069","0.256919731119019","0.409746935547647","0.212040332147094","0.217378410438909","0.245452748121787","0.0899565045472519","0.026789244760775","0.000988533017002768","0.204922894424674","0.0563463819691578","0.13226571767497","0.112396204033215","0.0269869513641756","0.301700276789245","0.211743772241993","0.0784895215500198","0.130090945037564","0.00444839857651246","0.0856069592724397","0.0928232502965599","0.085013839462238","0","0.0487346777382365","0.00395413206801107","0.227066034005536","0.14640173981811","0.154112297350732","0.455812574139976","0.151937524713325","0.171708185053381","0.256326611308818","0.379893238434164","0.17131277184658","0.257611704230921","0.381376037959668"
"OTU713","Fungi","Specialists","Basidiomycota","Pucciniomycetes","Septobasidiales","Septobasidiaceae","Septobasidium","uncl_Septobasidium","0.0233293792012653","0","0","0","0.133847370502175","0.0107750098853302","0.00029655990510083","0.105773032819296","0.00840253064452353","0.000494266508501384","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OTU156","Fungi","Specialists","Basidiomycota","Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","0.11427441676552","0.115954922894425","0.369019375247133","0","0.00474495848161329","0.00177935943060498","0","0","0","0.00217477263740609","0.0427046263345196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OTU827","Fungi","Specialists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0.0329181494661922","0.0029655990510083","0.0483392645314353","0","0.000197706603400554","0","0.0348952155001977","0.000494266508501384","0.000691973111901938","0.00247133254250692","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.88533017002768e-05","0"
"OTU107","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0.0042506919731119","0.0042506919731119","0.00118623962040332","0.0150257018584421","0.0111704230921313","0.0085013839462238","0.00375642546461052","0.00672202451561882","0.0197706603400554","0.0103795966785291","0.0227362593910637","0.0068208778173191","0","0","0","0","0","0","0","0","0","0.0175958877026493","0.0153222617635429","0.00988533017002768","0.00968762356662712","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0173981810992487","0.020363780150257","0.00573349149861605","0.0112692763938316","0.0231316725978648","0.0220442862791617","0.0162119414788454","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0115658362989324","0.00365757216291024","0.00474495848161329","0.00909450375642546","0.00247133254250692","0.00326215895610913","0"
"OTU561","Fungi","Generalists","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","uncl_Diaporthaceae","uncl_Diaporthaceae","0.000691973111901938","0.00158165282720443","0.000197706603400554","0.00514037168841439","0.00306445235270858","0.00247133254250692","0.00118623962040332","0.00247133254250692","0.00593119810201661","0.00237247924080664","0.00612890470541716","0.0012850929221036","0","0","0","0","0","0","0","0","0","0.00454725187821273","0.00444839857651246","0.00306445235270858","0.0029655990510083","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00662317121391854","0.00800711743772242","0.00187821273230526","0.00266903914590747","0.00652431791221827","0.00642546461051799","0.00523922499011467","0","0","0","0","0","0","0","0","0","9.88533017002768e-05","9.88533017002768e-05","0","0","0","0","0","0","0.000395413206801107","0","0","0","0","0","0.00415183867141162","0.00593119810201661","0.00118623962040332","0.00217477263740609","0.000494266508501384","0.00108738631870304","0"
"OTU1561","Fungi","Specialists","Ascomycota","Dothideomycetes","Pleosporales","Lindgomycetaceae","uncl_Lindgomycetaceae","uncl_Lindgomycetaceae","0.00721629102412021","9.88533017002768e-05","0","0","0","0","0.000395413206801107","0.00168050612890471","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000889679715302491","0","0","0","9.88533017002768e-05","0.00593119810201661","0"
