"","Domain","Sign","Phylum","Class","Order","Family","Genus","Species","SRR13801565","SRR13801564","SRR13801563","SRR13801566","SRR13801561","SRR13801559","SRR13801558","SRR13801556","SRR13801555","SRR13801549"
"OTU1","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0.100632661130882","0.459272439699486","0.0669236852510874","0.0122578094108343","0.0106761565836299","0.0515025701858442","0.00533807829181495","0.00691973111901938","0","0.381376037959668"
"OTU6679","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","9.88533017002768e-05","0","9.88533017002768e-05","9.88533017002768e-05","0","0.000593119810201661","0.000197706603400554","0.0676156583629893","0.000197706603400554","0"
"OTU102","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","0","0","0.00237247924080664","0","0","0","0","0","0","0"
"OTU75","Fungi","Generalists","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales","0.0487346777382365","0.0136417556346382","0","0.0155199683669435","0.00484381178331356","0.0126532226176354","0.000395413206801107","0.000494266508501384","0","0.0055357848952155"
"OTU12","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","0","0","0.00385527876631079","0","0.0101818900751285","0","0","0","0.00355871886120996","0"
"OTU7","Fungi","Generalists","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","0","9.88533017002768e-05","0.000691973111901938","0","0","0","0","0","0","0"
"OTU2","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0.000395413206801107","0.0012850929221036","9.88533017002768e-05","9.88533017002768e-05","9.88533017002768e-05","0.000197706603400554","0","0","0","0.000395413206801107"
"OTU877","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0.00108738631870304","0","0.00514037168841439","0","0","0","0","0","0","0"
"OTU12011","Fungi","Generalists","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","0","0","0","0","0","0.000395413206801107","0","0","0","0"
"OTU48","Fungi","Generalists","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","0","0","0","0.0448793989719257","0","0.291221826809015","0.00247133254250692","0.00029655990510083","0","0"
