"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU17",50,82.68,77,88,"Specialists"
"OTU1139",20,13.76,10,17,"Generalists"
"OTU539",65,45.82,39,52.525,"Generalists"
"OTU14859",14,19.526,15,24,"Specialists"
"OTU1133",81,46.58,40,53,"Generalists"
"OTU5",95,94.998,95,95,"NS"
"OTU177",31,27.762,22,33.525,"NS"
"OTU31",93,92.952,90,95,"NS"
"OTU843",7,6.986,5,9,"NS"
"OTU71",76,73.054,66,80,"NS"
"OTU61",74,65.136,58.475,72,"Generalists"
"OTU957",49,39.88,33,46,"Generalists"
"OTU273",73,57.426,51,64.525,"Generalists"
"OTU3",89,92.642,89,95,"NS"
"OTU4781",41,31.926,26,38,"Generalists"
"OTU49",95,89.194,85,93,"Generalists"
"OTU5652",7,19.806,15,24,"Specialists"
"OTU774",92,73.424,67,80,"Generalists"
"OTU3092",5,4.786,3,6,"NS"
"OTU43",75,75.338,69,81,"NS"
"OTU224",63,44.938,38,51,"Generalists"
"OTU4878",26,19.956,16,25,"Generalists"
"OTU138",35,37.074,31,43,"NS"
"OTU904",35,21.462,17,26,"Generalists"
"OTU77",74,61.02,54,68,"Generalists"
"OTU29389",79,77.91,71.475,84,"NS"
"OTU614",3,6.936,5,9,"Specialists"
"OTU83440",94,80.924,75,87,"Generalists"
"OTU2301",36,19.84,15,24,"Generalists"
"OTU86477",3,2.712,2,3,"NS"
"OTU8308",7,8.46,6,11,"NS"
"OTU94",49,34.44,29,40.525,"Generalists"
"OTU13",70,86.838,82.475,92,"Specialists"
"OTU62369",78,51.964,45,59,"Generalists"
"OTU1294",26,18.65,14,23,"Generalists"
"OTU846",26,16.586,12.475,20,"Generalists"
"OTU22643",5,4.142,3,5,"NS"
"OTU46",95,88.242,83,93,"Generalists"
"OTU53",92,86.624,81,91,"Generalists"
"OTU164",37,35.704,30,42,"NS"
"OTU395",18,21.798,17,26,"NS"
"OTU250",36,28.756,23,33.525,"Generalists"
"OTU3570",4,4.174,3,5,"NS"
"OTU116",65,48.624,41,56,"Generalists"
"OTU189",66,51.792,45,59,"Generalists"
"OTU12",74,86.45,81,91,"Specialists"
"OTU321",94,78.376,72,85,"Generalists"
"OTU623",87,70.206,63,77,"Generalists"
"OTU451",7,10.752,8,14,"Specialists"
"OTU36547",92,71.296,63,78,"Generalists"
"OTU586",40,28.676,23,34,"Generalists"
"OTU73992",7,8.472,6,11,"NS"
"OTU552",57,44.708,38,52,"Generalists"
"OTU79",77,71.398,65,78.525,"NS"
"OTU28",90,85.42,80,90,"NS"
"OTU4061",29,20.878,16,26,"Generalists"
"OTU718",23,31.64,26,37.525,"Specialists"
"OTU515",4,11.966,9,15,"Specialists"
"OTU553",24,20.876,16,26,"NS"
"OTU65",30,50.03,44,57,"Specialists"
"OTU76",88,78.86,73,84.525,"Generalists"
"OTU683",62,34.454,29,41,"Generalists"
"OTU124",16,26.334,21,32,"Specialists"
"OTU1114",48,24.708,20,30,"Generalists"
"OTU252",72,66.552,60,73,"NS"
"OTU285",22,22.96,18,28,"NS"
"OTU1691",28,31.462,26,37,"NS"
"OTU25369",94,84.132,78,89,"Generalists"
"OTU27622",87,77.962,71,85,"Generalists"
"OTU88016",29,33.62,27,40,"NS"
"OTU62",47,61.646,56,68,"Specialists"
"OTU573",44,30.86,26,37,"Generalists"
"OTU7460",12,9.958,7,13,"NS"
"OTU54",57,51.46,45,59,"NS"
"OTU16078",6,20.136,16,25,"Specialists"
"OTU1953",43,34.716,29,41,"Generalists"
"OTU296",56,55.122,49,62,"NS"
"OTU56102",69,55.96,49,63,"Generalists"
"OTU183",20,22.644,17.475,28,"NS"
"OTU10",90,85.388,79,90,"NS"
"OTU180",45,38.134,32,45,"NS"
"OTU55727",5,5.396,3.475,7,"NS"
"OTU107",73,75.508,68,82,"NS"
"OTU832",5,5.842,4,8,"NS"
"OTU56182",23,16.48,13,20,"Generalists"
"OTU12389",21,23.666,19,29,"NS"
"OTU643",10,19.208,14.475,23.525,"Specialists"
"OTU108",88,76.246,70,83,"Generalists"
"OTU1971",12,15.918,12,20,"NS"
"OTU60",79,67.338,60,74,"Generalists"
"OTU21",82,83.136,77,88.525,"NS"
"OTU2223",31,19.964,16,25,"Generalists"
"OTU881",31,35.16,29,42,"NS"
"OTU41",87,62.424,55,69,"Generalists"
"OTU29992",9,18.764,14,23,"Specialists"
"OTU408",39,33.53,27,39,"NS"
"OTU37",94,85.198,80,90,"Generalists"
"OTU24",73,59.258,52,66,"Generalists"
"OTU3873",53,29.522,24,35,"Generalists"
"OTU4256",3,2.734,2,3,"NS"
"OTU450",72,59.284,52,66,"Generalists"
"OTU3060",13,10.458,7,14,"NS"
"OTU137",33,22.686,18,28,"Generalists"
"OTU82",85,66.7,60,73,"Generalists"
"OTU2577",33,41.174,35,47.525,"Specialists"
"OTU178",32,34.354,29,41,"NS"
"OTU20504",4,3.492,2,4,"NS"
"OTU498",33,30.042,24,36,"NS"
"OTU209",46,41.502,35.475,48,"NS"
"OTU19494",89,83.724,79,89,"NS"
"OTU3797",5,7.022,5,9,"NS"
"OTU1057",14,10.594,8,13,"Generalists"
"OTU6123",21,16.9,13,21,"NS"
"OTU170",63,46.538,40,53,"Generalists"
"OTU555",70,55.54,49,62,"Generalists"
"OTU845",31,25.516,20,31,"NS"
"OTU8318",2,5.444,3.475,7,"Specialists"
"OTU1132",35,20.572,16,25,"Generalists"
"OTU88",76,71.754,65,78,"NS"
"OTU4",95,94.858,94,95,"NS"
"OTU712",34,22.75,18,28,"Generalists"
"OTU486",83,55.65,49,62,"Generalists"
"OTU100090",47,52.036,46,58.525,"NS"
"OTU1009",4,5.982,4,8,"NS"
"OTU724",50,38.48,32,45,"Generalists"
"OTU51",90,79.174,73,85,"Generalists"
"OTU6206",58,44.338,38,51,"Generalists"
"OTU161",72,42.488,36,49,"Generalists"
"OTU52424",26,16.836,13,21,"Generalists"
"OTU256",2,2.704,2,3,"NS"
"OTU15",89,84.158,79,89.525,"NS"
"OTU316",67,58.244,51.475,66,"Generalists"
"OTU42",35,29.046,23.475,35,"NS"
"OTU30",89,88.82,84,93,"NS"
"OTU8158",3,3.474,2,4,"NS"
"OTU660",37,25.34,21,30,"Generalists"
"OTU212",37,25.138,20,30,"Generalists"
"OTU205",54,51.392,44,58,"NS"
"OTU12222",46,40.588,34,47.525,"NS"
"OTU53725",82,71.542,65,78,"Generalists"
"OTU151",87,78.06,71.475,84,"Generalists"
"OTU579",23,24.694,20,29.525,"NS"
"OTU200",68,49.952,43,56,"Generalists"
"OTU2166",21,16.11,12,20,"Generalists"
"OTU633",45,26.144,20,32,"Generalists"
"OTU268",48,29.056,24,35,"Generalists"
"OTU67",3,2.682,2,3,"NS"
"OTU8959",10,16.912,13,21,"Specialists"
"OTU2621",2,1.902,1,2,"NS"
"OTU225",73,48.152,41,55,"Generalists"
"OTU211",90,72.404,66,79,"Generalists"
"OTU600",19,27.046,21,32.525,"Specialists"
"OTU2803",24,21.588,17,26.525,"NS"
"OTU11655",13,11.926,9,15,"NS"
"OTU480",2,17.984,14,22,"Specialists"
"OTU737",25,14.162,10,18,"Generalists"
"OTU29",93,90.78,86.475,94,"NS"
"OTU9686",16,17.202,13,21,"NS"
"OTU1299",40,23.77,18.475,29,"Generalists"
"OTU3734",24,17.256,13,21,"Generalists"
"OTU323",41,38.816,33,45,"NS"
"OTU2025",1,1.9,1,2,"NS"
"OTU26733",17,11.846,8,15,"Generalists"
"OTU28009",2,1.91,1,2,"NS"
"OTU696",17,22.81,18,28.525,"Specialists"
"OTU925",23,21.216,16.475,26,"NS"
"OTU62459",35,35.388,30,41.525,"NS"
"OTU542",56,37.908,31.475,44,"Generalists"
"OTU90705",31,37.12,31,44,"NS"
"OTU332",84,60.016,52.475,67,"Generalists"
"OTU713",24,21.508,17,26,"NS"
"OTU2762",6,5.368,3,7,"NS"
"OTU143",55,45.884,39.475,52,"Generalists"
