"","SRR13800962","SRR13800927","SRR13800916","SRR13800973","SRR13801586","SRR13801575","SRR13801170","SRR13801159","SRR13801370","SRR13801359","SRR13801423","SRR13801412","SRR13801346","SRR13801345","SRR13801344","SRR13801347","SRR13801342","SRR13801341","SRR13801340","SRR13801339","SRR13801338","SRR13801337","SRR13801336","SRR13801307","SRR13801306","SRR13801305","SRR13801308","SRR13801304","SRR13801302","SRR13801301","SRR13801299","SRR13801298","SRR13801297","SRR13801296","SRR13801294","SRR13801293","SRR13801292","SRR13801295","SRR13801291","SRR13801290","SRR13801288","SRR13801287","SRR13801286","SRR13801285","SRR13801284","SRR13801283","SRR13801118","SRR13801116","SRR13801119","SRR13801114","SRR13801113","SRR13801112","SRR13801111","SRR13801110","SRR13801109","SRR13801108","SRR13801107","SRR13800971","SRR13800970","SRR13800969","SRR13800972","SRR13800968","SRR13800967","SRR13800966","SRR13800965","SRR13800964","SRR13800963","SRR13800961","SRR13800960","SRR13801565","SRR13801564","SRR13801563","SRR13801566","SRR13801561","SRR13801559","SRR13801558","SRR13801556","SRR13801555"
"OTU561",0,0,0,0,0,0,0,0,0,0,0,0,0.00405378683013644,0.00435169617248541,0.00306536141599921,0.00306718116157119,0.00267009493670886,0.00207653515277366,0.00326377212936406,0.00227542540561931,0.000296765258680384,0.0019776525264511,0.00168083844176389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761471518987342,0.00375865479723046,0.00731731434786908,0.00583811597071047,0.0033623417721519,0.00266956693691912,0.00425363537441883,0.00444927822819854,0.00672335376705557,0.0062308377015132,0.00662382600098863,0.00662382600098863,0,0,0,0,0,0,0,0,0
"OTU67",0.000593237097093138,0,0,0,0.00346089192128943,9.88924050632911e-05,0,0,0,0,9.8872849515523e-05,0.000197784810126582,0.00820644650978841,0.00919790327366235,0.00593295757935331,0.0130602552686257,0.010878164556962,0.00751507960051419,0.00830778360201761,0.00494657696873763,0.00296765258680384,0.00533966182141798,0.00543800672335377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88630746416214e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89119683481701e-05,0,0,0,0,0.0190862341772152,0.0140454995054402,0.0216552951646396,0.00979616069661587,0.0145371835443038,0.00524026102432272,0.0163220892274211,0.0116669962428317,0.0191813328060115,0.0150331322322223,0.0152249134948097,0.0114681166584281,0,0,0,0,0,0,0,0,0
"OTU102",0,0,0,0,0,0,0,0,0.000197745699031046,0,0,0,0.00444927822819854,0.00514291365839185,0.00247206565806388,0.00306718116157119,0.00296677215189873,0.00355977454761198,0.00454950054396202,0.00286901464186783,0.000989217528934613,0.00316424404232176,0.00286731263595017,0.00158243497181288,0,0.000395765311170476,0.00514240506329114,0.0769611237511129,0.00366010485705807,0.0150331322322223,0.00138476755687438,0.000494364247577615,0.00029673590504451,0.0017805915520823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010878164556962,0.00484668644906034,0.0109759715218036,0.00692657827033445,0.0100870253164557,0.00365829543207435,0.0074191314670096,0.00563575242238481,0.0119636147913783,0.00583522895855998,0.0105783489866535,0.00514087988136431,0,0,0.00237341772151899,0,0,0,0,0,0
"OTU749",0,0,0,0,0,0,0,0,0,0,0,0,0.000889855645639707,0.000791217485906439,0.000494413131612776,0.000791530622340952,0.00089003164556962,0.000296647878967665,0.00138463060033627,0.000989315393747527,9.89217528934613e-05,0.000494413131612776,0.000395491398062092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00316455696202532,0.00207715133531157,0.00276871353703154,0.00148426677221453,0.00168117088607595,0.000197745699031046,0.00168166979918884,0.00187858414079494,0.00306505833498121,0.0020769459005044,0.00158180919426594,0.000395452298566485,0,0,0,0,0,0,0,0,0
"OTU2",0.000197745699031046,9.88826263225551e-05,0.000395569620253165,0.000692383778437191,0.00118659151587066,0.000296677215189873,9.88630746416214e-05,0.000791139240506329,0.000395491398062092,9.8872849515523e-05,9.8872849515523e-05,0.000395569620253165,0.000790982796124184,0,0.000494413131612776,0.000890471950133571,0.000593354430379747,0.000593295757935331,0.000494510928691524,9.89315393747527e-05,9.89217528934613e-05,0.000593295757935331,0.000593237097093138,0.00019780437147661,0.00019776525264511,0,0.000296677215189873,9.89217528934613e-05,0,0.00019780437147661,0,0.000197745699031046,0,0.000593530517360768,0,0,9.88924050632911e-05,0.000692178384257886,9.88630746416214e-05,0.000296618548546569,0,0,0,0,0,0,0,0.000296677215189873,0.000296589223924864,0.00128521997034108,0.00138394622380388,0.000197745699031046,0.00039564787339268,0,0.000395530505290221,0.000395491398062092,0.000395491398062092,0.000197784810126582,0.000791295746785361,0.000296647878967665,0.000296853354442905,0.000296677215189873,0.000790982796124184,0.000197843505786923,0.000494364247577615,9.8872849515523e-05,0.000395608742953219,0.000296589223924864,0.000494315373208107,0.000395608742953219,0.0012853470437018,9.88924050632911e-05,9.88924050632911e-05,9.88826263225551e-05,0.000197784810126582,0,0,0
"OTU877",0,0,0,0,0,0,0,0,0,0,0,0.000197784810126582,0,0,0,0,0,0,0,0,0.000296765258680384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197784810126582,0,9.88630746416214e-05,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0,0,9.8872849515523e-05,0,0.00039564787339268,0,0,0.00187858414079494,0,0,0,0,0,0,0,0,0,0,0,0,0.00108792404312135,0,0.00514240506329114,0,0,0,0,0,0
"OTU12011",0,0.000692178384257886,0.0021756329113924,0,0.000692178384257886,0,0,0,0,0,0.000790982796124184,0,0.000197745699031046,0,0,9.8941327792619e-05,0.000395569620253165,0.000296647878967665,0,0.000197863078749505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168100464748344,0,9.8872849515523e-05,0,0,0,0,9.88924050632911e-05,0.000395491398062092,0,0,0,0,0,0,0.00178041543026706,0,0,9.8872849515523e-05,0,0.000395569620253165,9.89119683481701e-05,0.000494413131612776,0.00059370670888581,0.000296677215189873,0.00217520268934151,0.000197843505786923,0,0.000889855645639707,0.000494510928691524,0.000197726149283243,0.0013840830449827,0,0,0,0,0,0.000395569620253165,0,0,0
"OTU205",0,0,0,0,0,0,0,0,0,0,0,0,0.00108760134467075,0.00168133715755118,0.00118659151587066,0.00257247452260809,0.00197784810126582,0.00118659151587066,0.00316486994362575,0.000296794618124258,0.000197843505786923,0.000593295757935331,0.00138421989321732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296677215189873,0.0019782393669634,0.00524077919509542,0.00148426677221453,0.00187895569620253,0.0012853470437018,0.00187951330497576,0.00336167688352778,0.00415265967965197,0.00296706557214914,0.00316361838853188,0.00247157686604053,0,0,0,0,0,0,0,0,0
"OTU1529",0,0,0,0.00385756676557863,0.000692178384257886,0,0,0,0.00524026102432272,0,0,0,0,0.00929680545940065,0.0319390883021853,0,0,0.00118659151587066,0,0,0.00247304382233653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00435126582278481,0,0.000395569620253165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197784810126582,0.00336300692383778,0.000395530505290221,0.000890560063328716,0,0.000296618548546569,0.000890295776041151,0.00296618548546569,9.8872849515523e-05,9.89021857383048e-05,0.000296589223924864,9.88630746416214e-05,0.0210661655622589,0.00217520268934151,0,0,0.00108770888954811,0,0.000692246835443038,0.00257120253164557,0
"OTU423",0,0,0,0,0,0,0,0,0,0,0,0,0.00316393118449674,0.00267035901493423,0.00128547414219322,0.00187988522805976,0.00257120253164557,0.000889943636902996,0.00375828305805558,0.00178076770874555,9.89217528934613e-05,0.000593295757935331,0.00168083844176389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00534018987341772,0.00286844708209693,0.00543854444774053,0.00415594696220067,0.00494462025316456,0.00247182123788808,0.00296765258680384,0.00237294838837255,0.00563575242238481,0.00385718524379389,0.00474542758279782,0.00296589223924864,0,0,0,0,0,0,0,0,0
