"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU173",30,16.266,11,21,"Generalists"
"OTU236",25,32.77,26,39,"Specialists"
"OTU1",75,76.32,73,79,"NS"
"OTU827",2,4.474,2,7,"NS"
"OTU107",23,21.984,16,28,"NS"
"OTU561",26,14.138,10,19,"Generalists"
"OTU1273",2,1.37,1,2,"NS"
"OTU3638",5,2.886,1,5,"NS"
"OTU67",65,34.778,28.475,42,"Generalists"
"OTU6679",44,36.646,30,43,"Generalists"
"OTU2407",7,7.688,5,11.525,"NS"
"OTU102",57,35.032,28.475,42,"Generalists"
"OTU75",39,34.616,29,41,"NS"
"OTU5",61,38.426,31,45,"Generalists"
"OTU12",53,33.842,28,40,"Generalists"
"OTU7",54,34.144,28,41,"Generalists"
"OTU749",25,8.122,5,12,"Generalists"
"OTU2",50,8.74,5,13,"Generalists"
"OTU877",29,8.69,5,13,"Generalists"
"OTU12011",29,7.82,4.475,11,"Generalists"
"OTU2034",1,3.758,2,6,"Specialists"
"OTU24",34,21.168,15,27,"Generalists"
"OTU187",32,18.534,14,24,"Generalists"
"OTU205",24,29.492,24,35.525,"NS"
"OTU25",42,28.64,22,35,"Generalists"
"OTU48",36,42.788,35.475,50,"NS"
"OTU1529",46,23.96,18.475,29.525,"Generalists"
"OTU2316",8,8.246,5,12,"NS"
"OTU423",23,11.346,7,16,"Generalists"
"OTU526",7,5.202,3,8,"NS"
"OTU1509",24,11.744,8,16,"Generalists"
"OTU135",28,23.196,18,29,"NS"
"OTU689",30,16.662,12,22,"Generalists"
"OTU50",24,14.736,10,20,"Generalists"
"OTU3018",28,14.416,10,20,"Generalists"
"OTU91",52,30.152,24,37,"Generalists"
"OTU742",7,6.082,3,9,"NS"
"OTU100",20,5.348,3,8.52499999999998,"Generalists"
"OTU13116",24,6.5,4,10,"Generalists"
"OTU177",24,17.334,12,23,"Generalists"
"OTU7288",11,2.802,1,5,"Generalists"
"OTU225",7,4.688,2,7,"NS"
"OTU12774",5,2.102,1,4,"Generalists"
"OTU4008",5,3.336,2,5.52499999999998,"NS"
"OTU53",50,18.738,14,24,"Generalists"
"OTU233",1,2.896,1,5,"NS"
"OTU146",32,11.326,7,16,"Generalists"
"OTU3757",24,5.658,3,9,"Generalists"
"OTU76",47,32.294,26,39,"Generalists"
"OTU12137",4,2.314,1,4,"NS"
"OTU715",28,13.924,10,18.525,"Generalists"
"OTU149",24,10.932,7,15,"Generalists"
"OTU30",28,24.098,18,31,"NS"
"OTU594",23,8.348,5,12,"Generalists"
"OTU631",25,11.374,7,16,"Generalists"
"OTU830",23,7.734,4,11,"Generalists"
"OTU7602",30,16.524,12,21.525,"Generalists"
"OTU3",60,33.068,27,39,"Generalists"
"OTU7361",5,2.23,1,4,"Generalists"
"OTU8836",27,9.198,5.475,13,"Generalists"
"OTU2072",1,8.012,5,12,"Specialists"
"OTU293",53,18.466,13,24,"Generalists"
"OTU5531",28,8.248,5,12,"Generalists"
"OTU10392",37,11.218,7,16,"Generalists"
"OTU121",24,8.23,5,12,"Generalists"
"OTU809",24,7.936,5,11.525,"Generalists"
"OTU7504",18,4.254,2,7,"Generalists"
"OTU2737",1,1.626,1,3,"NS"
"OTU5396",10,3.68,2,6,"Generalists"
"OTU674",23,6.222,3,10,"Generalists"
"OTU9163",30,11.562,8,16,"Generalists"
"OTU1192",5,2.046,1,4,"Generalists"
"OTU939",7,3.846,2,6,"Generalists"
"OTU1644",1,1.67,1,3,"NS"
"OTU1736",3,10.648,7,15,"Specialists"
"OTU58",39,33.372,26,40,"NS"
"OTU3896",11,3.35,2,6,"Generalists"
"OTU289",33,15.304,11,20,"Generalists"
"OTU214",37,27.588,22,34,"Generalists"
"OTU137",26,9.6,6,14,"Generalists"
"OTU200",31,8.39,5,12,"Generalists"
"OTU655",25,14.046,10,19,"Generalists"
"OTU552",28,13.724,10,19,"Generalists"
"OTU1792",11,8.19,5,12,"NS"
"OTU10",11,2.796,1,5,"Generalists"
"OTU5938",2,3.04,1,5,"NS"
"OTU926",23,7.406,4,11,"Generalists"
"OTU2462",37,12.35,8,17,"Generalists"
"OTU9487",32,7.828,4.475,11,"Generalists"
"OTU4672",24,7.614,4.475,11,"Generalists"
"OTU94",43,18.326,14,23,"Generalists"
"OTU867",6,6.432,4,10,"NS"
"OTU469",1,7.24,4,11,"Specialists"
"OTU708",19,5.506,3,8,"Generalists"
"OTU532",21,15.972,11,22,"NS"
"OTU649",32,9.186,6,13,"Generalists"
"OTU7127",17,3.912,2,7,"Generalists"
"OTU2559",15,3.888,2,6,"Generalists"
"OTU1007",14,4.868,2,8,"Generalists"
"OTU4938",4,1.824,1,3,"Generalists"
