"","SRR13801311","SRR13801300","SRR13801289","SRR13801322","SRR13801278","SRR13801219","SRR13801208","SRR13801197","SRR13801185","SRR13801126","SRR13801115","SRR13801016","SRR13801015","SRR13801018","SRR13801014","SRR13801013","SRR13801011","SRR13801010","SRR13801009","SRR13801008","SRR13801349","SRR13801320","SRR13801319","SRR13801318","SRR13801321","SRR13801317","SRR13801316","SRR13801315","SRR13801314","SRR13801313","SRR13801312","SRR13801310","SRR13801309","SRR13801220","SRR13801221","SRR13801216","SRR13801215","SRR13801214","SRR13801213","SRR13801212","SRR13801211","SRR13801210","SRR13801179","SRR13801178","SRR13801177","SRR13801176","SRR13801127","SRR13801125","SRR13801124","SRR13801123","SRR13801122","SRR13801121","SRR13801120","SRR13801074","SRR13801073","SRR13801075","SRR13801071","SRR13801069","SRR13801068","SRR13801067","SRR13801066","SRR13801065","SRR13801064","SRR13801576","SRR13801574","SRR13801572","SRR13801569","SRR13801175","SRR13801174","SRR13801173","SRR13801352","SRR13801351","SRR13801353","SRR13801424","SRR13801422","SRR13801421","SRR13801420","SRR13801419","SRR13801418","SRR13801417","SRR13801416","SRR13801529","SRR13801528","SRR13801527","SRR13801530","SRR13801526","SRR13801522","SRR13801521","SRR13800958","SRR13800956","SRR13801130","SRR13801129","SRR13801128","SRR13801131","SRR13801396","SRR13801395","SRR13801393","SRR13801392","SRR13801391","SRR13801390","SRR13801389","SRR13801435","SRR13801434","SRR13801433","SRR13801437","SRR13801432","SRR13801431","SRR13801430","SRR13801429","SRR13801428","SRR13801427","SRR13801426","SRR13801007","SRR13801266","SRR13801265","SRR13801264","SRR13801267","SRR13801263","SRR13801261","SRR13801260","SRR13801259","SRR13801258","SRR13801257","SRR13801256","SRR13801097","SRR13801095","SRR13801098","SRR13801093","SRR13801092","SRR13801091","SRR13801090","SRR13801089","SRR13801088","SRR13801087","SRR13801511","SRR13801510","SRR13801509","SRR13801512","SRR13801508","SRR13801507","SRR13801506","SRR13801505","SRR13801503","SRR13801502","SRR13801501","SRR13801500","SRR13801488","SRR13801487","SRR13801486","SRR13801490","SRR13801485","SRR13801484","SRR13801483","SRR13801481","SRR13801480","SRR13801479","SRR13801477"
"OTU173",0.00375828305805558,0.00296823983377857,0.00277008310249307,0.000593295757935331,0.00395491398062092,0.0019776525264511,0.00356294536817102,0.00108867775138559,0.00128560126582278,0.00108792404312135,0.00237294838837255,0,0,0,0,0.00019780437147661,0,0,0,0,9.89119683481701e-05,0.00504301394245031,0.00227407553885703,0.00484429065743945,0.0077128448531593,0.00494413131612776,0.00573462527190034,0.0101849105112232,0.00365901898734177,0.00484572784810127,0.00385565991102323,0.00573746166782075,0.00721914556962025,0,0,0,0,0,0,0,0,0.0012853470437018,0,0,0,0,0,0,0,0,0,0,0,0,0.000791452314998021,0.00436205016357688,0,0,0.00178094390026714,0,0.000296706557214914,0,0,0,0,0,0,0,0,0,0,0,0,9.89315393747527e-05,0,0,0,0,0,0,0,0.00415348101265823,0.00711954909522397,0.162298486796558,0,0.00019780437147661,0.00444971818451498,0,0.000791530622340952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0,0,0,0,0,0,0.00603661553686294,0.00721985955889625,0.00485100485100485,0.00820806962025316,0.00217584808624271,0.00395608742953219,0.00554071435638666,0.00622960545832097,0.00444971818451498,0.00662775744386191,0.00524129746835443,0.00652625333728864,0.00524233432245302,0.0101889405480265,0.0055379746835443,0.00415183867141162,0.00247549262303198,0.00395608742953219,0.00474824413888614,0.00633161851998417,0.00632973988725151,0.00484572784810127,0.00207674050632911,0.00177988727380599,0.00603184020567586,0.00613072283199842,0.00326344936708861,0.00742133386107263,0.00721914556962025,0.00079137402314769,0.00346294647274166,0.00534018987341772,0.00415594696220067,0.00919335705812574,0.00751582278481013,0.00939199209095403,0.00988924050632911,0.00702970297029703,0.00840419220881946,0.00632973988725151,0.010579394898161,0.0102868447082097,0.0106803797468354,0.0124579790389559
"OTU236",0.00662644644446642,0.00326506381715643,0.00573802928373566,0.000889943636902996,0.0108760134467075,0.00177988727380599,0.00445368171021378,0.00178147268408551,0.00257120253164557,0.000791217485906439,0.00395491398062092,0,0,0,0.12113121724513,0,0,0,0.000296677215189873,0,0.0107814045499505,0.00583407495303075,0.00286731263595017,0.00355907068709837,0.0180955206170276,0.00711954909522397,0.0316393118449674,0.0267971917334124,0.00870253164556962,0.00810917721518987,0.0087988136431043,0.00910080126619844,0.00919699367088608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00860449015923252,0.00712307083498219,0.00634480023793001,0.00455130107846047,0.00128560126582278,0.00880577817354309,0.00771666007123071,0.0163188606468203,0.0074220682830282,0.0300059417706477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8941327792619e-05,0,0.168199347374666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00999505195447798,0.0193848284047077,0.0221760221760222,0.0213607594936709,0.0040549896152705,0.00286816338641084,0.00524389037300881,0.0178977553643825,0.00583407495303075,0.00989217528934613,0.00692246835443038,0.0103826757638683,0.0108803165182987,0.0195865070729053,0.0122626582278481,0.00741399762752076,0.0028715714427171,0.00761546830184947,0.00771589672568998,0.0154333201424614,0.00830778360201761,0.00603243670886076,0.00504351265822785,0.00336200929496687,0.0161178680905765,0.0137446850588352,0.0078125,0.0093014051058777,0.0141416139240506,0.00168166979918884,0.00415553576729,0.00949367088607595,0.00494755590738175,0.0145314353499407,0.0208662974683544,0.0291646070192783,0.0324367088607595,0.0251485148514852,0.0180937314613407,0.00850558797349421,0.0250148309274273,0.0281899109792285,0.0430181962025316,0.0461736207237493
"OTU1",0.732172881020671,0.407143563866627,0.416303917688959,0.169287056264214,0.299980225430097,0.0756452091367547,0.0786817102137767,0.302850356294537,0.0778283227848101,0.0327366234793789,0.116076725331224,0.0019776525264511,0.0710117693601029,0,9.88826263225551e-05,9.89021857383048e-05,0,0.0473647780085039,0.166238132911392,0.0443125618199802,0,0.0432117077029566,0.0250148309274273,0.0251112209589718,0.0498368436665678,0.032235736181153,0.0704963417045679,0.0499357262928903,0.0245253164556962,0.0270965189873418,0.0739495798319328,0.0199821940844792,0.0443037974683544,0.00702344445543575,0.0265188996635662,0.0954122997824797,0.0150286731263595,0,0,0.0430650430650431,0.123282254078102,0.000197745699031046,0.190268987341772,0.162659542891066,0.00395569620253165,0.00781481847858344,0.000791217485906439,0.0329376854599407,0.0712518555170708,0.00336333959837768,0.0711317768104472,0.0325259515570934,0.105419303797468,0.0211650677479972,0.0228531855955679,0.0154654505799544,0.0100920154348471,0.00721914556962025,0.0171168497081231,0.0175108824693312,0.0406487983384433,0.0179119247897081,0.0428797781738958,0.00929221035982602,0.0032624814631735,0.0556654142772395,0.164342924948087,0.0104805220486454,0.0166122812221893,0.00810837535844952,0.0461249133920618,9.88924050632911e-05,0.00899653979238754,0.000296794618124258,0.0157223375852863,0.00118706103472154,9.88924050632911e-05,0.0041538918010088,0.107485414812617,0.00187839841819081,0.0269922879177378,0,0,0,0,0.00019780437147661,0,9.88826263225551e-05,0.00118729593351143,9.88826263225551e-05,0.00108770888954811,0.00633287156144864,0,0.081463173504696,9.89805008413343e-05,0,0,0,0.00178023934328949,0,0,0.0167111638485118,0.0895064780931659,0.000197726149283243,0.0349124715656216,0.0272034820457018,0.211806585582913,0.21522491349481,0.170176999901117,0.234823017599367,0.293681400177989,0.243326082657702,0.20672268907563,0.0344383968332509,0.0414400158243497,0.0408870408870409,0.0489517405063291,0.0214617743052121,0.019780437147661,0.0272088651429702,0.0314446751705725,0.0301592010283793,0.0261153427638738,0.0272943037974684,0.0328290319390883,0.029080118694362,0.0401622316747453,0.0328322784810127,0.0258007117437722,0.00881275373799386,0.0201760458906142,0.0233455336828569,0.0297783933518006,0.0393630699238453,0.0221518987341772,0.0103837025316456,0.0183921684959953,0.0348066844655394,0.0356966281024424,0.0252175632911392,0.0306748466257669,0.0454905063291139,0.00662775744386191,0.0243395666369843,0.0191851265822785,0.0194933702750841,0.0599051008303677,0.0572587025316456,0.0570439940682155,0.0643789556962025,0.0568316831683168,0.0679256476171643,0.0328355256651172,0.0604113110539846,0.0649851632047478,0.0815862341772152,0.0795926438599961
"OTU713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88826263225551e-05,0.00405458860759494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237271379139891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340286702916461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU827",0,0,0,0,0,0,0,0,0,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296706557214914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88630746416214e-05,0,0,0,0,0,9.89805008413343e-05,0,0,0,0,0,0,0,0.000494413131612776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU107",0.00662644644446642,0.00445235975066785,0.00652948159873368,0.00207653515277366,0.00810757366027289,0.00336200929496687,0.00692794932699921,0.00415676959619952,0.00247231012658228,0.00217584808624271,0.00395491398062092,0.00019776525264511,0,0,0,0,9.89217528934613e-05,0,0,0,0,0.00899831899535252,0.00435040537868301,0.00939199209095403,0.0163156333432216,0.0133491545535449,0.0153252916749061,0.0157223375852863,0.0078125,0.00870253164556962,0.00939199209095403,0.00979325353645267,0.0131526898734177,0,0,0,0,0,0,0,9.88630746416214e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91375037176564e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197726149283243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197784810126582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179119247897081,0.0150331322322223,0.00920700920700921,0.0183939873417722,0.0062308377015132,0.00721985955889625,0.0117740180073217,0.0111737367744487,0.0210619994067042,0.0134533583935107,0.00988924050632911,0.00741619697419163,0.00909990108803165,0.0119695321001088,0.00988924050632911,0.00751285092922104,0.00435686701653629,0.0062308377015132,0.00850727074883767,0.00969529085872576,0.0136485016318861,0.00702136075949367,0.00286787974683544,0.00632848808464353,0.0124592109166419,0.0138435676851577,0.00979034810126582,0.0106867207599446,0.0143393987341772,0.00366010485705807,0.00870683684575047,0.00613132911392405,0.00613496932515337,0.0219454329774614,0.0182950949367089,0.0242214532871972,0.0176028481012658,0.0159405940594059,0.017203875815701,0.00830778360201761,0.0200711884516512,0.0183976261127596,0.0245253164556962,0.0231362467866324
"OTU561",0.00296706557214914,0.00148411991688928,0.0016818361693708,0.000791061010580441,0.00187858414079494,0.000593295757935331,0.00168250197941409,0.000494853523357086,0.000791139240506329,0.000395608742953219,0.00168083844176389,0,0,0,0,0,0,0,0,0,0,0.00257094828438643,0.00168083844176389,0.00286702916460702,0.00533966182141798,0.0019776525264511,0.00701997231560214,0.00672401858993375,0.00296677215189873,0.0033623417721519,0.00177953534354918,0.00267088732812345,0.00405458860759494,0,0.00039580447259054,0.00306505833498121,0.000494364247577615,0,0,0,0.000395452298566485,0.00711884516511766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.90295107942167e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237271379139891,0,9.88924050632911e-05,0,0,9.89021857383048e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286986640277091,0.00435169617248541,0.00445500445500446,0.00524129746835443,0.00187914152902779,0.0019780437147661,0.00326506381715643,0.00405418767922476,0.00237318303174132,0.00267088732812345,0.00326344936708861,0.00336200929496687,0.00306627101879327,0.00267088732812345,0.00316455696202532,0.00227362593910637,0.00178235468858303,0.00108792404312135,0.00217627856365615,0.00306687772061733,0.00365938087231728,0.00178006329113924,0.000692246835443038,0.00158212202116088,0.00336200929496687,0.00385642242657965,0.00237341772151899,0.00296853354442905,0.00405458860759494,0.000989217528934613,0.00138517858909667,0.00158227848101266,0.00178112012665743,0.00711743772241993,0.00731803797468354,0.00820563519525457,0.00850474683544304,0.00534653465346535,0.00672335376705557,0.00306596775788745,0.00613011666996243,0.00751730959446093,0.0089003164556962,0.00810757366027289
"OTU1561",0,0,0,0,0,9.88826263225551e-05,0.000197941409342835,0.0230601741884402,0.00118670886075949,0,0.00711884516511766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00613072283199842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1273",0,0,0,0,0,0,0,0,0.0010878164556962,0,9.8872849515523e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197843505786923,0,0,0,0,0,0.000693000693000693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.88924050632911e-05,0,0.000296794618124258,0,0,0.0106803797468354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108749382105783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
