"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU17",90,150.908,146,155,"Specialists"
"OTU1139",48,45.86,39,52,"NS"
"OTU539",135,83.566,75.475,92,"Generalists"
"OTU14859",28,40.66,34,47,"Specialists"
"OTU1133",138,89.796,81.475,99,"Generalists"
"OTU5",157,156.998,157,157,"NS"
"OTU177",70,73.838,65,82,"NS"
"OTU88563",8,18.702,14,23,"Specialists"
"OTU31",157,155.952,154,157,"NS"
"OTU843",31,29.876,24,36,"NS"
"OTU71",133,100.714,92.475,109,"Generalists"
"OTU61",137,130.29,122,138,"NS"
"OTU957",103,70.372,61,78,"Generalists"
"OTU273",115,88.824,80,97.525,"Generalists"
"OTU3",150,152.894,149,156,"NS"
"OTU4781",75,44.13,37,51,"Generalists"
"OTU49",157,147.162,142,152.525,"Generalists"
"OTU5652",8,18.642,14.475,23,"Specialists"
"OTU774",152,116.404,107,125,"Generalists"
"OTU3092",11,9.868,7,12,"NS"
"OTU43",137,140.254,133,146.525,"NS"
"OTU224",117,92.418,83,101.525,"Generalists"
"OTU4878",48,36.124,30,42.525,"Generalists"
"OTU138",83,103.14,94,112,"Specialists"
"OTU904",67,44.276,37,52,"Generalists"
"OTU77",120,122.612,114,131,"NS"
"OTU29389",129,133.426,125,141,"NS"
"OTU614",24,23.926,19,29,"NS"
"OTU83440",157,140.138,133,147,"Generalists"
"OTU2301",80,46.742,39,53,"Generalists"
"OTU86477",10,8.294,6,11,"NS"
"OTU8308",32,25.622,20,31,"Generalists"
"OTU94",91,56.722,49,64,"Generalists"
"OTU13",140,149.012,143.475,154,"Specialists"
"OTU62369",129,77.124,67,85,"Generalists"
"OTU1294",36,26.892,21,33,"Generalists"
"OTU846",62,41.414,34.475,48,"Generalists"
"OTU22643",3,2.776,2,3,"NS"
"OTU46",154,151.766,147,156,"NS"
"OTU53",156,141.224,136,147.525,"Generalists"
"OTU164",101,91.578,83,99.525,"Generalists"
"OTU395",16,23.254,18,28,"Specialists"
"OTU250",74,92.254,84,101,"Specialists"
"OTU3570",2,1.928,1,2,"NS"
"OTU6537",3,5.15,3,6,"NS"
"OTU5806",9,9.898,7,12,"NS"
"OTU116",128,86.43,78,95,"Generalists"
"OTU189",134,122.6,114,130,"Generalists"
"OTU12",140,149.048,143,154,"Specialists"
"OTU321",156,122.162,113,131,"Generalists"
"OTU623",153,125.026,116.475,133,"Generalists"
"OTU451",51,46.132,39,53,"NS"
"OTU36547",154,113.092,105,122,"Generalists"
"OTU97132",6,7.732,5,10,"NS"
"OTU586",83,52.554,46,61,"Generalists"
"OTU73992",16,13.138,10,16,"NS"
"OTU552",116,79.796,71.475,87,"Generalists"
"OTU3783",6,7.086,5,9,"NS"
"OTU79",123,132.724,124,140,"Specialists"
"OTU28",154,151.828,146.475,156,"NS"
"OTU4061",69,46.08,40,54,"Generalists"
"OTU10038",17,14.644,11,18,"NS"
"OTU718",62,62.26,55,71,"NS"
"OTU515",15,30.138,25,36,"Specialists"
"OTU553",81,57.586,50,65,"Generalists"
"OTU65",74,112.598,104,120,"Specialists"
"OTU76",151,128.874,121,136,"Generalists"
"OTU683",116,60.556,53,68,"Generalists"
"OTU124",62,43.986,37,51.525,"Generalists"
"OTU1114",68,36.998,31,43,"Generalists"
"OTU252",128,108.74,100,117.525,"Generalists"
"OTU16425",1,1.924,1,2,"NS"
"OTU285",36,34.712,28,41,"NS"
"OTU1691",85,72.698,65,81,"Generalists"
"OTU25369",157,145.478,139,151,"Generalists"
"OTU27622",145,137.542,130,144,"Generalists"
"OTU88016",62,65.072,57,73,"NS"
