"","observed","mean.simulated","lowCI","uppCI","sign"
"OTU173",82,42.25,35,50.525,"Generalists"
"OTU236",82,57.886,48.475,67.525,"Generalists"
"OTU1",141,116.352,108,124,"Generalists"
"OTU713",4,6.176,4,9,"NS"
"OTU156",1,34.532,27.475,42,"Specialists"
"OTU827",5,3.026,1,5,"NS"
"OTU107",73,47.17,39,55,"Generalists"
"OTU561",76,29.494,23,36,"Generalists"
"OTU1561",6,13.38,9,18,"Specialists"
"OTU1273",8,8.654,5,12,"NS"
"OTU3638",7,4.604,2.475,7,"NS"
"OTU1894",2,3.716,2,6,"NS"
"OTU67",130,52.486,45,60.525,"Generalists"
"OTU6679",114,79.442,70,89,"Generalists"
"OTU2407",3,4.16,2,7,"NS"
"OTU102",130,56.996,48,66,"Generalists"
"OTU75",49,44.486,36,53,"NS"
"OTU5",145,104.094,95.475,113,"Generalists"
"OTU12",112,73.982,65.475,83,"Generalists"
"OTU7",142,86.952,77,97,"Generalists"
"OTU11151",4,5.858,3,9,"NS"
"OTU749",67,17.762,12.475,23.525,"Generalists"
"OTU5362",2,1.97,1,3,"NS"
"OTU2",72,9.73,6,14,"Generalists"
"OTU877",41,17.674,13,23,"Generalists"
"OTU12011",56,8.716,5,13,"Generalists"
"OTU2034",7,18.58,14,25,"Specialists"
"OTU24",69,37.41,30,46,"Generalists"
"OTU187",96,48.94,41,57,"Generalists"
"OTU205",68,34.25,27,42,"Generalists"
"OTU25",118,64.396,55,73,"Generalists"
"OTU2160",9,6.616,4,10,"NS"
"OTU48",84,61.58,52,71,"Generalists"
"OTU1529",31,18.518,13.475,24,"Generalists"
"OTU2316",42,13.68,9,19,"Generalists"
"OTU4094",2,2.87,1,5,"NS"
"OTU423",67,24.818,19,32,"Generalists"
"OTU526",28,25.068,19,32,"NS"
"OTU1509",76,27.944,22,35,"Generalists"
"OTU135",101,62.124,54,71.525,"Generalists"
"OTU689",55,9.092,5,13,"Generalists"
"OTU50",75,62.062,54,71,"Generalists"
"OTU3018",89,30.398,23,38,"Generalists"
"OTU91",78,39.2,31,47,"Generalists"
"OTU742",36,17.248,12,23,"Generalists"
"OTU367",12,15.792,11,21,"NS"
"OTU100",56,10.298,7,15,"Generalists"
"OTU13116",74,10.44,7,15,"Generalists"
"OTU177",77,28.908,23,36,"Generalists"
"OTU403",23,13.37,9,18,"Generalists"
"OTU7288",44,6.344,3,10,"Generalists"
"OTU225",62,44.456,37.475,52,"Generalists"
"OTU12774",10,3.434,1,5,"Generalists"
"OTU4008",4,1.96,1,3,"Generalists"
"OTU53",92,39.35,32,46.525,"Generalists"
"OTU233",12,26.476,20,34,"Specialists"
"OTU146",129,37.668,31,45,"Generalists"
"OTU3757",62,23.064,16,29.525,"Generalists"
"OTU76",96,33.962,27,41,"Generalists"
"OTU12137",4,2.002,1,3,"Generalists"
"OTU715",76,21.812,16,28,"Generalists"
"OTU149",74,32.938,26,41,"Generalists"
"OTU30",74,59.224,50,68.525,"Generalists"
"OTU594",69,24.546,19,31,"Generalists"
"OTU631",83,37.744,30,45,"Generalists"
"OTU830",65,16.266,11,21,"Generalists"
"OTU7602",66,14.994,10,21,"Generalists"
"OTU3",105,48.73,40,57,"Generalists"
"OTU7361",17,4.946,3,8,"Generalists"
"OTU8836",82,19.64,14,25,"Generalists"
"OTU293",94,32.59,26,40,"Generalists"
"OTU5531",75,17.02,12,22.525,"Generalists"
"OTU10392",103,37.522,30,45,"Generalists"
"OTU918",19,24.564,19,31,"NS"
"OTU1531",8,23.882,18,30,"Specialists"
"OTU4287",1,1.44,1,2,"NS"
"OTU121",79,51.84,43.475,61,"Generalists"
"OTU809",68,21.492,16,27.525,"Generalists"
"OTU7504",43,13.104,9,18,"Generalists"
"OTU2737",11,4.306,2,7,"Generalists"
"OTU5396",3,5.6,3,9,"NS"
"OTU674",65,17.414,12,23,"Generalists"
"OTU4040",6,3.576,2,6,"NS"
"OTU9163",63,12.564,8,17,"Generalists"
"OTU1192",9,7.468,4,11,"NS"
"OTU939",38,17.792,12,23,"Generalists"
"OTU1644",4,12.896,8,17.525,"Specialists"
"OTU1736",3,11.226,7,15,"Specialists"
"OTU58",86,55.876,47,65,"Generalists"
"OTU3896",18,4.202,2,7,"Generalists"
"OTU289",84,31.252,25,39,"Generalists"
"OTU214",30,17.756,12.475,23.525,"Generalists"
"OTU137",81,37.318,30,45,"Generalists"
"OTU200",86,50.418,42,59,"Generalists"
"OTU655",79,42.918,35,51,"Generalists"
"OTU552",67,12.538,8,17,"Generalists"
"OTU1792",16,14.682,10,19.525,"NS"
"OTU6002",2,1.714,1,3,"NS"
"OTU10",37,5.88,3,9,"Generalists"
"OTU926",74,15.488,11,20.525,"Generalists"
"OTU2462",24,12.07,8,16.525,"Generalists"
"OTU9487",101,16.436,11,22,"Generalists"
"OTU4672",62,14.332,10,20,"Generalists"
"OTU94",112,41.462,34,49,"Generalists"
"OTU867",7,13.11,9,18,"Specialists"
"OTU469",1,34.926,27.475,42.525,"Specialists"
"OTU708",56,11.378,8,16,"Generalists"
"OTU532",62,30.826,24,38,"Generalists"
"OTU649",82,23.094,17,29,"Generalists"
"OTU7127",40,5.73,3,9,"Generalists"
"OTU2559",44,7.248,4,11,"Generalists"
"OTU1007",25,23.844,18,30,"NS"
"OTU2924",4,8.93,6,13,"Specialists"
"OTU4938",11,3.156,1,5,"Generalists"
"OTU1170",65,14.52,10,20,"Generalists"
"OTU301",80,68.976,60,78,"Generalists"
"OTU679",69,15.518,10,21,"Generalists"
"OTU5848",19,35.792,28,43,"Specialists"
"OTU56",12,51.962,43,60,"Specialists"
"OTU4421",31,12.22,8,16,"Generalists"
"OTU1056",6,11.342,7,16,"Specialists"
"OTU11449",3,1.68,1,3,"NS"
"OTU256",44,17.946,13,24,"Generalists"
"OTU11846",48,8.25,5,12,"Generalists"
"OTU280",63,22.9,17,29,"Generalists"
"OTU181",1,3.264,1,6,"NS"
"OTU2814",25,10.418,7,15,"Generalists"
"OTU123",101,27.196,21,34,"Generalists"
"OTU10124",64,9.736,6,14,"Generalists"
"OTU437",39,24.916,19,32,"Generalists"
"OTU108",60,44.352,37,53,"Generalists"
"OTU4238",6,3.098,1,5,"Generalists"
"OTU5088",52,9.628,6,14,"Generalists"
"OTU8016",2,2.638,1,4,"NS"
"OTU5708",10,11.916,8,17,"NS"
"OTU263",81,57.178,48,66,"Generalists"
"OTU1252",64,17.918,13,23.525,"Generalists"
"OTU8314",70,11.614,7,17,"Generalists"
"OTU1485",81,12.356,8,17,"Generalists"
"OTU351",46,25.878,20,33,"Generalists"
"OTU3481",6,12.086,8,17,"Specialists"
"OTU1575",17,22.444,16,29,"NS"
"OTU11063",3,1.974,1,3,"NS"
"OTU2386",6,15.118,10,21,"Specialists"
"OTU1524",8,18.626,13,24,"Specialists"
"OTU6115",44,7.918,4,12,"Generalists"
"OTU40",93,80.984,72,90,"Generalists"
"OTU2787",9,5.522,3,8,"Generalists"
"OTU432",1,1.468,1,2,"NS"
"OTU876",64,19.352,14,25,"Generalists"
"OTU10471",15,7.926,5,12,"Generalists"
"OTU9657",14,4.448,2,7,"Generalists"
"OTU2222",13,11.538,7,16,"NS"
"OTU15",43,6.42,4,10,"Generalists"
"OTU673",69,14.48,10,19,"Generalists"
"OTU2017",1,6.302,3,9.52499999999998,"Specialists"
"OTU182",77,40.5,32,48,"Generalists"
"OTU2641",38,6.234,3,10,"Generalists"
"OTU8542",25,4.978,2,8,"Generalists"
"OTU2125",6,2.982,1,5,"Generalists"
"OTU12935",25,5.36,3,9,"Generalists"
"OTU73",59,64.29,56,73,"NS"
"OTU1642",68,12.772,8.475,17,"Generalists"
"OTU2285",45,7.142,4,10,"Generalists"
"OTU6345",31,8.824,5,13,"Generalists"
"OTU636",46,24.062,18,30,"Generalists"
"OTU6063",6,3.606,2,6,"NS"
"OTU154",9,26.208,20,33,"Specialists"
"OTU2642",40,6.522,4,10,"Generalists"
"OTU396",6,18.154,13,23,"Specialists"
"OTU1815",46,16.422,11,22,"Generalists"
"OTU3466",4,6.946,4,10,"NS"
"OTU2794",69,14.862,10,20,"Generalists"
"OTU3523",35,8.234,5,12,"Generalists"
"OTU929",6,14.672,11,19,"Specialists"
"OTU3109",54,10.028,6,14,"Generalists"
"OTU1448",74,25.702,19,33,"Generalists"
"OTU422",24,36.688,29,44,"Specialists"
"OTU287",32,26.696,21,34,"NS"
"OTU776",8,25.09,19,32,"Specialists"
"OTU2467",19,4.77,2,7,"Generalists"
"OTU1643",18,10.616,7,15,"Generalists"
"OTU1156",6,17.654,13,23,"Specialists"
"OTU7766",58,12.064,8,17,"Generalists"
"OTU148",18,55.748,47,65,"Specialists"
"OTU4217",9,6.906,4,10.525,"NS"
"OTU10931",83,13.084,9,17,"Generalists"
"OTU13030",17,4.42,2,7,"Generalists"
"OTU5402",10,29.222,22,36,"Specialists"
"OTU1809",31,13.188,9,18,"Generalists"
"OTU14",93,80.216,70,89.525,"Generalists"
"OTU176",10,3.9,2,6,"Generalists"
"OTU223",2,1.786,1,3,"NS"
"OTU12045",46,7.15,4,11,"Generalists"
"OTU520",60,20.924,15,27,"Generalists"
"OTU9",33,5.466,3,8,"Generalists"
"OTU1291",3,24.566,18,31,"Specialists"
"OTU4911",3,2.498,1,4,"NS"
"OTU1383",28,5.176,3,8,"Generalists"
"OTU143",47,54.476,45,63.525,"NS"
"OTU7437",3,1.776,1,3,"NS"
"OTU120",62,10.846,7,15,"Generalists"
"OTU163",9,59.836,51,69.525,"Specialists"
"OTU7840",17,5.054,3,8,"Generalists"
"OTU10521",13,3.796,2,6,"Generalists"
"OTU5716",8,2.914,1,5,"Generalists"
"OTU1284",33,24.5,18,32,"Generalists"
"OTU12189",67,9.638,6,14,"Generalists"
"OTU131",24,49.048,41,57,"Specialists"
"OTU476",17,25.784,19,32,"Specialists"
"OTU13013",24,5.11,3,8,"Generalists"
"OTU183",46,51.648,43,60,"NS"
"OTU9703",17,4.38,2,7,"Generalists"
"OTU3359",11,4.82,2,8,"Generalists"
"OTU7264",3,5.466,3,9,"NS"
"OTU7451",8,2.644,1,4.52499999999998,"Generalists"
"OTU5399",21,4.11,2,7,"Generalists"
"OTU11860",19,4.072,2,7,"Generalists"
"OTU5665",6,3.154,1,5,"Generalists"
"OTU115",14,5.916,3,9,"Generalists"
"OTU279",7,38.092,30,46,"Specialists"
"OTU709",19,16.062,11,22,"NS"
"OTU4381",3,2.806,1,5,"NS"
"OTU364",5,16.326,11,21,"Specialists"
"OTU11196",4,2.19,1,4,"NS"
"OTU186",17,25.252,19,32,"Specialists"
"OTU2521",12,8.008,5,12,"NS"
"OTU127",33,43.518,36,52,"Specialists"
"OTU2208",13,15.828,11,21,"NS"
"OTU5602",9,8.17,5,11.525,"NS"
"OTU933",1,1.456,1,2,"NS"
"OTU13039",78,11.974,7.475,17,"Generalists"
"OTU10922",29,4.804,2,8,"Generalists"
"OTU11279",6,2.326,1,4,"Generalists"
"OTU7784",1,2.866,1,5,"NS"
"OTU229",6,2.514,1,4,"Generalists"
"OTU9161",1,2.502,1,4,"NS"
"OTU51",22,4.21,2,7,"Generalists"
"OTU12561",51,7.824,5,11,"Generalists"
"OTU22",50,9.244,6,13,"Generalists"
"OTU129",9,2.712,1,5,"Generalists"
"OTU34",11,40.59,33,49,"Specialists"
"OTU5042",34,5.664,3,8,"Generalists"
"OTU1513",1,1.446,1,2,"NS"
"OTU632",12,3.4,2,5,"Generalists"
"OTU663",25,38.828,30,46,"Specialists"
"OTU508",22,10.76,7,15,"Generalists"
"OTU4278",1,3.874,2,6,"Specialists"
"OTU401",11,25.678,20,32,"Specialists"
"OTU1084",3,6.276,3,9.52499999999998,"NS"
"OTU2427",3,6.8,4,10,"Specialists"
"OTU725",16,7.25,4,11,"Generalists"
"OTU6299",17,3.996,2,7,"Generalists"
"OTU4163",1,3.266,2,5,"Specialists"
"OTU1515",5,5.616,3,9,"NS"
"OTU8294",18,6.346,4,9.52499999999998,"Generalists"
"OTU7742",1,2.19,1,4,"NS"
"OTU4689",17,3.912,2,6,"Generalists"
"OTU3830",7,4.51,2,7,"NS"
"OTU5723",10,12.028,8,16.525,"NS"
"OTU11825",2,2.216,1,4,"NS"
"OTU628",7,2.638,1,4,"Generalists"
"OTU11083",4,2.312,1,4,"NS"
"OTU6184",3,2.336,1,4,"NS"
"OTU2913",9,4.614,2,7,"Generalists"
"OTU3771",6,3.808,2,6,"NS"
"OTU2410",14,9.2,5,13,"Generalists"
"OTU4562",11,5.184,3,8,"Generalists"
"OTU10199",49,7.904,5,12,"Generalists"
"OTU5983",3,1.784,1,3,"NS"
"OTU4402",1,1.702,1,3,"NS"
"OTU12148",15,4.03,2,6,"Generalists"
"OTU12842",13,8.082,5,11,"Generalists"
"OTU717",3,2.472,1,4,"NS"
"OTU1372",7,10.724,7,15,"NS"
"OTU12547",4,2.434,1,4,"NS"
"OTU12520",2,1.428,1,2,"NS"
"OTU3071",4,1.966,1,3,"Generalists"
"OTU277",9,49.282,41,57.525,"Specialists"
"OTU117",84,57.162,49,66,"Generalists"
"OTU2562",7,7.478,4,11,"NS"
"OTU801",4,24.29,18,31,"Specialists"
"OTU3004",4,2.366,1,4,"NS"
"OTU9505",6,2.73,1,5,"Generalists"
"OTU6623",3,1.75,1,3,"NS"
"OTU10663",2,10.256,7,15,"Specialists"
"OTU3180",6,3.224,2,5,"Generalists"
"OTU1523",18,11.352,7,16,"Generalists"
"OTU2584",1,1.93,1,3,"NS"
"OTU2543",17,4.146,2,7,"Generalists"
"OTU9554",3,2.168,1,4,"NS"
"OTU192",7,3.2,2,5,"Generalists"
"OTU692",4,21.744,16,28,"Specialists"
"OTU495",11,11.57,7,16,"NS"
"OTU1715",3,1.766,1,3,"NS"
